#observation_date,DTWEXAFEGS_20200406,DTWEXBGS_20200406,DTWEXEMEGS_20200406
2006-01-02, 101.788, 101.416, 100.940
2006-01-03, 100.698, 100.756, 100.831
2006-01-04, 100.053, 100.231, 100.459
2006-01-05, 100.270, 100.299, 100.337
2006-01-06,  99.894, 100.023, 100.189
2006-01-09, 100.340, 100.177,  99.968
2006-01-10, 100.180, 100.142, 100.094
2006-01-11,  99.699,  99.870, 100.090
2006-01-12, 100.222, 100.062,  99.857
2006-01-13,  99.927,  99.967, 100.017
2006-01-16,  99.927,  99.970, 100.026
2006-01-17, 100.362, 100.243, 100.091
2006-01-18, 100.514, 100.406, 100.266
2006-01-19, 100.228, 100.183, 100.126
2006-01-20,  99.899,  99.902,  99.904
2006-01-23,  99.055,  99.379,  99.797
2006-01-24,  99.084,  99.344,  99.680
2006-01-25,  99.170,  99.349,  99.580
2006-01-26,  99.408,  99.481,  99.575
2006-01-27,  99.809,  99.646,  99.436
2006-01-30,  99.949,  99.718,  99.420
2006-01-31,  99.524,  99.434,  99.318
2006-02-01,  99.793,  99.617,  99.390
2006-02-02,  99.904,  99.795,  99.654
2006-02-03, 100.486, 100.121,  99.654
2006-02-06, 100.729, 100.141,  99.390
2006-02-07, 100.693, 100.179,  99.520
2006-02-08, 101.076, 100.491,  99.742
2006-02-09, 100.749, 100.216,  99.535
2006-02-10, 100.978, 100.324,  99.489
2006-02-13, 101.056, 100.398,  99.557
2006-02-14, 101.116, 100.401,  99.489
2006-02-15, 101.165, 100.452,  99.542
2006-02-16, 101.324, 100.521,  99.498
2006-02-17, 101.130, 100.344,  99.343
2006-02-20, 101.130, 100.349,  99.353
2006-02-21, 100.966, 100.240,  99.313
2006-02-22, 101.021, 100.393,  99.591
2006-02-23, 100.771, 100.199,  99.468
2006-02-24, 100.961, 100.263,  99.371
2006-02-27, 100.649, 100.076,  99.343
2006-02-28, 100.207,  99.774,  99.219
2006-03-01, 100.350,  99.840,  99.188
2006-03-02,  99.852,  99.603,  99.282
2006-03-03,  99.895,  99.708,  99.468
2006-03-06, 100.286,  99.989,  99.608
2006-03-07, 100.991, 100.567, 100.025
2006-03-08, 101.238, 100.859, 100.373
2006-03-09, 101.270, 100.774, 100.140
2006-03-10, 101.653, 100.960, 100.075
2006-03-13, 101.458, 100.860, 100.096
2006-03-14, 100.641, 100.316,  99.899
2006-03-15, 100.593, 100.216,  99.732
2006-03-16, 100.160,  99.910,  99.589
2006-03-17,  99.986,  99.864,  99.708
2006-03-20, 100.261, 100.051,  99.781
2006-03-21, 100.832, 100.473, 100.013
2006-03-22, 100.693, 100.498, 100.247
2006-03-23, 101.279, 100.828, 100.249
2006-03-24, 101.131, 100.780, 100.329
2006-03-27, 101.079, 100.836, 100.524
2006-03-28, 100.968, 100.800, 100.584
2006-03-29, 101.388, 101.048, 100.611
2006-03-30, 100.657, 100.572, 100.463
2006-03-31, 100.805, 100.562, 100.251
2006-04-03, 101.031, 100.623, 100.100
2006-04-04, 100.281, 100.135,  99.947
2006-04-05, 100.146, 100.083, 100.001
2006-04-06, 100.065, 100.163, 100.288
2006-04-07, 100.359, 100.424, 100.508
2006-04-10, 100.473, 100.415, 100.339
2006-04-11, 100.271, 100.296, 100.328
2006-04-12, 100.347, 100.365, 100.388
2006-04-13, 100.431, 100.482, 100.546
2006-04-14, 100.475, 100.475, 100.475
2006-04-17,  99.501,  99.879, 100.367
2006-04-18,  99.369,  99.681, 100.084
2006-04-19,  98.873,  99.354,  99.976
2006-04-20,  99.068,  99.504, 100.067
2006-04-21,  98.879,  99.442, 100.169
2006-04-24,  98.494,  99.122,  99.936
2006-04-25,  98.183,  98.975, 100.003
2006-04-26,  97.854,  98.898, 100.257
2006-04-27,  97.395,  98.522,  99.991
2006-04-28,  96.826,  98.149,  99.878
2006-05-01,  96.513,  97.917,  99.752
2006-05-02,  96.200,  97.666,  99.586
2006-05-03,  96.191,  97.566,  99.364
2006-05-04,  96.020,  97.498,  99.431
2006-05-05,  95.705,  97.268,  99.315
2006-05-08,  95.751,  97.202,  99.099
2006-05-09,  95.333,  96.966,  99.108
2006-05-10,  95.018,  96.647,  98.783
2006-05-11,  94.664,  96.546,  99.022
2006-05-12,  94.838,  96.885,  99.583
2006-05-15,  95.208,  97.364, 100.210
2006-05-16,  95.138,  97.202,  99.923
2006-05-17,  95.500,  97.477, 100.081
2006-05-18,  95.546,  97.708, 100.561
2006-05-19,  95.953,  97.938, 100.552
2006-05-22,  95.493,  97.942, 101.186
2006-05-23,  95.438,  97.710, 100.711
2006-05-24,  96.146,  98.397, 101.371
2006-05-25,  95.464,  97.849, 101.003
2006-05-26,  95.759,  97.907, 100.740
2006-05-29,  95.759,  97.901, 100.726
2006-05-30,  94.955,  97.595, 101.100
2006-05-31,  95.238,  97.777, 101.144
2006-06-01,  95.261,  97.781, 101.119
2006-06-02,  94.811,  97.562, 101.218
2006-06-05,  94.733,  97.376, 100.884
2006-06-06,  95.826,  98.151, 101.225
2006-06-07,  95.844,  98.171, 101.246
2006-06-08,  96.812,  98.936, 101.738
2006-06-09,  96.310,  98.554, 101.517
2006-06-12,  96.258,  98.558, 101.596
2006-06-13,  96.710,  98.927, 101.854
2006-06-14,  96.587,  98.841, 101.817
2006-06-15,  96.828,  98.891, 101.610
2006-06-16,  96.956,  98.919, 101.501
2006-06-19,  97.200,  99.151, 101.719
2006-06-20,  96.983,  99.019, 101.700
2006-06-21,  96.289,  98.563, 101.567
2006-06-22,  97.171,  99.093, 101.621
2006-06-23,  97.645,  99.428, 101.769
2006-06-26,  97.582,  99.371, 101.720
2006-06-27,  97.342,  99.227, 101.705
2006-06-28,  97.676,  99.399, 101.660
2006-06-29,  97.420,  99.224, 101.595
2006-06-30,  96.212,  98.257, 100.951
2006-07-03,  96.164,  98.046, 100.520
2006-07-04,  96.164,  98.031, 100.485
2006-07-05,  96.512,  98.317, 100.688
2006-07-06,  96.324,  98.147, 100.542
2006-07-07,  95.922,  97.759, 100.173
2006-07-10,  96.509,  97.987,  99.922
2006-07-11,  96.765,  98.218, 100.120
2006-07-12,  97.165,  98.526, 100.304
2006-07-13,  97.127,  98.565, 100.445
2006-07-14,  97.235,  98.689, 100.590
2006-07-17,  97.918,  99.083, 100.603
2006-07-18,  98.070,  99.141, 100.535
2006-07-19,  97.831,  98.933, 100.369
2006-07-20,  97.466,  98.608, 100.098
2006-07-21,  97.293,  98.528, 100.141
2006-07-24,  97.671,  98.785, 100.237
2006-07-25,  97.973,  98.945, 100.208
2006-07-26,  97.591,  98.748, 100.257
2006-07-27,  96.919,  98.234,  99.953
2006-07-28,  96.608,  98.061,  99.961
2006-07-31,  96.526,  98.006,  99.942
2006-08-01,  96.566,  98.178, 100.291
2006-08-02,  96.255,  97.951, 100.175
2006-08-03,  96.404,  98.077, 100.272
2006-08-04,  95.796,  97.608,  99.989
2006-08-07,  95.713,  97.517,  99.887
2006-08-08,  95.897,  97.660,  99.975
2006-08-09,  95.739,  97.448,  99.692
2006-08-10,  96.449,  97.896,  99.788
2006-08-11,  96.362,  97.794,  99.669
2006-08-14,  96.618,  97.976,  99.751
2006-08-15,  96.312,  97.813,  99.778
2006-08-16,  95.826,  97.399,  99.462
2006-08-17,  95.824,  97.358,  99.368
2006-08-18,  96.344,  97.766,  99.626
2006-08-21,  95.805,  97.395,  99.479
2006-08-22,  96.186,  97.618,  99.491
2006-08-23,  96.014,  97.584,  99.641
2006-08-24,  96.153,  97.804,  99.969
2006-08-25,  96.194,  97.894, 100.124
2006-08-28,  96.194,  97.858, 100.040
2006-08-29,  96.196,  97.785,  99.869
2006-08-30,  95.942,  97.590,  99.752
2006-08-31,  95.996,  97.655,  99.831
2006-09-01,  95.824,  97.520,  99.745
2006-09-04,  95.824,  97.510,  99.722
2006-09-05,  95.945,  97.449,  99.419
2006-09-06,  96.016,  97.619,  99.721
2006-09-07,  96.224,  97.820,  99.913
2006-09-08,  96.877,  98.221,  99.977
2006-09-11,  96.980,  98.394, 100.242
2006-09-12,  96.879,  98.288, 100.130
2006-09-13,  96.794,  98.187, 100.008
2006-09-14,  96.557,  98.019,  99.932
2006-09-15,  97.004,  98.219,  99.805
2006-09-18,  96.904,  98.143,  99.760
2006-09-19,  96.949,  98.179,  99.783
2006-09-20,  96.945,  98.163,  99.752
2006-09-21,  96.558,  97.953,  99.777
2006-09-22,  96.211,  97.874, 100.056
2006-09-25,  96.333,  97.998, 100.181
2006-09-26,  96.616,  98.063,  99.956
2006-09-27,  96.662,  98.019,  99.792
2006-09-28,  96.660,  98.047,  99.860
2006-09-29,  96.864,  98.114,  99.746
2006-10-02,  96.581,  97.934,  99.703
2006-10-03,  96.820,  98.135,  99.853
2006-10-04,  97.202,  98.376,  99.906
2006-10-05,  97.138,  98.285,  99.780
2006-10-06,  97.564,  98.569,  99.877
