Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/14/2018,386.5,386.5,383.5,383.5,-2,188,0
03/13/2018,383.75,388.75,383.5,385.5,1.25,2044,187
03/12/2018,382.75,384.25,380.5,384.25,1.25,1455,1829
03/09/2018,385,385.25,382.5,383,-2.75,2981,2686
03/08/2018,378.5,385.75,378,385.75,6.5,2385,4064
03/07/2018,378.75,380.75,378.5,379.25,-0.5,4263,4690
03/06/2018,377.75,380.25,377.25,379.75,1.5,2299,5647
03/05/2018,376.25,378.5,374.75,378.25,1,8183,6296
03/02/2018,377.75,380.25,376,377.25,-1.5,5918,8562
03/01/2018,374,379,372,378.75,4.25,8646,10279
02/28/2018,370.5,376.75,369.75,374.5,4,20800,14594
02/27/2018,368.25,371,367.75,370.5,2,240115,22046
02/26/2018,366.5,370,366.5,368.5,2.25,318905,105180
02/23/2018,366.25,367.75,365.25,366.25,-0.5,212345,191247
02/22/2018,365.5,367,364.25,366.75,1,229122,277409
02/21/2018,365.75,368.5,364.25,365.75,0.25,266655,324234
02/20/2018,369,370,365.25,365.5,-2,319315,365149
02/16/2018,368,368.5,366.5,367.5,-0.25,185255,402651
02/15/2018,367,368.75,365.5,367.75,0.5,193482,433293
02/14/2018,366.5,368.5,364.75,367.25,0.5,173640,461346
02/13/2018,366.5,368.5,366,366.75,-0.25,257669,480673
02/12/2018,365,367,364.25,367,5,264077,499812
02/09/2018,364.75,365.5,361.5,362,-3.75,254699,529368
02/08/2018,365,367.75,364.5,365.75,0.5,341483,558593
02/07/2018,363.75,365.75,362.5,365.25,1.75,478330,620930
02/06/2018,358.75,364,356.25,363.5,4.75,236192,681699
02/05/2018,359.5,360.75,357.25,358.75,-2.75,260346,695650
02/02/2018,361,362.5,359.5,361.5,-0.25,198988,726127
02/01/2018,360.75,362,358.5,361.75,0.25,254881,738911
01/31/2018,361.5,362,359.5,361.5,0,180487,747339
01/30/2018,359.5,362.25,359,361.5,2.75,223192,771463
01/29/2018,356.75,359.25,356.75,358.75,2.25,179933,783132
01/26/2018,355,357,354.5,356.5,1.25,140790,785436
01/25/2018,356,358,354.5,355.25,-1.25,223613,789240
01/24/2018,351.25,357,349.75,356.5,5.25,326298,797094
01/23/2018,351.75,352,349.5,351.25,-0.75,204570,809734
01/22/2018,353.5,354.5,351.25,352,-0.5,177588,811625
01/19/2018,351.5,354,351.25,352.5,1,145953,806025
01/18/2018,352.5,354,350.5,351.5,-1.5,186650,805773
01/17/2018,348.5,353.25,348.25,353,4.75,236713,819147
01/16/2018,347.25,349.25,346,348.25,2,179429,828153
01/12/2018,348.75,350,345.5,346.25,-2.5,195191,827127
01/11/2018,349,350.5,348,348.75,-0.25,159177,823433
01/10/2018,348.75,350,348,349,0,145554,826766
01/09/2018,347.5,350,347.25,349,1.75,150408,829986
01/08/2018,350.75,351.5,346.75,347.25,-4,274879,837252
01/05/2018,350.75,352.25,350.25,351.25,0.25,143914,814945
01/04/2018,353,353.5,350.25,351,-2,179965,815487
01/03/2018,353,354.75,352.25,353,-0.25,138593,821693
01/02/2018,351.25,354,350.5,353.25,2.5,150143,825820
12/29/2017,351.25,351.5,350.25,350.75,-1.25,100183,827971
12/28/2017,353,353.5,350,352,-1.75,102485,828944
12/27/2017,352,354.25,351.75,353.75,1,93748,832084
12/26/2017,352,353.25,351,352.75,0.75,65864,842273
12/22/2017,350.75,352.5,350.5,352,0.75,67471,845723
12/21/2017,349,351.75,348.5,351.25,2,110469,852862
12/20/2017,347.5,349.75,347.25,349.25,1.75,110058,858696
12/19/2017,346.75,348.75,346.5,347.5,0.5,82265,857745
12/18/2017,347.25,348.75,346.5,347,-0.5,97579,851960
12/15/2017,348.75,350.75,346.5,347.5,-1,133622,849650
12/14/2017,349,350.75,348,348.5,-0.5,105792,848821
12/13/2017,348,350,347.75,349,1.25,85020,851370
12/12/2017,349.25,353,347.5,347.75,-1.25,187491,852709
12/11/2017,352,352.25,348.25,349,-3.75,156457,842726
12/08/2017,351.5,354,351.25,352.75,1.25,110009,843236
12/07/2017,352.25,353.5,350.5,351.5,-1.25,134820,845595
12/06/2017,353,356,351,352.75,-1,160524,850824
12/05/2017,353.5,357,352.75,353.75,0.25,166895,842515
12/04/2017,359,360.5,352.5,353.5,-5.25,239235,848343
12/01/2017,355.5,359.5,354.75,358.75,3,156065,859178
11/30/2017,353.5,357,352,355.75,2.25,191628,862322
11/29/2017,349.5,354,349.25,353.5,3.75,318575,860276
11/28/2017,352,352.5,349.25,349.75,-2,239041,835065
11/27/2017,354.75,355.25,351.25,351.75,-3.25,304710,803706
11/24/2017,356,357.75,352.5,355,-2,145797,771092
11/22/2017,355.5,358,355.25,357,0.75,161400,739814
11/21/2017,355,356.75,353.75,356.25,-0.25,189703,707909
11/20/2017,354.5,357,353.25,356.5,1.5,229868,675186
11/17/2017,348.75,355.5,348.75,355,6,249766,652379
11/16/2017,350.75,351.5,348.75,349,-2,130650,622874
11/15/2017,350.25,351.75,350,351,0.5,150482,600072
11/14/2017,354.5,354.75,350,350.5,-4.5,126925,573029
11/13/2017,356,356.75,354.25,355,-1.75,206397,556731
11/10/2017,355,357,354.25,356.75,2,247840,517930
11/09/2017,360.5,362.5,354,354.75,-6.5,308387,472923
11/08/2017,360.75,361.75,359,361.25,0.25,135468,436908
11/07/2017,361.25,361.5,359.75,361,-0.5,209475,414347
11/06/2017,362.25,364,361.25,361.5,-0.5,110092,393105
11/03/2017,363.75,364.5,361,362,-2,110360,381471
11/02/2017,361.25,365.25,360.75,364,2.25,55313,365966
11/01/2017,359.5,363,359.25,361.75,2.25,90280,356368
10/31/2017,362,362.75,359.25,359.5,-3.25,44337,346349
10/30/2017,362.25,363.5,361.25,362.75,0.25,35499,339510
10/27/2017,364.25,364.25,361.5,362.5,-2,56178,331412
10/26/2017,365,366,363.25,364.5,-0.75,53710,324264
10/25/2017,366.5,369.25,364.5,365.25,-1.5,74889,316767
10/24/2017,364.75,367,363.5,366.75,1.5,73728,313717
10/23/2017,358.25,365.75,357,365.25,6.75,77330,306569
10/20/2017,362.75,363.75,358.25,358.5,-4.25,56300,300109
10/19/2017,362.5,365,362.25,362.75,0.5,32920,297076
10/18/2017,363.75,364,361.5,362.25,-1.5,35508,293876
10/17/2017,363.75,365.25,362,363.75,-0.5,42250,295269
10/16/2017,366,366.75,363.5,364.25,-2.25,30990,296567
10/13/2017,362.25,367.25,362,366.5,3.75,33021,292929
10/12/2017,359.25,367.75,356.25,362.75,3.25,94253,291705
10/11/2017,362.25,362.25,359,359.5,-3.25,42768,276326
10/10/2017,362,364.5,361.75,362.75,0,35322,273824
10/09/2017,363.5,364.75,361,362.75,-0.5,35679,269697
10/06/2017,362.25,364,361.5,363.25,0.75,65760,266821
10/05/2017,361,364.25,360.25,362.5,1.25,26302,263112
10/04/2017,362,362.5,359,361.25,-1,35898,261210
10/03/2017,364,364.25,361.75,362.25,-2,44717,256022
10/02/2017,367.25,368.75,363.75,364.25,-3.5,32218,252318
09/29/2017,364.75,370.5,362.75,367.75,2.5,50071,247809
09/28/2017,366,366.5,363.5,365.25,-1.5,35403,245416
09/27/2017,365,367.5,361.25,366.75,1.5,37427,242987
09/26/2017,365.5,368.25,364.5,365.25,-1.25,49848,240729
09/25/2017,365.5,367.5,364,366.5,0.5,21529,234859
09/22/2017,362.25,368.75,362.25,366,3,23345,232948
