Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/12/2006,236.5,248.25,236.5,248.25,10.5,0,0
05/11/2006,237.75,237.75,237.75,237.75,7.75,4651,2649
05/10/2006,230,230,230,230,1.5,7580,4398
05/09/2006,227.25,230.5,227.25,228.5,1.5,9675,7146
05/08/2006,230.5,230.75,227,227,-3.75,11768,9301
05/05/2006,230.75,230.75,230.75,230.75,1,12687,11487
05/04/2006,231.25,231.25,229.75,229.75,-2.5,18825,12484
05/03/2006,233.25,235,232.25,232.25,-1,24313,14881
05/02/2006,237.5,237.5,233.25,233.25,-4.75,24987,19117
05/01/2006,237.25,239,236.75,238,-0.25,15042,23358
04/28/2006,231.25,238.25,230.5,238.25,7,24492,27136
04/27/2006,231.5,232,229.75,231.25,-0.25,54574,33246
04/26/2006,231,231.5,230.75,231.5,0.5,37861,47309
04/25/2006,232.5,233,231,231,-1.75,47749,57394
04/24/2006,236.5,240,232.75,232.75,-3.75,37624,74520
04/21/2006,235.25,236.5,234.5,236.5,0.75,25526,87023
04/20/2006,238.25,239.25,235.75,235.75,-2.75,50817,104377
04/19/2006,239.25,242.25,238.5,238.5,-0.75,36917,124982
04/18/2006,236.5,239.25,236,239.25,2.75,49662,138180
04/17/2006,237.5,240.75,236.5,236.5,0.25,62471,156119
04/13/2006,237,237.25,235,236.25,-0.75,87941,178457
04/12/2006,242,242.5,237,237,-5,112858,215405
04/11/2006,240.75,242,240,242,0.75,89282,257863
04/10/2006,243,244,241.25,241.25,-1.75,96286,292853
04/07/2006,241.25,243,240,243,1.5,114355,323577
04/06/2006,236.25,241.5,236,241.5,5.25,95901,352412
04/05/2006,234,236.25,233.5,236.25,1.75,62843,357118
04/04/2006,236,236.25,234.5,234.5,-2,62038,369401
04/03/2006,235.25,236.75,234,236.5,0.5,95732,383344
03/31/2006,227.25,236,226.75,236,8.25,168330,384048
03/30/2006,224,227.75,223.75,227.75,3.5,58235,416203
03/29/2006,222,224.25,222,224.25,2,53162,421628
03/28/2006,221.25,222.75,221,222.25,0.5,51324,424859
03/27/2006,219,221.75,218.25,221.75,3,80498,428193
03/24/2006,219.5,220.25,218.75,218.75,-0.5,44670,436750
03/23/2006,222,222.25,219.25,219.25,-3.25,53121,443392
03/22/2006,223,224.5,222.5,222.5,-1,63860,444693
03/21/2006,218.25,223.5,217.75,223.5,5.25,82760,448563
03/20/2006,221.5,222,218.25,218.25,-3.25,100490,452294
03/17/2006,224.75,225.25,221.5,221.5,-3,111792,457916
03/16/2006,229,229.5,224.5,224.5,-4.75,73836,468418
03/15/2006,231.5,232,229.25,229.25,-2.5,50138,474573
03/14/2006,228.75,231.75,228,231.75,3,69953,477120
03/13/2006,233.25,233.5,228.75,228.75,-5.75,60225,482627
03/10/2006,232.25,234.5,230.5,234.5,2.5,61718,487190
03/09/2006,228,232,227.5,232,4,56693,490401
03/08/2006,230.5,231.25,228,228,-2.5,69322,492481
03/07/2006,232.75,233.25,230.5,230.5,-2.25,60113,501124
03/06/2006,238.5,238.5,232.75,232.75,-6.75,98349,506328
03/03/2006,238.75,239.5,237.75,239.5,0.25,66806,518417
03/02/2006,234.5,239.25,234,239.25,4.5,88237,517612
03/01/2006,237.75,238.5,234.75,234.75,-4,92480,513827
02/28/2006,238.75,239,238,238.75,-0.25,75597,513856
02/27/2006,239,239.75,236.5,239,0.25,106008,512354
02/24/2006,233.75,238.75,233.75,238.75,5,111178,495988
02/23/2006,232.5,233.75,232,233.75,1.25,97189,479521
02/22/2006,236.75,238,232.5,232.5,-4.5,71278,453993
02/21/2006,236.25,237.5,235.5,237,-0.25,78120,442579
02/17/2006,234,237.25,233.5,237.25,3,49543,423215
02/16/2006,232,234.25,231.5,234.25,2,43593,405804
02/15/2006,228.75,232.25,228,232.25,3.25,57483,392535
02/14/2006,231.25,231.5,229,229,-2.25,40671,367666
02/13/2006,232,233.75,230.25,231.25,-0.5,49138,358299
02/10/2006,235.75,236.75,231.75,231.75,-4.5,64177,337308
02/09/2006,232,236.25,232,236.25,4.25,69284,306282
02/08/2006,228,232,226.25,232,3.5,53475,281972
02/07/2006,232,234.75,228.5,228.5,-4.5,56201,265490
02/06/2006,235,237.25,233,233,-2,33020,245939
02/03/2006,230,235,230,235,4.75,62286,237305
02/02/2006,226,230.25,225.5,230.25,3.75,32139,218676
02/01/2006,228.25,228.5,226.5,226.5,-2.5,31381,211998
01/31/2006,227,229,226.5,229,1.25,56496,204609
01/30/2006,227.75,231.75,227.75,227.75,-0.75,20920,177375
01/27/2006,226,228.5,226,228.5,1.75,31378,171540
01/26/2006,225.25,226.75,224.25,226.75,0.75,14513,161384
01/25/2006,222.25,226,222.25,226,2.75,26606,157011
01/24/2006,218,223.25,218,223.25,5,15885,149279
01/23/2006,215,218.25,215,218.25,3.25,12856,145951
01/20/2006,215,215.5,215,215,0.25,22897,143281
01/19/2006,215.75,216.25,214.75,214.75,-0.75,11107,134623
01/18/2006,218,218.25,215.5,215.5,-2.75,16692,132521
01/17/2006,222.5,223,218.25,218.25,-4.75,14075,128572
01/13/2006,222,223,221.5,223,0.75,10184,124824
01/12/2006,223.25,223.25,222,222.25,-1.75,16109,121785
01/11/2006,222.25,224,222.25,224,1.5,8706,119892
01/10/2006,220.75,222.5,220.75,222.5,2,12526,117628
01/09/2006,223,223,220.5,220.5,-3,16085,115840
01/06/2006,224.25,225.75,223.5,223.5,-1.25,6682,108296
01/05/2006,227,227,224.75,224.75,-2.25,11622,107488
01/04/2006,227.5,228.5,227,227,-1.5,14807,105183
