Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/14/2014,397.75,408.75,390,390.25,-9.5,472,0
07/11/2014,400.5,403.5,394,399.75,-0.75,1990,422
07/10/2014,404,406,399.25,400.5,-3.5,2865,1689
07/09/2014,408.75,408.75,400.75,404,-4.25,3041,3708
07/08/2014,410.5,411,407.25,408.25,-1,3811,5778
07/07/2014,412.25,413.25,405.5,409.25,-7.75,2821,8074
07/03/2014,418.75,420.25,416.25,417,-1.5,3041,9355
07/02/2014,423,423.25,416.25,418.5,-4.25,6362,10512
07/01/2014,423.75,423.75,416,422.75,-1.5,9735,13373
06/30/2014,442.25,443.75,422.5,424.25,-18.75,32988,16307
06/27/2014,442.25,444.5,440,443,0.25,111681,24876
06/26/2014,441.5,446,440.75,442.75,1.75,121751,66673
06/25/2014,443,443,440,441,-2,135829,101760
06/24/2014,444.75,445,439.5,443,-1.5,108660,141905
06/23/2014,452.5,457.75,444,444.5,-8.75,113223,165944
06/20/2014,449.75,453.75,446.25,453.25,2.75,112310,193279
06/19/2014,441,450.75,441,450.5,9,117242,231544
06/18/2014,438.5,443.75,438.5,441.5,2.75,95337,258381
06/17/2014,440.75,441.5,435.5,438.75,-2.25,109891,279280
06/16/2014,444.25,449.5,440.25,441,-6,128964,301442
06/13/2014,444,449.75,443.75,447,3,127960,329725
06/12/2014,440.5,445,439.5,444,3,157865,353091
06/11/2014,445.5,449.75,439.25,441,-4.5,185493,372849
06/10/2014,450.5,455,444.75,445.5,-5.5,142517,403399
06/09/2014,457,457.5,445.5,451,-8,158202,424058
06/06/2014,449,459.75,447,459,10,163777,449067
06/05/2014,457,458,448.5,449,-7.25,113818,459758
06/04/2014,458.5,460.5,454.25,456.25,-2,93357,473753
06/03/2014,463.25,465,456,458.25,-7.25,118132,488865
06/02/2014,465,470.5,460.25,465.5,-0.25,160531,492381
05/30/2014,469.75,473.5,465,465.75,-3.75,128747,507311
05/29/2014,472.5,472.75,467.25,469.5,-3,131247,519827
05/28/2014,469.75,473,466.5,472.5,2.75,102757,530113
05/27/2014,474.5,475,469.25,469.75,-8.25,101114,538168
05/23/2014,477.5,480.5,475.5,478,1.25,85635,544338
05/22/2014,474.5,482.5,472.5,476.75,2.25,110932,550233
05/21/2014,473.5,476,472.5,474.5,1,96480,555632
05/20/2014,477.75,481.25,473,473.5,-3.75,113173,560287
05/19/2014,481.75,482.5,476.25,477.25,-6.25,119746,563930
05/16/2014,484.5,487,480.25,483.5,-0.75,92663,576556
05/15/2014,495.5,497.25,481.75,484.25,-11.25,138763,586279
05/14/2014,502,504.5,495.25,495.5,-7.25,105785,592952
05/13/2014,499,503.5,497.5,502.75,3.25,95487,593499
05/12/2014,505.25,506.25,498.5,499.5,-8,98611,591991
05/09/2014,515.5,522.75,505.75,507.5,-9,219709,598402
05/08/2014,513.75,517,508,516.5,2.5,106988,599650
05/07/2014,516.25,519,510.25,514,-3.5,115711,607683
05/06/2014,507.25,519,502,517.5,9.5,118389,614090
05/05/2014,499,509.5,497.5,508,8.5,109905,609556
05/02/2014,507,509.75,497.75,499.5,-7.5,125005,617119
