Time,Open,High,Low,Last,Change,Volume,Open Int
9/14/2005,197.5,197.5,195,195,-3.5,0,0
9/13/2005,200,200,198.5,198.5,0,1868,1106
9/12/2005,203,203,198.5,198.5,-4.5,2236,2078
9/9/2005,204,204,203,203,0.25,2251,3260
9/8/2005,203.75,204.5,202.75,202.75,-1.5,2861,3936
9/7/2005,204.25,204.25,204.25,204.25,-3.25,4974,4599
9/6/2005,203.5,207.5,203.5,207.5,4,8214,5688
9/2/2005,207.75,208.75,203.5,203.5,-4.25,7334,6810
9/1/2005,201.5,207.75,201.5,207.75,6.25,16475,9415
8/31/2005,203,204.5,201.5,201.5,-2,29991,13839
8/30/2005,204.25,204.25,203.25,203.5,-1.25,59179,21450
8/29/2005,203.75,208.75,203.75,204.75,1,49460,45517
8/26/2005,206,206.5,203.75,203.75,-2.5,28162,59322
8/25/2005,208.5,208.75,206.25,206.25,-2.5,27224,79681
8/24/2005,210.5,210.5,208.75,208.75,-1.75,22988,84259
8/23/2005,212.75,215.75,210.5,210.5,-2,14733,88607
8/22/2005,210.75,212.5,210.25,212.5,2.25,16649,92126
8/19/2005,211.25,211.25,210,210.25,-1,17062,95663
8/18/2005,212.75,214.25,211.25,211.25,-1.75,18016,97848
8/17/2005,209.25,213,209,213,3.5,24898,99787
8/16/2005,210.5,211.5,209.5,209.5,-1,30222,103740
8/15/2005,217.25,217.5,210.5,210.5,-7.25,45999,107244
8/12/2005,224.25,225,217.75,217.75,-7.25,41397,124070
8/11/2005,223,225,223,225,2,52545,132455
8/10/2005,219,223,218.75,223,4.25,52113,157056
8/9/2005,222.5,223,218.75,218.75,-3.25,51697,179907
8/8/2005,225.75,227,222,222,1.5,41429,202605
8/5/2005,224.5,226.25,220.5,220.5,-4,46950,215642
8/4/2005,227,227,224.25,224.5,-2.5,34238,234941
8/3/2005,232.5,232.5,227,227,-5.5,42340,241207
8/2/2005,233.75,235.5,232.5,232.5,0.75,40416,248433
8/1/2005,238,239.5,231.75,231.75,-4.75,49951,258695
7/29/2005,241,243,236.5,236.5,-4.5,37633,266647
7/28/2005,236.5,241,236.5,241,4.5,20598,277284
7/27/2005,233.25,236.5,232,236.5,2.25,18277,279330
7/26/2005,231.5,235,230.75,234.25,3.75,26631,279434
7/25/2005,233.75,234.25,230,230.5,-3,33095,281161
7/22/2005,234.25,238,233.5,233.5,-0.5,35428,279770
7/21/2005,241.75,243,234,234,-7.5,32651,284261
7/20/2005,248,249,241.5,241.5,-7,36933,284737
7/19/2005,258.5,260,248.5,248.5,-11.5,46988,285183
7/18/2005,260,263.25,251.75,260,2.25,46115,289014
7/15/2005,249.5,257.75,248.5,257.75,7.25,60552,292619
7/14/2005,243.75,250.5,242.5,250.5,5.75,43573,299307
7/13/2005,235.5,244.75,233.5,244.75,9.25,41929,301282
7/12/2005,236.5,237,234.5,235.5,0.25,32793,304352
7/11/2005,229.75,235.25,226.75,235.25,0.5,31407,306570
7/8/2005,240.75,240.75,234.75,234.75,-7,40315,307171
7/7/2005,239.75,241.75,228.25,241.75,2,42834,309081
7/6/2005,239,243,238.5,239.75,-0.25,44191,309462
7/5/2005,227.75,240,227,240,14.5,51699,312810
7/1/2005,222,225.5,222,225.5,3.25,43769,315532
6/30/2005,225.75,225.75,222.25,222.25,-3.75,45165,315775
6/29/2005,227.75,230.75,226,226,-1.75,58468,313331
6/28/2005,231.5,232,227,227.75,-3.5,59783,301153
6/27/2005,243,243.25,231.25,231.25,-10.75,42524,285194
6/24/2005,235.5,242,235,242,6.25,37075,278267
6/23/2005,238.5,240.25,235.75,235.75,-3,29238,273282
6/22/2005,242.25,247,238.75,238.75,-3.25,22295,271662
6/21/2005,244,244.75,240.5,242,-3.25,28519,270313
6/20/2005,239.5,245.25,239.5,245.25,6.75,31805,265258
6/17/2005,234.25,238.5,234,238.5,3.75,30227,256582
6/16/2005,233.25,236,233,234.75,1,24041,247205
6/15/2005,228.5,233.75,227.75,233.75,5.5,25601,236872
6/14/2005,223.75,228.25,221.75,228.25,3.5,21128,230007
6/13/2005,221,224.75,221,224.75,4.5,44189,227155
6/10/2005,224.75,225.5,220.25,220.25,-4.75,43338,205240
6/9/2005,222.75,225,221.5,225,-0.5,35529,182243
6/8/2005,229.25,229.25,225.5,225.5,-4.25,30216,164958
6/7/2005,228.5,231.5,227.75,229.75,0,28092,149104
6/6/2005,229,233,229,229.75,2.5,25249,134275
6/3/2005,225.5,227.25,224.5,227.25,1.5,24528,125037
6/2/2005,232,232.25,225.75,225.75,-7.5,23523,115068
6/1/2005,229.25,233.25,228.75,233.25,2.5,14588,102591
5/31/2005,233,236,230.75,230.75,1.25,15467,95830
5/27/2005,232.5,234.75,229.5,229.5,-3.5,7406,89460
5/26/2005,230,233,229,233,2.25,7634,89527
5/25/2005,228.75,231,228.75,230.75,1.75,16086,88515
5/24/2005,230,231.25,229,229,-3.25,15779,88051
5/23/2005,221.5,232.25,221.5,232.25,11,20823,85856
5/20/2005,217.25,221.25,217,221.25,3.5,6207,80096
5/19/2005,218.5,220.5,217.75,217.75,-1.25,5648,79330
5/18/2005,215.5,219,215.25,219,3.5,6936,77722
5/17/2005,215.25,215.5,214.75,215.5,0.5,5787,76931
5/16/2005,212,215,212,215,3.25,5315,76302
5/13/2005,211.75,212.5,211.75,211.75,-0.5,4354,75254
5/12/2005,214.25,214.5,212.25,212.25,-2.5,7389,73853
5/11/2005,216.5,216.75,214.75,214.75,-1.5,3921,71619
5/10/2005,215.75,216.5,215.75,216.25,0.5,3074,70640
5/9/2005,216,218.25,215.75,215.75,-0.5,4647,69820
5/6/2005,216.5,217,214.75,216.25,0,3608,67685
5/5/2005,215,216.25,215,216.25,2,9812,66884
5/4/2005,213.25,214.5,213,214.25,1.25,10382,63824
5/3/2005,217.25,217.25,213,213,-4,6191,58576
5/2/2005,220.75,220.75,217,217,-4.5,6894,55927
4/29/2005,221,221.5,221,221.5,0.75,4008,53967
4/28/2005,226,226,220.75,220.75,-3.75,5048,53173
4/27/2005,228.5,229.5,224.5,224.5,-4.25,3407,50678
4/26/2005,229,229,228.5,228.75,-0.25,3167,50018
4/25/2005,225.5,230,225.5,229,4.5,5730,49112
4/22/2005,226.5,226.5,224.5,224.5,-2,1764,46618
4/21/2005,225.75,226.75,225.75,226.5,0.75,2716,46494
4/20/2005,225,225.75,225,225.75,1.25,2374,46214
4/19/2005,219.75,224.5,219.75,224.5,4.75,3397,45504
4/18/2005,220.25,220.25,219.75,219.75,-1.5,3026,44924
4/15/2005,222,222.75,221.25,221.25,-1.25,1444,43880
4/14/2005,220.75,222.5,220.75,222.5,1.25,4031,43315
4/13/2005,221.25,221.25,221.25,221.25,-1,2196,42497
4/12/2005,221.75,223.25,221.75,222.25,1,1499,42551
4/11/2005,220.75,221.25,220.75,221.25,1.5,2291,42071
4/8/2005,221.75,222,219.75,219.75,-1.5,3316,41606
