Time,Open,High,Low,Last,Change,Volume,"Open Int"
09/14/2016,320.5,322.25,317.5,322.25,3,42,0
09/13/2016,329.25,330,319.25,319.25,-10,709,176
09/12/2016,329.25,330.5,326,329.25,-0.75,1200,633
09/09/2016,326.5,330.5,323.75,330,3,780,1432
09/08/2016,322,327,321.5,327,6,1477,1900
09/07/2016,316.25,322,315,321,4.25,2568,2802
09/06/2016,316,317.75,312.25,316.75,0.25,2455,3191
09/02/2016,311,317.75,311,316.5,5.5,3408,3789
09/01/2016,302,311.5,301.75,311,9.5,11499,5319
08/31/2016,304,307.25,301,301.5,-2.5,25255,9646
08/30/2016,311.75,312.75,303.5,304,-7.75,132215,19043
08/29/2016,316.25,318.75,310.75,311.75,-4.5,128342,66033
08/26/2016,323.5,325.25,315.75,316.25,-7.25,98576,94676
08/25/2016,327,328.5,322.25,323.5,-4,94419,144554
08/24/2016,328.25,330.5,325.5,327.5,-1,77905,163255
08/23/2016,333,333,326.5,328.5,-4.75,90241,178092
08/22/2016,333.75,334.5,330.5,333.25,-1,71837,189291
08/19/2016,332.25,334.75,330,334.25,2.25,85600,202615
08/18/2016,330,333,326.5,332,1.75,72273,225745
08/17/2016,327.25,330.75,327,330.25,2.75,103659,233785
08/16/2016,326.75,329,324.25,327.5,1,78795,242828
08/15/2016,321.25,329,321,326.5,4.25,75700,252791
08/12/2016,320.5,323,312,322.25,1.25,146083,264963
08/11/2016,322.25,323.75,320.5,321,-1.5,125764,293469
08/10/2016,322,325.5,321.25,322.5,0.25,148918,308388
08/09/2016,325.25,326.75,322,322.25,-3,121417,335791
08/08/2016,324.25,327.5,322.5,325.25,1,148916,359853
08/05/2016,320.5,325,320,324.25,3.5,139530,388894
08/04/2016,325,326.75,320.5,320.75,-4.25,83083,422893
08/03/2016,323.75,328.75,322.25,325,0.75,91696,431183
08/02/2016,325.25,327.5,319.5,324.25,-1.5,120083,447789
08/01/2016,332.5,333.75,325.5,325.75,-8.75,83565,457394
07/29/2016,331.25,335,328.75,334.5,3.25,102314,462734
07/28/2016,335.75,338.5,329,331.25,-4.5,88777,464648
07/27/2016,332.5,338,331.75,335.75,3.25,81045,471914
07/26/2016,333.5,336.5,331,332.5,-2.25,95060,477108
07/25/2016,335,338.25,330.25,334.75,-0.25,92724,476446
07/22/2016,334.5,336.75,326.75,335,0.75,101545,490506
07/21/2016,337.75,341.75,332.75,334.25,-3.25,92502,501032
07/20/2016,344.25,346.5,335,337.5,-4.25,111929,498293
07/19/2016,356.5,356.5,341.5,341.75,-15.25,88392,504311
07/18/2016,352.25,357.5,348.25,357,4.75,84620,503359
07/15/2016,356.5,361,343,352.25,-5.5,104622,508684
07/14/2016,362,373,355.5,357.75,-4.25,108690,512249
07/13/2016,353.25,367.5,352,362,9.75,124882,519516
