Time,Open,High,Low,Last,Change,Volume,"Open Int"
12/14/2005,194.25,194.25,194.25,194.25,-1.25,0,0
12/13/2005,195.5,195.5,195.5,195.5,1.25,4142,1861
12/12/2005,190.75,194.25,190.75,194.25,4.5,4161,3413
12/09/2005,188,189.75,188,189.75,1.5,4287,3261
12/08/2005,187,188.25,187,188.25,1.25,5979,3764
12/07/2005,190,190.5,187,187,-3.75,9656,4496
12/06/2005,193,193.5,190.75,190.75,-2.75,8845,5265
12/05/2005,189.75,193.5,189.25,193.5,3.75,10635,7525
12/02/2005,189,190.25,188.75,189.75,0.5,17243,9762
12/01/2005,188,189.25,188,189.25,2.75,26708,14572
11/30/2005,186.25,187,185.75,186.5,0.25,32772,21855
11/29/2005,187.75,188,186.25,186.25,-1.5,102456,32464
11/28/2005,190,190.25,187.75,187.75,-2,89910,72093
11/25/2005,190.75,191.25,189.75,189.75,-1,37257,107361
11/23/2005,191.5,191.5,190.75,190.75,-0.75,44738,122546
11/22/2005,191.5,192.75,191.25,191.5,0,67753,140216
11/21/2005,191.25,192,191.25,191.5,0.25,69331,183141
11/18/2005,192,192,191.25,191.25,-1,61836,207477
11/17/2005,192.5,192.75,192,192.25,-0.5,62621,222409
11/16/2005,195.75,196.5,192.75,192.75,-3,94388,235739
11/15/2005,196.5,197.5,195.75,195.75,-1,54861,253576
11/14/2005,195.75,197.75,195.75,196.75,1.25,96499,263633
11/11/2005,193.75,195.5,193.5,195.5,1.75,81176,288073
11/10/2005,195,195.5,193.75,193.75,-1.5,84823,312722
11/09/2005,195,195.5,194.75,195.25,0,69504,340445
11/08/2005,194.5,195.25,194.25,195.25,0.5,63061,362232
11/07/2005,195.25,195.5,194.75,194.75,-0.75,78096,380113
11/04/2005,196.25,197,195.5,195.5,-0.75,59462,407751
11/03/2005,196,197,196,196.25,0.25,48090,421845
11/02/2005,196.25,196.5,195.5,196,-0.75,46854,427283
11/01/2005,196.25,196.75,196,196.75,0.5,67929,436448
10/31/2005,197,197.25,196.25,196.25,-0.75,66624,442451
10/28/2005,197.5,198.25,197,197,-0.75,35474,452924
10/27/2005,198.25,198.5,197.75,197.75,-0.5,34395,470314
10/26/2005,199,199.5,198.25,198.25,-1.25,40174,471373
10/25/2005,199.5,199.5,199,199.5,0,49804,462014
10/24/2005,201.25,201.25,199.5,199.5,-2,67795,461416
10/21/2005,202.25,202.5,201.25,201.5,-1.25,40217,465924
10/20/2005,201.75,202.75,201,202.75,1,35941,467605
10/19/2005,202,202.25,201.75,201.75,-0.25,35406,466584
10/18/2005,203.25,204.25,202,202,-1.75,43069,470681
10/17/2005,203,203.75,202.5,203.75,0.25,48461,466002
10/14/2005,203,203.75,202.75,203.5,0,68275,465036
10/13/2005,205,205.5,203.5,203.5,-2.25,45199,463837
10/12/2005,202.5,205.75,201.75,205.75,3.25,68755,468764
10/11/2005,202,204.5,201.75,202.5,0.5,38968,468028
10/10/2005,202.5,202.75,202,202,-0.5,23557,470212
10/07/2005,204.25,205,202.5,202.5,-1.75,33787,469774
10/06/2005,204.75,206.75,204.25,204.25,-0.5,34820,468377
10/05/2005,205.75,207.75,204.75,204.75,-1,36426,466899
10/04/2005,207.75,208.25,205.75,205.75,-3,51989,466664
10/03/2005,205.25,208.75,205,208.75,3.25,66749,471997
09/30/2005,203.25,205.5,203,205.5,2,53277,469713
09/29/2005,203.5,204,203.25,203.5,0.25,39038,467005
09/28/2005,203,203.5,203,203.25,0,43388,468356
09/27/2005,204.5,204.5,203.25,203.25,-1.25,47255,465686
09/26/2005,206.5,207,204.5,204.5,-2.75,45459,470493
09/23/2005,208,209,207.25,207.25,-1,36899,466132
09/22/2005,206.5,208.25,205.5,208.25,1.75,58936,469016
09/21/2005,206.75,206.75,206.25,206.5,-0.25,45855,468318
09/20/2005,206.25,207,206,206.75,0.5,33513,468741
09/19/2005,205.75,206.5,205.5,206.25,0,37502,471737
09/16/2005,206,206.5,206,206.25,-0.25,41159,476115
09/15/2005,207.5,207.75,206.25,206.5,-1.25,49144,480896
09/14/2005,209.75,210,207.75,207.75,-2.25,52926,484350
09/13/2005,211,211.5,210,210,-1.5,57592,491202
09/12/2005,215.75,216,211.5,211.5,-4.5,113038,497983
09/09/2005,216.25,217.25,216,216,-0.25,42077,507802
09/08/2005,217.5,218,216.25,216.25,-1.25,55304,508608
09/07/2005,220.75,221,217.5,217.5,-3.75,62353,511104
09/06/2005,217,221.25,217,221.25,4,66671,511025
09/02/2005,221.75,222.75,217.25,217.25,-5,63682,513163
09/01/2005,216.5,222.25,216.5,222.25,5.75,78954,513851
08/31/2005,218.5,219.5,216.5,216.5,-2,116315,513092
08/30/2005,218.5,219,218,218.5,-1,96256,510323
08/29/2005,218,222.5,217.75,219.5,1.75,85432,511584
08/26/2005,219.75,220.25,217.75,217.75,-2,81462,512247
08/25/2005,222,222.5,219.75,219.75,-2.5,80755,507318
08/24/2005,224,224,222.25,222.25,-1.75,52785,496901
08/23/2005,227,229.25,224,224,-2,50072,492421
08/22/2005,223.75,226,223.5,226,2.5,38829,489438
08/19/2005,224.75,224.75,223.5,223.5,-1.25,67300,487243
08/18/2005,226.5,228,224.75,224.75,-1.75,54390,483155
08/17/2005,222.5,226.5,221.75,226.5,4.25,80471,482651
08/16/2005,223.5,224.25,222.25,222.25,-1,72683,471507
08/15/2005,230,230.5,223.25,223.25,-7.75,115513,465976
08/12/2005,238,238,231,231,-7.25,101213,456511
08/11/2005,236.5,238.25,236.25,238.25,1.75,75350,440347
08/10/2005,233,236.5,232.5,236.5,3.75,78150,427806
08/09/2005,236,236.25,232.5,232.75,-3,83780,419794
08/08/2005,237.5,240,235.75,235.75,1.25,77368,405921
08/05/2005,237.5,239.25,234.5,234.5,-3,86322,394521
08/04/2005,238.5,239.5,237,237.5,-2.5,56359,383888
08/03/2005,245.5,245.5,240,240,-5.5,80035,379665
08/02/2005,246.25,247.75,245.5,245.5,1.25,63436,377616
08/01/2005,250,251.5,244.25,244.25,-4,79886,373438
07/29/2005,253,254.5,248.25,248.25,-4.25,65880,367510
07/28/2005,248.5,252.5,248.5,252.5,4.75,47658,355224
07/27/2005,243.75,247.75,242.75,247.75,2.5,41437,354202
07/26/2005,242.25,246,241.5,245.25,4,73219,354018
07/25/2005,245.25,245.75,240.75,241.25,-3.5,88017,350681
07/22/2005,244.75,248.75,244.75,244.75,0,56680,350715
07/21/2005,252,254,244.75,244.75,-7.5,76438,348555
07/20/2005,258,259,251.5,252.25,-6.75,99580,341444
07/19/2005,268.5,269.75,259,259,-11,117992,339462
07/18/2005,270.5,273,261,270,2,111394,334118
07/15/2005,260.25,268,259,268,6.25,102734,322429
07/14/2005,256,261.75,253.75,261.75,5.5,112514,310176
07/13/2005,246.5,256.25,244.5,256.25,9.25,101272,298199
07/12/2005,249,249,245.5,247,0.25,50872,292445
07/11/2005,240,246.75,238,246.75,0.5,57811,290068
07/08/2005,251.75,251.75,246.25,246.25,-6.75,58517,288613
07/07/2005,251,253,239,253,2,75770,285518
07/06/2005,252.25,254,249.5,251,0,70460,279593
07/05/2005,238.5,251,237.25,251,15.25,95865,286080
07/01/2005,233,235.75,233,235.75,4,54932,287239
06/30/2005,236.5,237,231.75,231.75,-5.25,79617,283864
06/29/2005,239,241.5,237,237,-1.5,73918,279845
06/28/2005,241.5,242.5,237.25,238.5,-3,76585,280642
06/27/2005,254.5,254.5,241.5,241.5,-11.25,96982,280644
06/24/2005,245.75,252.75,245.75,252.75,6,64993,276231
06/23/2005,248.5,251,246.75,246.75,-3,64093,270843
06/22/2005,253.25,257.75,249.75,249.75,-2.5,63025,271327
06/21/2005,254.75,255.5,251,252.25,-3.5,80259,268373
06/20/2005,250.25,255.75,250,255.75,6.75,75093,256682
06/17/2005,245,249,244.5,249,3.5,54216,239234
06/16/2005,244,246.75,243.75,245.5,1,43474,226871
06/15/2005,239,244.5,238.5,244.5,5.75,49857,219059
06/14/2005,233,238.75,231.75,238.75,4,37896,210265
06/13/2005,230.75,234.75,230.25,234.75,4.5,38863,205541
06/10/2005,234,235.25,230.25,230.25,-4.25,33983,201701
06/09/2005,230.25,234.5,230.25,234.5,-0.25,27253,197840
06/08/2005,237.25,237.25,234.75,234.75,-3.5,28327,195233
06/07/2005,237.5,240.5,236.5,238.25,-0.25,18332,191893
06/06/2005,238.75,242.25,238.5,238.5,2.25,24244,190294
