Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/14/2001,442,442,442,442,-10.25,0,0
03/13/2001,452.25,452.25,452.25,452.25,-6.75,2079,402
03/12/2001,455,459,455,459,2.25,1626,1305
03/09/2001,456.75,456.75,456.75,456.75,1.25,1397,2013
03/08/2001,459.5,459.5,455.5,455.5,-2,1302,2494
03/07/2001,463,463,457.5,457.5,-4.25,1910,2929
03/06/2001,461.75,461.75,461.75,461.75,5.25,1730,3650
03/05/2001,456.75,456.75,453.5,456.5,0.75,1831,4294
03/02/2001,457,460,455.75,455.75,-1.25,2393,5196
03/01/2001,453,457,453,457,3.5,4069,5680
02/28/2001,451,454.75,451,453.5,2.25,11317,7663
02/27/2001,449.75,451.25,449.75,451.25,2,25149,11854
02/26/2001,447.25,449.25,447.25,449.25,1.25,17400,20172
02/23/2001,455,456.5,448,448,-7,18994,24436
02/22/2001,457.5,460,455,455,-2.5,22312,32096
02/21/2001,454,457.5,453.75,457.5,3.5,25151,39712
02/20/2001,456.25,459,454,454,0,24288,46107
02/16/2001,450.25,454,450,454,0.75,19144,49755
02/15/2001,452,453.25,451.75,453.25,2,22006,55232
02/14/2001,449.75,451.25,449.5,451.25,-2.5,18778,57320
02/13/2001,452.5,454,452.5,453.75,0.5,28856,59757
02/12/2001,455,456.5,453.25,453.25,0.25,28591,61310
02/09/2001,453,453,452,453,-10,27484,65899
02/08/2001,463,463.5,462.25,463,-2,33382,71322
02/07/2001,465.5,465.5,464,465,4,22269,73733
02/06/2001,461.75,461.75,461,461,-7,21042,73064
02/05/2001,467.75,468.5,467,468,5,29952,74083
02/02/2001,462.25,463,462.25,463,4.75,24061,75531
02/01/2001,459,459.5,458.25,458.25,-1.5,22537,75857
01/31/2001,460.75,461,459.75,459.75,-1.5,24522,77826
01/30/2001,459.75,461.25,459.75,461.25,1.5,21211,79393
01/29/2001,460,460,457.75,459.75,-7.25,25167,79877
01/26/2001,465,467,465,467,-2,41923,80977
01/25/2001,469.75,470,469,469,1,28650,83243
01/24/2001,467.75,468.5,467.25,468,-9.5,20059,81131
01/23/2001,476.25,477.5,476,477.5,8,32409,82202
01/22/2001,470.25,470.75,469.25,469.5,-6.5,24756,82562
01/19/2001,473.25,476,473,476,2.5,28124,82422
01/18/2001,472.5,474.75,472,473.5,-3.5,24410,82394
01/17/2001,476.75,477,475,477,-0.5,34873,82666
01/16/2001,482,482.5,477.5,477.5,-5,34572,82770
01/12/2001,484.5,485.75,482.5,482.5,-2,45413,82995
01/11/2001,496.25,498,484.5,484.5,-12.75,44685,83729
01/10/2001,502.5,502.5,497.25,497.25,-5.5,30999,84789
01/09/2001,499,502.75,498,502.75,3.75,25540,87008
01/08/2001,496,499,495,499,1.75,24994,87391
01/05/2001,500.5,502.5,497.25,497.25,-3.25,33208,87606
01/04/2001,506.75,507,500.5,500.5,-6.25,31941,88846
01/03/2001,504,506.75,503,506.75,2.25,32748,88581
01/02/2001,510,510.5,504.5,504.5,-5.25,22572,89547
12/29/2000,507.75,509.75,506.25,509.75,1.5,13030,87901
12/28/2000,508,508.75,507.75,508.25,-0.5,0,0
12/27/2000,510.25,511,507.75,508.75,-3.25,0,0
12/26/2000,512,518.25,512,512,-6.25,0,0
12/22/2000,518.5,521,518.25,518.25,-0.75,0,0
12/21/2000,517.25,519,515.75,519,1.5,0,0
12/20/2000,522,522,517.5,517.5,-4.5,0,0
12/19/2000,520,522,518,522,2,0,0
12/18/2000,516.75,522,516.75,520,3.25,0,0
12/15/2000,513.75,516.75,513.75,516.75,3,0,0
12/14/2000,515.25,517.75,513.75,513.75,-2.5,0,0
12/13/2000,515,516.25,513.5,516.25,0.75,0,0
12/12/2000,519.25,521,515.5,515.5,-3.5,0,0
12/11/2000,518,519,516.75,519,0,0,0
12/08/2000,509.5,519,507.75,519,8.25,0,0
12/07/2000,514.25,517,510.75,510.75,-4,0,0
12/06/2000,507,514.75,506.5,514.75,6.5,0,0
12/05/2000,511,511,508.25,508.25,-3.5,0,0
12/04/2000,515.5,515.5,511.75,511.75,-4,0,0
12/01/2000,512.75,515.75,512.75,515.75,2.75,0,0
11/30/2000,507.75,513,507.75,513,4.5,0,0
11/29/2000,509,514,508,508.5,-1,0,0
11/28/2000,506,509.5,505.25,509.5,2.75,0,0
11/27/2000,508.25,516.75,506.75,506.75,-3,0,0
11/24/2000,501,509.75,501,509.75,9.75,0,0
11/22/2000,498.25,500,498,500,2,0,0
11/21/2000,500.25,501.75,498,498,-1.75,0,0
11/20/2000,496,499.75,496,499.75,2.75,0,0
11/17/2000,486,497,486,497,10.5,0,0
11/16/2000,490,490,486.5,486.5,-4,0,0
11/15/2000,487.25,490.5,487.25,490.5,4.75,0,0
11/14/2000,484.25,485.75,484.25,485.75,1,0,0
11/13/2000,480.75,484.75,480.75,484.75,3.25,0,0
11/10/2000,486,486.5,481.5,481.5,-5,0,0
11/09/2000,493.5,494,486.5,486.5,-7.5,0,0
11/08/2000,495.5,497,494,494,-1.75,0,0
11/07/2000,494,495.75,494,495.75,1,0,0
11/06/2000,494.25,495.5,494.25,494.75,1.25,0,0
11/03/2000,492.5,493.75,491.25,493.5,1,0,0
11/02/2000,483.25,492.5,483.25,492.5,9.75,0,0
11/01/2000,478.25,482.75,478.25,482.75,4,0,0
10/31/2000,476.25,478.75,475,478.75,2.25,0,0
10/30/2000,476,477.25,476,476.5,0.25,0,0
10/27/2000,479.75,480,476.25,476.25,-3.5,0,0
10/26/2000,485.25,486,479.75,479.75,-5.75,0,0
10/25/2000,487,488,485.5,485.5,-1.75,0,0
10/24/2000,484,487.25,483.25,487.25,3.25,0,0
10/23/2000,488,488,484,484,-4.5,0,0
10/20/2000,491,493,488.5,488.5,-2.25,0,0
10/19/2000,488.5,490.75,488.5,490.75,2.25,0,0
10/18/2000,489.5,489.5,488.5,488.5,-1.5,0,0
10/17/2000,486.5,490,486.5,490,3.5,0,0
10/16/2000,486.5,487.25,486.25,486.5,-1,0,0
10/13/2000,494.5,494.5,487.5,487.5,-7.5,0,0
10/12/2000,498,498,495,495,-3.25,0,0
10/11/2000,505,505,498.25,498.25,-7,0,0
10/10/2000,503,505.25,502.5,505.25,2.25,0,0
10/09/2000,504,504.25,503,503,-2.75,0,0
10/06/2000,505.25,505.75,505.25,505.75,0.25,0,0
10/05/2000,506,506,505.5,505.5,-1.25,0,0
10/04/2000,508.5,508.5,506.75,506.75,-2,0,0
10/03/2000,508.75,508.75,508.75,508.75,-1,0,0
10/02/2000,508.75,509.75,507.25,509.75,-0.5,0,0
09/29/2000,518,518.75,510.25,510.25,-7.5,0,0
09/28/2000,515,517.75,515,517.75,2.5,0,0
09/27/2000,513,515.25,512.75,515.25,2.25,0,0
09/26/2000,513,513,513,513,-0.5,0,0
09/25/2000,515,515.75,513.5,513.5,-2.25,0,0
09/22/2000,515.75,515.75,515.75,515.75,4,0,0
09/21/2000,507.25,511.75,507,511.75,3.75,0,0
09/20/2000,504,508,504,508,4.25,0,0
09/19/2000,506.25,506.25,503.75,503.75,-4.5,0,0
09/18/2000,505,508.25,505,508.25,5.25,0,0
09/15/2000,511.75,511.75,503,503,-8.75,0,0
09/14/2000,511.75,511.75,511.75,511.75,-6.25,0,0
09/13/2000,524.75,524.75,518,518,-5.5,0,0
09/12/2000,525,535,523.5,523.5,-1,0,0
09/11/2000,524.5,524.5,524.5,524.5,1.5,0,0
09/08/2000,523,523,523,523,13.75,0,0
09/07/2000,515,515,509.25,509.25,-5,0,0
09/06/2000,514.25,514.25,514.25,514.25,-17.25,0,0
09/05/2000,531.5,531.5,531.5,531.5,9.25,0,0
09/01/2000,523,523,522.25,522.25,-1.5,0,0
08/31/2000,523.75,523.75,523.75,523.75,7.75,0,0
08/30/2000,516,516,514,516,0.5,0,0
08/29/2000,515.5,515.5,515.5,515.5,14.25,0,0
08/28/2000,501.25,501.25,501.25,501.25,10.25,0,0
08/25/2000,491,491,491,491,-0.25,0,0
08/24/2000,491.25,491.25,491.25,491.25,2.25,0,0
08/23/2000,489,489,489,489,1.25,0,0
08/22/2000,487.75,487.75,487.75,487.75,-4.5,0,0
08/21/2000,492.25,492.25,492.25,492.25,5.25,0,0
08/18/2000,487,487,487,487,-2.5,0,0
08/17/2000,489.5,489.5,489.5,489.5,-4.75,0,0
08/16/2000,494.25,494.25,494.25,494.25,6.75,0,0
08/15/2000,487.5,487.5,487.5,487.5,2.5,0,0
08/14/2000,485,485,485,485,2.25,0,0
08/11/2000,482.75,482.75,482.75,482.75,6.25,0,0
08/10/2000,476.5,476.5,476.5,476.5,3.75,0,0
08/09/2000,472.75,472.75,472.75,472.75,-1.75,0,0
08/08/2000,474.5,474.5,474.5,474.5,6.75,0,0
08/07/2000,467.75,467.75,467.75,467.75,-2.75,0,0
08/04/2000,470.5,470.5,470.5,470.5,-1.5,0,0
08/03/2000,472,472,472,472,-5,0,0
08/02/2000,477,477,477,477,5,0,0
08/01/2000,472,472,472,472,-3.25,0,0
07/31/2000,475.25,475.25,475.25,475.25,-1.5,0,0
07/28/2000,484.5,488,476.5,476.75,-6.75,0,0
07/27/2000,484,485.5,483.5,483.5,4.25,0,0
07/26/2000,480,480.5,475,479.25,1.25,0,0
07/25/2000,483.5,483.5,476.5,478,-8,0,0
07/24/2000,497,497,484,486,-4.75,0,0
07/21/2000,481,491,481,490.75,8,0,0
07/20/2000,478.5,484,478.5,482.75,5.5,0,0
07/19/2000,470,480,469.5,477.25,4.5,0,0
07/18/2000,472,474.75,471.5,472.75,3.75,0,0
07/17/2000,470,470,467,469,-5.25,0,0
07/14/2000,478,480,471.5,474.25,-6.25,0,0
07/13/2000,483,483.5,479,480.5,-1,0,0
07/12/2000,476.5,482,472,481.5,4,0,0
07/11/2000,486.5,486.5,477.5,477.5,-9.25,0,0
07/10/2000,475,487.5,473,486.75,-1,0,0
07/07/2000,490,490,485,487.75,7.75,0,0
07/06/2000,487.5,490,478,480,-11.5,0,0
07/05/2000,488.5,492,488.5,491.5,1.75,0,0
07/03/2000,492.5,492.5,482.5,489.75,-5.75,0,0
06/30/2000,508,509.5,494,495.5,-14.5,0,0
06/29/2000,510.5,511,509,510,7.75,0,0
06/28/2000,497.5,506.5,497.5,502.25,2,0,0
06/27/2000,499.5,502.25,499,500.25,6.25,0,0
06/26/2000,492,495.5,492,494,-5.25,0,0
06/23/2000,499.5,503,498,499.25,-2.75,0,0
06/22/2000,509,510.5,502,502,-5.25,0,0
06/21/2000,507.5,511,507.25,507.25,1.5,0,0
06/20/2000,510,510,504.5,505.75,-7.25,0,0
06/19/2000,515,516,511.5,513,-5,0,0
06/16/2000,520.5,520.5,516,518,5.5,0,0
06/15/2000,517,517,512.5,512.5,0,0,0
06/14/2000,519,519,508,512.5,-12.5,0,0
06/13/2000,528.5,531,523.5,525,-3.5,0,0
06/12/2000,522.5,528.5,520.5,528.5,-14.5,0,0
06/09/2000,543.5,545.5,543,543,-3.5,0,0
06/08/2000,548,549.5,543.5,546.5,-0.5,0,0
06/07/2000,548.5,548.5,544,547,-9.5,0,0
06/06/2000,555,557,546.75,556.5,2.75,0,0
06/05/2000,560,560,551.5,553.75,-2.75,0,0
06/02/2000,551,557,551,556.5,10.5,0,0
06/01/2000,546.5,548,544.5,546,6.5,0,0
05/31/2000,541.5,559.5,537.5,539.5,1.5,0,0
05/30/2000,544,544,534.5,538,-18.5,0,0
05/26/2000,550.5,557,550,556.5,6.5,0,0
05/25/2000,566,566,548,550,-16.5,0,0
05/24/2000,568,569,563,566.5,-7.5,0,0
05/23/2000,575.5,578,574,574,-5,0,0
05/22/2000,573.5,583,573,579,0.5,0,0
05/19/2000,572,579,572,578.5,4.25,0,0
05/18/2000,580,585,571,574.25,7.25,0,0
05/17/2000,565.5,570,563,567,-3.75,0,0
05/16/2000,575,578,569.5,570.75,-7.25,0,0
05/15/2000,581.5,581.5,566.5,578,-15.5,0,0
05/12/2000,588,593.5,587.5,593.5,-1.25,0,0
05/11/2000,595,596,589,594.75,-0.25,0,0
05/10/2000,585,597,585,595,14.5,0,0
05/09/2000,580.5,582,579.5,580.5,-2.25,0,0
05/08/2000,581,585.5,579,582.75,-8.5,0,0
05/05/2000,591,591.5,587,591.25,-5.25,0,0
05/04/2000,592.5,597.5,592,596.5,-1.5,0,0
05/03/2000,595,604.5,595,598,8,0,0
05/02/2000,590.5,595,589.5,590,-3,0,0
05/01/2000,578,594,578,593,27,0,0
04/28/2000,572,572,563.5,566,-7.5,0,0
04/27/2000,576.5,577,572,573.5,-6.5,0,0
04/26/2000,586.5,587,580,580,-2.5,0,0
04/25/2000,581,586,581,582.5,-1,0,0
04/24/2000,574.5,583.5,572,583.5,6.5,0,0
04/20/2000,570,577,570,577,-1.5,0,0
04/19/2000,575,578.5,574.75,578.5,4.25,0,0
04/18/2000,572.5,574.5,570.5,574.25,3,0,0
04/17/2000,570,573.5,568,571.25,-0.75,0,0
04/14/2000,580.5,580.5,571.5,572,-5,0,0
04/13/2000,576,578.5,573,577,1.5,0,0
04/12/2000,574,576,574,575.5,9.25,0,0
04/11/2000,567,572.5,566,566.25,-4.75,0,0
04/10/2000,570,572,569.5,571,-7,0,0
04/07/2000,567,578,567,578,7.25,0,0
04/06/2000,581.25,581.25,569.5,570.75,-10.75,0,0
04/05/2000,578,582,577,581.5,4,0,0
04/04/2000,582,584.5,575,577.5,-7.5,0,0
04/03/2000,585,591.5,585,585,3.5,0,0
03/31/2000,578,583,578,581.5,8,0,0
03/30/2000,569.5,574,569.5,573.5,9,0,0
03/29/2000,564.5,565,561,564.5,1.5,0,0
03/28/2000,566,566.5,562.5,563,-6.5,0,0
03/27/2000,570.25,571.5,566,569.5,1.5,0,0
03/24/2000,570,570,567,568,6.25,0,0
03/23/2000,565,565,561,561.75,-7.75,0,0
03/22/2000,566,570,564,569.5,5,0,0
03/21/2000,561,564.5,560,564.5,0.75,0,0
03/20/2000,561.5,565,560,563.75,-10.25,0,0
03/17/2000,568,574,568,574,13,0,0
03/16/2000,560,569,559.5,561,0.25,0,0
03/15/2000,562.5,564.5,560.5,560.75,-2.25,0,0
03/14/2000,556,563.5,555,563,9.25,0,0
03/13/2000,546,554,545,553.75,12.75,0,0
03/10/2000,545.5,545.5,541,541,-7,0,0
03/09/2000,550,550,548,548,1.5,0,0
03/08/2000,543,548.5,543,546.5,4,0,0
03/07/2000,546,549,542.5,542.5,-3,0,0
03/06/2000,541.5,545.5,541.5,545.5,3,0,0
03/03/2000,540,544,540,542.5,3,0,0
03/02/2000,534,539.5,534,539.5,0.5,0,0
03/01/2000,541,545,539,539,-3,0,0
02/29/2000,535.5,542,535.5,542,7.5,0,0
02/28/2000,535.5,535.5,534,534.5,2,0,0
02/25/2000,532.5,532.5,531.5,532.5,-8.5,0,0
02/24/2000,536,541,536,541,2,0,0
02/23/2000,549,549,539,539,-14.5,0,0
02/22/2000,556.5,558,553.5,553.5,-2,0,0
02/18/2000,549,555.5,549,555.5,5.75,0,0
02/17/2000,548,550,548,549.75,1.25,0,0
02/16/2000,548,548.5,546.5,548.5,-1,0,0
02/15/2000,544,550.5,544,549.5,1.5,0,0
02/14/2000,549.5,550,548,548,-0.5,0,0
02/11/2000,548.5,548.5,548.5,548.5,-5,0,0
02/10/2000,546,553.5,546,553.5,7.5,0,0
02/09/2000,541,546,541,546,3.5,0,0
02/08/2000,542,545.5,542,542.5,-5,0,0
02/07/2000,547,550,547,547.5,2.5,0,0
02/04/2000,545,545,545,545,5.5,0,0
02/03/2000,539,539.5,539,539.5,-7,0,0
02/02/2000,546.5,550,546.5,546.5,-2.5,0,0
02/01/2000,548.5,549,545,549,2,0,0
01/31/2000,552.5,553,546,547,-16,0,0
01/28/2000,563,566,562,563,-2,0,0
01/27/2000,551,565,551,565,13.5,0,0
