Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/14/2001,444.75,463,443,463,13,0,0
05/11/2001,450,450,450,450,2.5,995,322
05/10/2001,447.5,447.5,447.5,447.5,0,1552,797
05/09/2001,447.5,447.5,447.5,447.5,0,1313,1528
05/08/2001,440.25,447.5,440.25,447.5,6,1222,2207
05/07/2001,441.5,441.5,441.5,441.5,-3,1537,2689
05/04/2001,444.5,444.5,444.5,444.5,1.75,1814,3087
05/03/2001,440,442.75,440,442.75,1.25,2642,3831
05/02/2001,441.5,441.5,441.5,441.5,5.5,4418,4599
05/01/2001,433,436,431.75,436,1.75,5660,5609
04/30/2001,423.5,434.25,422,434.25,11.5,11133,7996
04/27/2001,428.5,430,422.75,422.75,-6,21895,11093
04/26/2001,422,428.75,422,428.75,6.75,25394,17674
04/25/2001,425,426,422,422,-4,18151,25871
04/24/2001,422.5,426,422.5,426,2.75,15426,32693
04/23/2001,428.75,430,423.25,423.25,-6,15574,36130
04/20/2001,429,431,429,429.25,0,12589,40857
04/19/2001,434,434.5,429.25,429.25,-4.75,16471,41755
04/18/2001,429.5,434,426.5,434,4.5,20477,49115
04/17/2001,432.5,432.5,429.5,429.5,-3.25,11801,49363
04/16/2001,434,435.5,432.75,432.75,-2.5,7985,51942
04/12/2001,436.75,437.25,435.25,435.25,-2,12453,52388
04/11/2001,433,437.25,433,437.25,4.5,0,0
04/10/2001,441,442,432.75,432.75,-8.5,14343,53750
04/09/2001,435.5,441.25,435.5,441.25,5.25,16588,55759
04/06/2001,437,439,436,436,-1.5,8663,56252
04/05/2001,437,439,437,437.5,0.25,12014,57130
04/04/2001,430,437.25,429.5,437.25,7,16312,58244
04/03/2001,432.25,433.25,430.25,430.25,-2.5,18932,60504
04/02/2001,432.75,433,431.5,432.75,4.25,16786,62108
03/30/2001,436.5,438.75,428.5,428.5,-8,32548,62853
03/29/2001,441.25,441.75,436.5,436.5,-5.25,19585,62443
03/28/2001,445,445,441.75,441.75,-3.5,15387,62658
03/27/2001,442,445.25,441,445.25,3.25,20913,64429
03/26/2001,438,442,438,442,5.5,17299,63278
03/23/2001,434.5,436.5,434.5,436.5,2.25,20233,66168
03/22/2001,443.25,445,434.25,434.25,-9,30343,66730
03/21/2001,446.25,446.5,443.25,443.25,-3.5,25173,68631
03/20/2001,443.25,446.75,443.25,446.75,3.25,19901,68408
03/19/2001,443,444.25,442.5,443.5,0.5,18152,68228
03/16/2001,445.5,447,443,443,-2.5,16410,68461
03/15/2001,444,445.5,442.5,445.5,1.5,31669,69386
03/14/2001,456.5,456.75,444,444,-12.75,40386,71060
03/13/2001,461,462.5,456.75,456.75,-4.25,24053,71659
03/12/2001,462.5,463,460,461,-1,20601,73445
03/09/2001,461.25,463,461,462,1,25128,73434
03/08/2001,463.5,465.5,461,461,-2,31129,75942
03/07/2001,466.5,468,463,463,-4,34252,77223
03/06/2001,460.25,467,460,467,7,24973,74542
03/05/2001,458,460,456.5,460,2,22405,74227
03/02/2001,460,463,458,458,-2,19318,73832
03/01/2001,455.5,460,455.25,460,4.25,29285,74708
02/28/2001,451,455.75,450.75,455.75,4.75,43013,74537
02/27/2001,447.25,451,447.25,451,3.75,29101,73939
02/26/2001,447.25,447.5,446,447.25,-0.75,23784,68514
02/23/2001,455,456.25,448,448,-7,33345,65586
02/22/2001,458.5,460,455,455,-2.5,29167,61655
02/21/2001,455,457.5,454.5,457.5,2.25,27244,57974
02/20/2001,456,459.5,455.25,455.25,1,15466,51374
02/16/2001,451.75,454.25,451.5,454.25,1,8465,50031
02/15/2001,452.25,453.5,452.25,453.25,0.25,8604,47354
02/14/2001,451.75,453,451.5,453,-1.5,7720,46376
02/13/2001,453.5,455.75,453.5,454.5,0,10449,45409
02/12/2001,459,459,454.5,454.5,-3,14890,44753
02/09/2001,458.5,458.75,457.5,457.5,-13,12563,42922
02/08/2001,469,470.5,469,470.5,-1.25,13254,39519
02/07/2001,471.5,472.25,471.5,471.75,0.25,5820,37627
02/06/2001,470.5,471.5,470.5,471.5,-4.25,5947,36085
02/05/2001,476.5,476.5,474.75,475.75,5.25,9376,35393
02/02/2001,469.5,470.5,469.25,470.5,5.5,6741,34252
02/01/2001,466,466.25,465,465,-2.75,4819,33711
01/31/2001,467.5,468,467.5,467.75,0.5,7952,32927
01/30/2001,467,467.25,467,467.25,0.25,4688,31183
01/29/2001,467.25,467.25,465.25,467,-6,5223,30197
01/26/2001,472,473.5,472,473,-3.25,7829,30061
01/25/2001,476,476.25,476,476.25,2,6129,29052
01/24/2001,473.25,474.25,473.25,474.25,-9,5726,28842
01/23/2001,482.75,483.75,482.25,483.25,0.25,7321,28338
01/22/2001,483,483,483,483,1,4133,27477
01/19/2001,480.25,482,480.25,482,0.5,6386,27560
01/18/2001,479.75,481.5,479.5,481.5,-1.25,4650,27045
01/17/2001,483,483,480.5,482.75,-0.75,6626,27580
