Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/14/2003,644,644,643.5,643.5,1,0,0
05/13/2003,639,642.5,639,642.5,0.25,1341,661
05/12/2003,638,642.25,638,642.25,6,1326,1447
05/09/2003,636.25,636.25,636.25,636.25,15,1766,2438
05/08/2003,621.25,621.25,621.25,621.25,-1.75,2287,3045
05/07/2003,627,627.25,623,623,-2,3598,3901
05/06/2003,620.25,625,620,625,1.25,3055,4898
05/05/2003,624.75,628.5,623.75,623.75,-2.5,3394,5498
05/02/2003,623.75,626.25,623.75,626.25,0.5,6192,6567
05/01/2003,620.75,625.75,620.5,625.75,2.25,8478,8230
04/30/2003,620,623.5,619.5,623.5,2.75,13252,10973
04/29/2003,606,620.75,605,620.75,15.75,18737,15948
04/28/2003,601,605,601,605,6,26587,21023
04/25/2003,601.75,601.75,599,599,-3.5,21923,31642
04/24/2003,603,604,602.5,602.5,-6.75,22743,41106
04/23/2003,609.5,610.5,609,609.25,-0.75,27826,45218
04/22/2003,616.25,618,610,610,-6.5,31092,53690
04/21/2003,621.25,621.75,616.5,616.5,-5.5,22506,61429
04/17/2003,608.5,622,607,622,12.75,37058,69616
04/16/2003,610,611.75,609.25,609.25,-1.25,21896,84440
04/15/2003,607.5,610.5,607.5,610.5,2.75,35566,91351
04/14/2003,599.5,607.75,599,607.75,7.5,43372,100634
04/11/2003,601,601,598.5,600.25,-0.75,32754,105406
04/10/2003,603.75,606.5,601,601,-3,35786,109060
04/09/2003,601,604,600.5,604,3,40566,111487
04/08/2003,598,601,597,601,2.25,34785,113328
04/07/2003,590.25,598.75,590,598.75,8,41621,113874
04/04/2003,585,590.75,583.5,590.75,5.5,24437,114551
04/03/2003,585.75,586.5,585.25,585.25,-1.5,44469,113392
04/02/2003,574.25,586.75,574.25,586.75,13,50671,114301
04/01/2003,575,576.5,573.75,573.75,-0.75,29006,106951
03/31/2003,579.75,580.5,574.5,574.5,-5.5,38246,107132
03/28/2003,579.25,580,578.5,580,-0.25,23439,108823
03/27/2003,569,580.25,569,580.25,11.25,44705,110578
03/26/2003,573.25,573.25,569,569,-4.5,42883,105937
03/25/2003,569.5,573.5,568.25,573.5,3.75,19752,111706
03/24/2003,575.75,576.25,569.75,569.75,-7,22505,113553
03/21/2003,574.5,576.75,574,576.75,2.25,22505,116479
03/20/2003,570.5,574.5,570,574.5,4,21772,115968
03/19/2003,573.25,574,570.5,570.5,-3.5,19643,115271
03/18/2003,568,574,566.75,574,5.75,30701,117837
03/17/2003,572.75,574,568.25,568.25,-6.25,28279,117011
03/14/2003,574.5,574.75,573.5,574.5,-0.75,25647,119782
03/13/2003,565.25,575.25,565,575.25,9.75,41753,118805
03/12/2003,571.5,572,565.5,565.5,-6,31188,112550
03/11/2003,565.75,571.5,565.5,571.5,5.75,36681,112152
03/10/2003,563,565.75,562.75,565.75,2.5,21138,110189
03/07/2003,562.25,563.25,562,563.25,1,48277,113714
03/06/2003,567.5,567.5,562.25,562.25,-5.25,35849,111186
03/05/2003,571.25,571.75,567.5,567.5,-3.5,29111,114251
03/04/2003,577,579.5,571,571,-5.75,45284,115279
03/03/2003,577,580,576.75,576.75,1.75,32111,116391
02/28/2003,581,581.75,575,575,-7,34869,114916
02/27/2003,578.5,582,578,582,3,47171,113661
02/26/2003,574.25,579,574.25,579,4.5,43333,108237
02/25/2003,570.5,574.5,570.5,574.5,4.25,55701,103539
02/24/2003,572,572,570.25,570.25,-3,23969,94523
02/21/2003,569.25,573.25,568.25,573.25,5,29878,92304
02/20/2003,569,569,564.5,568.25,-2.75,30412,89891
02/19/2003,572.5,573.25,571,571,-2.5,29821,85564
02/18/2003,572,573.5,570,573.5,0.5,25336,83167
02/14/2003,571,573,570.5,573,1.5,26435,79421
02/13/2003,562,571.5,562,571.5,9,20604,72129
02/12/2003,569.75,570,562.5,562.5,-7.75,25618,68534
02/11/2003,562.75,570.25,562.5,570.25,7.25,16579,63589
02/10/2003,555,563,555,563,8,10538,59604
02/07/2003,560,560.5,555,555,-4,14883,58645
02/06/2003,559,559,556.25,559,-0.75,5899,57065
02/05/2003,566.25,567,559.75,559.75,-6.75,9494,56745
02/04/2003,564,566.5,564,566.5,2.5,6439,55620
02/03/2003,560,564,557.5,564,3,9249,55201
01/31/2003,564,564.75,561,561,-3.5,9491,54198
01/30/2003,557.5,564.5,557.25,564.5,7.25,8483,52574
01/29/2003,568.25,568.5,557.25,557.25,-11.25,9400,51635
01/28/2003,563,568.5,563,568.5,5.25,6080,51742
01/27/2003,565,570,563.25,563.25,-2.25,9005,51098
01/24/2003,558,565.5,557.5,565.5,7.25,7384,50017
01/23/2003,556,558.25,554.75,558.25,2.25,6266,50118
01/22/2003,552.5,556,552.25,556,3.25,10537,50374
01/21/2003,551.5,552.75,550,552.75,0.75,6752,49949
01/17/2003,545,552,545,552,6.5,11381,50206
01/16/2003,544,545.5,544,545.5,1,15648,48888
01/15/2003,544.25,544.5,543.25,544.5,0,7217,48035
01/14/2003,543.25,545.5,543.25,544.5,2.25,8748,48212
01/13/2003,551.25,552,542.25,542.25,-8.75,9385,49895
01/10/2003,573,578,551,551,-22,16818,50812
01/09/2003,574.5,575.25,573,573,-1.25,6475,50399
01/08/2003,574,578,573.5,574.25,0.75,6921,49782
01/07/2003,570,573.5,567.75,573.5,2.75,6019,48519
01/06/2003,569,571.25,569,570.75,-0.25,7818,48495
01/03/2003,573,573,571,571,12,5086,46389
01/02/2003,559.75,560.25,559,559,0.25,5420,46168
12/31/2002,555.75,558.75,555.75,558.75,2.75,3002,46495
12/30/2002,559.25,559.75,556,556,-0.5,3913,46598
12/27/2002,554.75,556.5,554.75,556.5,1.75,2599,46787
12/26/2002,554.75,554.75,554.75,554.75,-2.5,3316,46707
12/23/2002,558,558.25,557.25,557.25,0.25,3871,45799
12/20/2002,554,557,553.75,557,4.75,5332,45543
12/19/2002,550.5,552.25,550,552.25,2.75,4209,45704
12/18/2002,545,549.5,545,549.5,3,7708,45626
12/17/2002,549,549.5,546.5,546.5,-4.25,6863,44436
12/16/2002,559,559,550.75,550.75,-8.25,4755,43660
12/13/2002,561.75,561.75,559,559,5.25,3788,42279
12/12/2002,554,554.5,553.75,553.75,-2,3434,42055
12/11/2002,552.5,555.75,552.5,555.75,3.5,3051,41884
12/10/2002,550.5,552.75,550.5,552.25,1.5,2827,42373
12/09/2002,550.75,550.75,550.75,550.75,-1,4071,41962
12/06/2002,550.75,552,550.75,551.75,1,4294,41255
12/05/2002,554,556.75,550.75,550.75,-3.25,4791,40311
12/04/2002,551,554,551,554,1.75,3766,39777
12/03/2002,563.25,563.5,552.25,552.25,-13,3596,40236
12/02/2002,569.25,569.25,565.25,565.25,1,4400,40545
11/29/2002,566,566,564.25,564.25,2,2267,40411
11/27/2002,562.25,562.25,562.25,562.25,1.5,2290,39731
11/26/2002,560.75,560.75,560.75,560.75,1,2178,39513
11/25/2002,558,559.75,558,559.75,-0.25,5335,39184
11/22/2002,557.25,560,557.25,560,2.5,4899,38554
11/21/2002,561.75,561.75,557.5,557.5,-5.5,2832,37696
11/20/2002,558.5,563,558.5,563,9.75,4913,37739
11/19/2002,550,553.25,550,553.25,1.75,3040,37171
11/18/2002,551.5,551.5,551.5,551.5,2,3876,36822
11/15/2002,554.75,554.75,549.5,549.5,-3.75,3531,36973
11/14/2002,554.5,554.5,553.25,553.25,1.25,4444,36682
11/13/2002,547.75,552,547.75,552,1.25,4929,36006
