Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/12/2019,902.25,906.75,902.25,906.75,10.5,109,0
07/11/2019,894,896.25,890.75,896.25,3.25,208,136
07/10/2019,884.5,893,880.75,893,10.25,651,308
07/09/2019,872.25,882.75,870.75,882.75,7.5,936,737
07/08/2019,878,878.5,870,875.25,3,1340,958
07/05/2019,884,884.75,871.75,872.25,-13,1991,1269
07/03/2019,875.5,885.75,873.5,885.25,9,3531,1914
07/02/2019,886.25,888.75,876.25,876.25,-9.25,2636,3159
07/01/2019,910.75,910.75,884,885.5,-14.25,4732,3924
06/28/2019,889.25,906,887.25,899.75,12,16083,5046
06/27/2019,893.25,898.25,883.5,887.75,-6.5,74477,11463
06/26/2019,902,902,893.25,894.25,-9.25,108709,30568
06/25/2019,915,917.75,900.5,903.5,-5.5,141144,56831
06/24/2019,902,911.25,899.5,909,6.25,110371,92423
06/21/2019,915,917.25,902.5,902.75,-12.75,139463,115408
06/20/2019,901.25,917.5,896.5,915.5,12.25,147071,170274
06/19/2019,912.5,913.5,901.5,903.25,-10.25,149148,193983
06/18/2019,918.25,921.5,902.75,913.5,0.75,154004,225998
06/17/2019,901,914,900.75,912.75,16,164353,247891
06/14/2019,887.5,898.25,885.25,896.75,8.75,131228,260250
06/13/2019,878,888.75,877.75,888,10,122373,272219
06/12/2019,857.25,883.25,853.25,878,18.75,168960,274977
06/11/2019,855.5,863.5,850.25,859.25,0.75,138285,289361
06/10/2019,853.75,866,848.25,858.5,2.25,109009,307672
06/07/2019,868.75,871.5,855,856.25,-12.5,126250,319035
06/06/2019,869.75,872.25,857.75,868.75,-1,115535,333362
06/05/2019,882,882.75,868.25,869.75,-12,133437,346259
06/04/2019,891.25,894.5,878.5,881.75,2.75,146836,356629
06/03/2019,875.75,886.5,873.5,879,1.25,127513,357832
05/31/2019,889,890.75,876.5,877.75,-11.25,120397,368576
05/30/2019,871.5,889.5,863.5,889,17,138936,376640
05/29/2019,866,892.75,863.5,872,16,216536,383378
05/28/2019,840,858.25,837.5,856,26.25,148619,382946
05/24/2019,821.5,831.5,820,829.75,8.25,94258,384545
05/23/2019,828.5,834,817,821.5,-7,125848,392091
05/22/2019,819.5,835,819,828.5,6.5,124467,395123
05/21/2019,842.75,846.5,819,822,-9.75,188028,400428
05/20/2019,828.25,838.75,824.75,831.75,10,113522,401927
05/17/2019,840.75,841.75,820.5,821.75,-18,119427,404618
05/16/2019,834,845,834,839.75,4.25,106299,408725
05/15/2019,832,848.25,827,835.5,4,182209,407306
05/14/2019,806,838,805.5,831.5,29,167862,414256
05/13/2019,805,807,791,802.5,-6.75,121478,418733
05/10/2019,812.75,818.75,806.25,809.25,-3.5,119854,419656
05/09/2019,826.25,826.5,806.5,812.75,-14.5,144618,422921
05/08/2019,830.75,835,824.75,827.25,-3.5,95639,426139
