Time,Open,High,Low,Last,Change,Volume,"Open Int"
09/14/2011,1383.75,1383.75,1374,1374,-7.25,48,0
09/13/2011,1389.5,1389.5,1374,1381.25,-6.25,932,683
09/12/2011,1415,1415,1381.5,1387.5,-29,1431,810
09/09/2011,1405.75,1416.5,1402.5,1416.5,9.25,1878,1350
09/08/2011,1412,1412.75,1402.5,1407.25,-3.75,2545,1860
09/07/2011,1415.25,1420.25,1402.75,1411,-2.5,3657,2107
09/06/2011,1426.25,1426.25,1402.25,1413.5,-22.5,4749,3373
09/02/2011,1431,1441.75,1426,1436,11.25,6235,4484
09/01/2011,1439,1446.25,1422.5,1424.75,-24.25,10055,5673
08/31/2011,1447.75,1456,1442,1449,0.25,7120,7694
08/30/2011,1440.5,1450.25,1430,1448.75,10.75,15584,9839
08/29/2011,1413.5,1438.75,1411.25,1438,23.25,14810,14964
08/26/2011,1384,1418,1379,1414.75,28.75,21689,21507
08/25/2011,1384.75,1391.25,1377.75,1386,-0.5,14482,24497
08/24/2011,1390,1396.25,1381.5,1386.5,-3,19556,26502
08/23/2011,1376.5,1392,1376.5,1389.5,13,15840,30517
08/22/2011,1366.5,1379.5,1362.25,1376.5,16.75,13587,34316
08/19/2011,1348.75,1366,1340,1359.75,7.75,10231,35038
08/18/2011,1356.75,1359,1336,1352,-4.75,8710,36260
08/17/2011,1340.5,1361,1337.75,1356.75,16.75,15012,37651
08/16/2011,1343,1345,1333.5,1340,-3.5,13434,39077
08/15/2011,1331,1344.75,1331,1343.5,15.75,8755,40058
08/12/2011,1328,1337,1319.75,1327.75,3,9498,41707
08/11/2011,1291,1349.25,1290.25,1324.75,29.25,19648,42083
08/10/2011,1297.25,1311.25,1288.5,1295.5,2.25,16907,43036
08/09/2011,1300.25,1315.25,1276.5,1293.25,-11.25,16476,43147
08/08/2011,1312.75,1321.75,1301,1304.5,-23.5,19317,42924
08/05/2011,1330,1336.5,1313.5,1328,-8.25,22473,42665
08/04/2011,1362,1363,1330.75,1336.25,-27.5,17042,42374
08/03/2011,1368.75,1372,1354.5,1363.75,-6.25,13034,42587
08/02/2011,1354.75,1374.75,1342,1370,16.75,18676,44115
08/01/2011,1349.25,1365.75,1346.75,1353.25,4.75,14252,43730
07/29/2011,1363.25,1368.5,1343.5,1348.5,-14,23684,44584
07/28/2011,1369.5,1376.25,1362,1362.5,-9.25,27996,47724
07/27/2011,1380.25,1386,1366,1371.75,-8.5,26161,47737
07/26/2011,1365.5,1381.5,1362.75,1380.25,15.75,25227,45257
07/25/2011,1368.75,1372.75,1351.25,1364.5,-16.5,19826,43074
07/22/2011,1381,1390,1375.75,1381,-0.25,13493,40581
07/21/2011,1376.75,1386.5,1370.75,1381.25,2.25,12389,39539
07/20/2011,1377.75,1389.25,1373.75,1379,2,12145,38979
07/19/2011,1386.5,1405.25,1373,1377,-5.25,15729,38921
07/18/2011,1383.5,1388.5,1366.5,1382.25,-0.75,9603,38333
07/15/2011,1380,1394,1374.25,1383,3.25,13967,37509
07/14/2011,1373.75,1385,1373.25,1379.75,5,12487,35967
07/13/2011,1352.5,1381.75,1351.75,1374.75,19.75,16194,35070
07/12/2011,1345.5,1362.5,1332.5,1355,10.5,16204,32730
07/11/2011,1348.75,1355,1335.25,1344.5,-0.5,8159,32327
07/08/2011,1339.25,1348,1331.5,1345,8,7755,31283
07/07/2011,1316.5,1339.25,1316.25,1337,20.25,7623,30773
07/06/2011,1315.75,1321.5,1303.75,1316.75,-0.25,7430,30651
07/05/2011,1314.75,1325.25,1308,1317,7.5,10530,29892
07/01/2011,1297.5,1318.75,1295,1309.5,14,11971,29644
06/30/2011,1322.25,1330.5,1284.5,1295.5,-28,10554,29437
06/29/2011,1320.5,1338.5,1318.25,1323.5,2.5,9342,28199
06/28/2011,1322,1331,1315,1321,4.25,8313,27136
