Time,Open,High,Low,Last,Change,Volume,"Open Int"
11/14/2003,768,773,768,773,2,0,0
11/13/2003,771,771,771,771,2,950,545
11/12/2003,783,783,769,769,-8,1510,976
11/11/2003,764,777,764,777,19.5,4454,1632
11/10/2003,738.5,757.5,736,757.5,14.5,4808,2914
11/07/2003,753,753,743,743,-14.75,5242,4197
11/06/2003,768.25,772.25,757.75,757.75,-7.5,6663,4688
11/05/2003,755,765.25,745.75,765.25,8.25,8381,5784
11/04/2003,791.25,791.5,757,757,-33,12414,6555
11/03/2003,795,803.5,790,790,-4.25,20537,9501
10/31/2003,794,801.75,791.75,794.25,0.75,27109,13558
10/30/2003,799.75,803.5,793.5,793.5,-6.5,28577,21535
10/29/2003,783.5,800,783.5,800,18,31570,27930
10/28/2003,757,782,756,782,23.5,33577,37500
10/27/2003,765.25,780,758.5,758.5,-4,33283,47517
10/24/2003,763,768.75,761.5,762.5,-1.25,34060,59434
10/23/2003,750.5,765,750.5,763.75,14,45510,78505
10/22/2003,730.5,749.75,730.25,749.75,19.5,64672,88313
10/21/2003,729.25,730.25,724,730.25,1,53863,91668
10/20/2003,729.75,738.25,729.25,729.25,0,43123,96583
10/17/2003,726,733.5,726,729.25,3.75,50915,98655
10/16/2003,727,730.5,722,725.5,-2,48843,102279
10/15/2003,741,741,727.5,727.5,-14,60707,109612
10/14/2003,731.5,743.5,730.5,741.5,10,81422,115099
10/13/2003,714,731.5,713.5,731.5,18,74626,121870
10/10/2003,692,713.5,691,713.5,21,89345,126269
10/09/2003,677.75,692.5,677.5,692.5,14,48119,128108
10/08/2003,686.75,687.5,678.5,678.5,-9.25,41610,128903
10/07/2003,685.5,689,685,687.75,14,40693,132152
10/06/2003,676,676,672,673.75,-4.25,50213,134227
10/03/2003,695.75,696.5,678,678,-19,56100,132600
10/02/2003,687.25,700.25,687,697,9.75,53136,139211
10/01/2003,677.25,687.25,677.25,687.25,10,45102,139554
09/30/2003,682,684.5,677.25,677.25,-6,63123,139551
09/29/2003,657,683.25,657,683.25,26.75,59948,140690
09/26/2003,655.5,656.5,651.5,656.5,1,43264,143519
09/25/2003,653.5,657.25,653.25,655.5,2.5,50013,141967
09/24/2003,651.25,653,651,653,2,50661,137818
09/23/2003,651.75,654.5,648.5,651,-0.25,58750,137241
09/22/2003,638,651.25,638,651.25,13.25,52125,138835
09/19/2003,626.5,638,626.5,638,11,42332,138930
09/18/2003,618.5,627,618.25,627,9.75,37946,139902
09/17/2003,610.75,617.25,610,617.25,6.5,34796,139704
09/16/2003,620.5,622,610.75,610.75,-8.25,43759,139103
