Time,Open,High,Low,Last,Change,Volume,"Open Int"
11/14/2006,645,656,645,656,9.5,0,0
11/13/2006,653.75,657.5,644.5,646.5,-4.75,3891,1852
11/10/2006,655,657.75,649,651.25,-6.25,5504,4044
11/09/2006,665.5,668.5,656.5,657.5,-8.75,8458,5252
11/08/2006,655,670.5,655,666.25,11.5,9836,6591
11/07/2006,649.5,657.75,645.5,654.75,5.5,11042,7767
11/06/2006,645.25,653,643,649.25,0.25,11243,9445
11/03/2006,647.75,656,642.25,649,0.75,18569,10819
11/02/2006,646.25,669,645.25,648.25,3.25,22163,13170
11/01/2006,630,646,628.25,645,14.75,27622,16779
10/31/2006,639,641,630,630.25,-9.5,32532,21795
10/30/2006,633.5,643,632.5,639.75,4.25,48955,28712
10/27/2006,626.25,639.5,626.25,635.5,7.75,33540,39746
10/26/2006,621.25,632.5,612.5,627.75,5.75,40145,62013
10/25/2006,623,641,620.75,622,-1.5,50316,70203
10/24/2006,617,625.5,614.25,623.5,6,55648,81303
10/23/2006,606,618,602,617.5,11,47457,97376
10/20/2006,608,613.75,604.5,606.5,-1.5,61468,110708
10/19/2006,605,614,603.75,608,3.5,76945,119217
10/18/2006,599.75,605.75,594.75,604.5,4,70618,128156
10/17/2006,588.25,603.25,587.5,600.5,11.5,85564,135050
10/16/2006,589,593.25,585.5,589,-2.5,65379,141353
10/13/2006,578.75,594.75,578.25,591.5,11.75,79660,147305
10/12/2006,561,590,559,579.75,17.5,112090,154331
10/11/2006,559.75,569.25,558.75,562.25,1.75,75085,165009
10/10/2006,572,574.5,560,560.5,-14,93375,172454
10/09/2006,563,575.75,560.5,574.5,10.5,87263,187490
10/06/2006,564.75,570.25,562.5,564,-1.5,81102,195968
10/05/2006,556,567.25,554,565.5,10.25,109649,206501
10/04/2006,542.5,562.75,541,555.25,12.75,78963,216656
10/03/2006,545,545,540.5,542.5,-2.75,53314,219829
10/02/2006,547.25,554.75,544.75,545.25,-2.25,50402,222525
09/29/2006,552,555,545.5,547.5,-5.25,71374,226778
09/28/2006,542.75,554,542,552.75,10.25,70699,230718
09/27/2006,546.25,548.75,542.25,542.5,-4.25,39291,232374
09/26/2006,544.5,550.5,544.25,546.75,1.75,47866,234001
09/25/2006,549,549.25,539.5,545,-4.25,67975,239049
09/22/2006,557,558.25,548.5,549.25,-8.75,47596,239222
09/21/2006,549.75,561.75,549,558,8.75,63597,241951
09/20/2006,543.75,551.75,542.5,549.25,5,52948,241879
09/19/2006,552.5,555,543.5,544.25,-8.75,57475,241895
09/18/2006,555.5,557.75,551.25,553,3.25,48610,242542
09/15/2006,544.5,558,542.75,549.75,4.5,59844,243345
09/14/2006,540.5,547.5,540.5,545.25,4.75,42538,247259
09/13/2006,538.5,544.5,536.75,540.5,2,38970,247486
09/12/2006,543.75,549.5,537.5,538.5,-6,55126,248023
09/11/2006,549,549.5,542,544.5,-3.5,41568,250071
09/08/2006,549.75,555.75,548,548,-2,45984,250174
09/07/2006,546.5,553,543.25,550,3.25,57618,252304
09/06/2006,554,558.5,546.25,546.75,-7.5,53399,253023
09/05/2006,550.5,564,546,554.25,2.75,69831,254204
09/01/2006,555.5,557,551.25,551.5,-4.25,40617,255027
08/31/2006,555,558,551,555.75,0,53537,253017
08/30/2006,550.75,556.75,549.25,555.75,4.75,59561,250205
08/29/2006,552,555,550.5,551,-1,38472,248316
08/28/2006,555,557,551.25,552,-5,47794,246167
08/25/2006,564,565,554.5,557,-8,56038,243791
08/24/2006,566,569.5,561.75,565,-1.5,47273,238022
08/23/2006,563,569,562,566.5,4.25,44894,235497
08/22/2006,561,563.25,560,562.25,1,34490,233322
08/21/2006,559.25,562.5,558.5,561.25,0.75,29154,231434
08/18/2006,564,565.75,559.5,560.5,-4,32856,228634
08/17/2006,565,567,561,564.5,-0.5,34760,228871
08/16/2006,568.25,573,563.75,565,-4.25,41219,229916
08/15/2006,569.25,571,566.5,569.25,0,44091,227961
08/14/2006,564,569.75,562,569.25,1,50834,224920
08/11/2006,574,576.75,565.25,568.25,-6,66056,224265
08/10/2006,580,581.5,573.5,574.25,-5.75,36747,223934
08/09/2006,576,581.25,576,580,3.75,37803,225871
08/08/2006,581,583,573.75,576.25,-5.75,68086,225835
08/07/2006,590,590.75,580,582,-15,79177,224994
08/04/2006,597.75,602,593.25,597,1.5,41438,221903
08/03/2006,600,600.25,594,595.5,-5.75,47133,223293
08/02/2006,594.75,608,594.75,601.25,7.5,73585,223478
08/01/2006,599.5,600.75,593,593.75,-6,58410,222372
07/31/2006,604.75,606,599.75,599.75,1.75,59456,219776
07/28/2006,596,598.75,596,598,3,44324,212694
07/27/2006,602.75,604,595,595,-7.75,64289,208688
07/26/2006,609,609.75,602.75,602.75,-4.25,48532,201606
07/25/2006,607.5,611.5,607,607,2.25,53905,197962
07/24/2006,599,604.75,596,604.75,6.25,30591,195192
07/21/2006,605.25,606.5,598.5,598.5,-7,48351,194946
07/20/2006,606.75,610.25,604.25,605.5,-1.75,44694,192497
07/19/2006,611.5,611.5,604.25,607.25,-3.75,57754,192892
07/18/2006,613.75,614.25,610,611,-0.25,50469,189569
07/17/2006,619,621.75,611.25,611.25,-13.75,49890,192786
07/14/2006,618.5,625,617,625,3,43053,196663
07/13/2006,628,628,620.75,622,-7.5,45086,194827
07/12/2006,631,636,628.75,629.5,-3,52100,193900
07/11/2006,634.5,641,630,632.5,2.75,65069,196167
07/10/2006,635.5,638.5,628,629.75,2,56535,193640
07/07/2006,636,636.75,621.25,627.75,-7.5,48284,189817
07/06/2006,620.75,635.25,620,635.25,14.25,69763,191486
07/05/2006,636,636,621,621,-8.25,47230,188834
07/03/2006,632.5,632.5,627.5,629.25,6.75,47648,189155
06/30/2006,611,622.5,610.75,622.5,13,91250,187348
06/29/2006,603.75,609.5,603.5,609.5,3.75,44594,197502
06/28/2006,602.75,605.75,599.5,605.75,2.25,53806,198271
06/27/2006,594.5,603.5,594,603.5,9,60074,197201
06/26/2006,605.75,606,594.5,594.5,-12,69755,196766
06/23/2006,608.75,609.5,606,606.5,-2.25,38954,188892
06/22/2006,614.5,615.25,608.75,608.75,-4,42271,185261
06/21/2006,611.5,614,610.25,612.75,0.75,34112,181464
06/20/2006,611,612.75,609.25,612,1,32040,176740
06/19/2006,621,623,611,611,-16,57158,175225
06/16/2006,623,627,622.75,627,6.5,37825,168213
06/15/2006,619,622.5,618.75,620.5,2.5,42595,159474
06/14/2006,626.25,627.5,618,618,-6.5,27292,153438
06/13/2006,629,629.25,622.25,624.5,-4.5,35783,148345
06/12/2006,625.5,629,621,629,13.5,41723,139395
06/09/2006,615.5,618,613.5,615.5,-1,46488,134751
06/08/2006,624,624,616.5,616.5,-8,34619,126900
06/07/2006,619,624.5,618.75,624.5,5.5,34076,120851
06/06/2006,627.5,630.25,619,619,-10,19003,111866
06/05/2006,628,632,628,629,-4.25,27072,109790
06/02/2006,612,633.25,608.75,633.25,20.75,29941,109890
06/01/2006,604.75,612.5,599.5,612.5,8.25,27849,107082
05/31/2006,608,609.5,604.25,604.25,-4.5,18382,107247
05/30/2006,608,612,604,608.75,0.75,14019,105667
05/26/2006,609,611,608,608,-0.75,12423,104329
05/25/2006,607,608.75,604,608.75,1.5,10983,102729
05/24/2006,609.5,612.75,607.25,607.25,-3.5,16358,101817
05/23/2006,606,610.75,605.25,610.75,4.75,15659,99427
05/22/2006,613.5,613.5,604.5,606,-4.75,15586,100358
05/19/2006,620.75,620.75,610.75,610.75,-10.25,14536,99672
05/18/2006,625,625.75,621,621,-4.5,11200,100772
05/17/2006,624.75,629,624.5,625.5,0.75,19441,102170
05/16/2006,625.75,625.75,616.75,624.75,-1,10182,103041
05/15/2006,633.25,636.75,625.75,625.75,-6.25,11721,102490
05/12/2006,630,634.25,630,632,0.75,25197,101449
05/11/2006,624.5,631.25,621.5,631.25,6,21318,97841
05/10/2006,624,631,623.25,625.25,1.5,16089,95436
05/09/2006,619,626.25,619,623.75,6,14851,93842
05/08/2006,623.25,629.75,617.75,617.75,-7.5,10931,91134
05/05/2006,622.75,626.5,622.75,625.25,3,12996,91010
05/04/2006,624.5,625,622.25,622.25,-3,11146,88162
05/03/2006,622,627.5,622,625.25,2.75,11175,87343
05/02/2006,625,629,622.5,622.5,-3.5,12005,87180
05/01/2006,618.25,626,616.5,626,5.25,16993,87043
04/28/2006,609,620.75,609,620.75,11.25,28724,82665
04/27/2006,609.25,610.25,606,609.5,-0.75,11656,78749
04/26/2006,612.5,613.5,610.25,610.25,-3.5,6293,77549
04/25/2006,608.25,613.75,607.25,613.75,4.5,11574,76924
04/24/2006,604.75,611,604.75,609.25,5.25,14054,76487
04/21/2006,604.25,604.25,601,604,-1.25,5970,74958
04/20/2006,607,610,605.25,605.25,-2.25,8220,74253
04/19/2006,608,609.25,606.5,607.5,-2.25,8948,73301
04/18/2006,603,609.75,602,609.75,5.25,10577,72406
04/17/2006,598,604.5,595,604.5,8.25,9213,70725
04/13/2006,593.5,596.25,592,596.25,2.25,3427,69812
04/12/2006,594.75,595.5,593,594,-1.5,6335,70158
04/11/2006,586,595.5,584.75,595.5,8.75,10606,71237
04/10/2006,588,588.25,586,586.75,-2,6370,70541
04/07/2006,592.5,592.75,588.5,588.75,-4.5,6029,69726
04/06/2006,592,595.75,591.75,593.25,1.5,5728,68950
04/05/2006,589.25,591.75,587.25,591.75,1.75,9378,68079
04/04/2006,596,596.75,590,590,-6.25,9431,66213
04/03/2006,602,603.5,596.25,596.25,-6.5,10147,66931
03/31/2006,612.75,615.5,602.75,602.75,-12.75,11362,65876
03/30/2006,610,615.5,609,615.5,5.25,8314,65217
03/29/2006,610,612.25,609.25,610.25,0.25,4372,63625
03/28/2006,607,610,606.5,610,2,4110,63293
03/27/2006,603.5,608.25,602.25,608,4.75,5499,63237
03/24/2006,604,605,603.25,603.25,0.25,3031,62363
03/23/2006,604.5,604.5,601.5,603,-2.25,2286,62069
03/22/2006,603,607,602,605.25,2.25,3852,62405
03/21/2006,601,604,601,603,1.75,2356,62509
03/20/2006,604.25,609.75,601.25,601.25,-4,3777,62762
03/17/2006,603.75,606.5,603.25,605.25,0.75,6446,62435
03/16/2006,608.75,611.5,604.5,604.5,-6.25,4297,63598
03/15/2006,613,614,610.75,610.75,-2.5,5724,63554
03/14/2006,610.25,613.25,607.25,613.25,2.25,4243,62986
03/13/2006,611,613,608,611,-3.75,3899,62845
03/10/2006,612.5,614.75,608.75,614.75,0.5,5863,62881
03/09/2006,609.25,614.25,608.75,614.25,4.5,3644,62483
03/08/2006,614,615,609.75,609.75,-4.25,5189,62162
03/07/2006,622.75,624.5,614,614,-8.5,4394,63009
03/06/2006,623.5,624.5,616,622.5,-5,5957,62514
03/03/2006,625,627.75,623.75,627.5,0.75,4584,61653
03/02/2006,614.25,626.75,611,626.75,12.25,8107,60310
03/01/2006,615,618,613.5,614.5,-3.75,5246,58742
02/28/2006,616,618.25,612.5,618.25,2.5,4873,58568
02/27/2006,615,615.75,609.5,615.75,1.75,7061,57487
02/24/2006,607,616,607,614,6.5,3458,56147
02/23/2006,608,610,607.5,607.5,-1.25,2341,55537
02/22/2006,620,620,608.75,608.75,-11.75,6084,55474
02/21/2006,626,629.5,620.5,620.5,-9,5714,54866
02/17/2006,621.75,629.5,621.75,629.5,6,10057,53354
02/16/2006,619,623.5,616,623.5,3.75,4525,51126
02/15/2006,615,619.75,615,619.75,4,5586,50602
02/14/2006,618.75,620,615.75,615.75,-3.5,3743,50586
02/13/2006,617.25,623.25,613.25,619.25,0.5,3489,50380
02/10/2006,624.5,625,617,618.75,-6.25,3897,50273
02/09/2006,614.75,625,614.75,625,11,5444,50092
02/08/2006,611,614,607.75,614,3,4319,48282
02/07/2006,621,625,611,611,-10.75,4173,48589
02/06/2006,621,637,621,621.75,-8.75,4431,48023
02/03/2006,620,630.5,620,630.5,9.5,5629,47452
02/02/2006,615,621,615,621,4.25,2911,46127
02/01/2006,626.5,629,616.75,616.75,-12.75,5734,45871
01/31/2006,628.25,630.25,626,629.5,-1.25,6690,44643
01/30/2006,622.25,635,622.25,630.75,9.75,8329,42718
01/27/2006,607.5,621,607.5,621,15,7719,39967
01/26/2006,600,606,599.5,606,5.5,2524,39489
01/25/2006,600,605,600,600.5,-1.75,4904,39194
01/24/2006,605,605.25,602.25,602.25,-2.5,2419,38018
01/23/2006,600,606.5,598,604.75,7.25,3837,37742
01/20/2006,595,597.5,595,597.5,3.25,2030,36758
01/19/2006,594.5,598,594.25,594.25,-0.25,3320,36474
01/18/2006,599.25,599.5,593.75,594.5,-6,3106,36470
01/17/2006,601,607,599.75,600.5,-4.75,2978,36640
01/13/2006,600.25,605.25,600.25,605.25,5,3812,35988
01/12/2006,609.25,612.5,600.25,600.25,-9.75,8148,35821
01/11/2006,616.75,619.5,610,610,-7,3663,34303
01/10/2006,620.5,623.75,617,617,-2.5,3596,34479
01/09/2006,625,628.75,619.5,619.5,-14,4619,34140
01/06/2006,638.25,643,633.5,633.5,-5.25,3533,32945
01/05/2006,647,647.5,638.75,638.75,-9.25,3830,31891
01/04/2006,643.5,648,642.25,648,2.75,5457,31298
01/03/2006,632,645.25,632,645.25,9.75,7203,29424
12/30/2005,624,635.5,622.5,635.5,10,2255,26796
12/29/2005,635,635,625.5,625.5,-9.75,1966,26373
12/28/2005,635.5,636,633,635.25,-0.5,1417,25870
12/27/2005,634,642,632.75,635.75,0.25,2154,25778
12/23/2005,637.25,640,635,635.5,-4,3070,25279
12/22/2005,632.5,639.5,632.5,639.5,6,4258,24320
12/21/2005,632.75,633.5,629,633.5,-0.75,4526,22983
12/20/2005,634,637,634,634.25,-4,6358,22669
12/19/2005,623,638.25,623,638.25,15,5130,21358
12/16/2005,617,625,616.5,623.25,2.5,3573,19644
12/15/2005,622.25,622.5,620.75,620.75,-2.75,1906,18671
12/14/2005,621.75,623.5,620.5,623.5,0,4818,18237
12/13/2005,609.5,623.5,606.5,623.5,12.5,2454,17386
12/12/2005,598,611,597.75,611,13,3646,16813
12/09/2005,589.25,598,589.25,598,7,1622,16198
12/08/2005,585,591,585,591,7,677,15635
12/07/2005,584,584,584,584,-3,748,15613
12/06/2005,587,587,587,587,-6.75,526,15459
12/05/2005,593.75,593.75,593.75,593.75,6.75,627,15372
12/02/2005,586.5,587,585.5,587,0,366,15255
12/01/2005,587.5,588,587,587,0.5,642,15296
11/30/2005,584,586.5,584,586.5,4,910,15452
11/29/2005,587,587,582.5,582.5,-3,887,15219
11/28/2005,583,585.5,575,585.5,2,2192,15204
11/25/2005,590,590,583.5,583.5,-6.5,2546,14927
11/23/2005,596,596,590,590,-6.75,1375,14964
11/22/2005,598,600,596.75,596.75,-1.5,642,14813
11/21/2005,595.25,598.25,595.25,598.25,3.25,753,14765
