Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/14/2013,712,714.25,712,714.25,7,30,0
03/13/2013,698,707.25,698,707.25,6.75,315,55
03/12/2013,693,702.25,693,700.5,6.5,158,245
03/11/2013,687.25,697.25,687.25,694,4,58,381
03/08/2013,688,693.75,679.5,690,3.25,73,421
03/07/2013,678.25,686.75,674.75,686.75,10.5,346,474
03/06/2013,695.25,695.25,676,676.25,-20,724,623
03/05/2013,698.5,700,693.5,696.25,0.25,1434,904
03/04/2013,714,714,691,696,-17.25,2173,1285
03/01/2013,710.75,718.75,701,713.25,5.5,3790,2360
02/28/2013,705.25,716.75,702.25,707.75,3.5,8211,3399
02/27/2013,705.25,717.25,702,704.25,-1.5,42602,6019
02/26/2013,699.25,706.75,692.75,705.75,6.5,37805,25170
02/25/2013,714.5,717.5,698,699.25,-15.75,33179,43765
02/22/2013,721,729.75,713.5,715,-6.25,47984,57870
02/21/2013,737.5,738.25,719.25,721.25,-17.25,71236,84060
02/20/2013,731.75,740.75,727.75,738.5,6.25,46611,104891
02/19/2013,747,747.25,726.25,732.25,-10,60016,113778
02/15/2013,732.75,744.5,732.75,742.25,10.25,60478,121634
02/14/2013,735.75,740.75,725,732,-3.5,71176,130588
02/13/2013,732.75,737.75,722.5,735.5,3.5,68730,141178
02/12/2013,742.5,744.25,725.5,732,-9.5,84273,158627
02/11/2013,757.5,759.5,740.25,741.5,-14.75,79394,166079
02/08/2013,755.75,770.75,753,756.25,0.25,97838,179353
02/07/2013,760.75,764.5,752.75,756,-5.5,67677,196568
02/06/2013,758,764,746.5,761.5,4,72964,206197
02/05/2013,763.5,766.5,751,757.5,-5.5,61957,214584
02/04/2013,767.5,774,761,763,-2,42894,216307
02/01/2013,780.5,790,764.5,765,-14.5,81099,216693
01/31/2013,786.75,791,773.75,779.5,-7.5,58960,219455
01/30/2013,776.25,789,771.75,787,10,59373,221335
01/29/2013,779.25,785,776,777,-2.25,32705,223962
01/28/2013,778.25,783,770.5,779.25,2.75,33839,222395
01/25/2013,769.5,781.25,764.25,776.5,8,51964,226078
01/24/2013,775.5,775.75,763,768.5,-6.25,49400,226274
01/23/2013,779,785,771,774.75,-4.5,53745,226800
01/22/2013,795,799.75,776,779.25,-12,70567,230469
01/18/2013,782.75,793.75,778.75,791.25,10,51739,234650
01/17/2013,786.25,789.5,776,781.25,-3.75,49509,233800
01/16/2013,782.75,791,777,785,2.25,55859,233964
01/15/2013,769.75,789.75,766.5,782.75,15.75,85447,233757
01/14/2013,761.5,777,760.75,767,12.25,89410,240263
01/11/2013,745.25,773,736.25,754.75,10.25,123386,239975
01/10/2013,747.25,756.5,744,744.5,-1,70507,249763
01/09/2013,752.5,757,745,745.5,-5,64306,255760
01/08/2013,750.5,759.25,749.25,750.5,-0.75,59739,254325
01/07/2013,749.5,760.5,743.5,751.25,4,50442,257969
01/04/2013,755.5,758.25,739.75,747.25,-8.25,53001,253052
01/03/2013,758,761.25,749.75,755.5,0.25,52889,251570
01/02/2013,785.5,788,752.5,755.25,-22.75,57612,251391
12/31/2012,778.75,780,767.75,778,-0.75,27171,247090
12/28/2012,772.75,784.5,766.5,778.75,6.5,42704,244711
12/27/2012,775.25,778,764.5,772.25,-2.25,34718,243565
12/26/2012,794,795.25,773.75,774.5,-19.25,24872,243294
12/24/2012,793.5,796.25,791.25,793.75,1.75,9187,240799
12/21/2012,790.5,798.75,789.75,792,1.5,30912,240353
12/20/2012,806.25,808.5,782.5,790.5,-15.25,57291,238337
12/19/2012,813,822.75,802,805.75,-5.5,57923,239626
12/18/2012,808,814.25,801.5,811.25,3.25,43526,239242
12/17/2012,816,819,805,808,-6,31789,238726
12/14/2012,808.25,817.5,806.25,814,5.5,39670,239825
12/13/2012,810.5,817.75,801.5,808.5,-3.5,58058,239079
12/12/2012,823,825.5,809,812,-9.5,65735,236850
12/11/2012,849,849,816,821.5,-27.25,98744,239701
12/10/2012,862,862.5,846.75,848.75,-12.25,63553,240000
12/07/2012,862.25,864.75,852.75,861,-1,50570,241044
12/06/2012,861,864.25,853,862,2,36226,245931
12/05/2012,856.5,863.5,852.5,860,3.5,40826,247855
12/04/2012,861.5,865,851.5,856.5,-4.25,48094,249622
12/03/2012,869,877.25,858.25,860.75,-2.75,53911,253807
11/30/2012,886,887,862.5,863.5,-22,90132,254700
