Time,Open,High,Low,Last,Change,Volume,"Open Int"
05/14/2015,490.25,503.25,490.25,501.75,20.75,6,0
05/13/2015,481.25,481.75,472.75,481,1.75,37,22
05/12/2015,476.5,489.75,476.5,479.25,3,194,53
05/11/2015,473.5,476.25,473.5,476.25,-0.25,30,93
05/08/2015,468,476.5,468,476.5,10.75,142,205
05/07/2015,472.75,478,465.75,465.75,-10,176,204
05/06/2015,467,478,464.25,475.75,11.75,197,170
05/05/2015,468.75,469.75,460,464,-5.25,280,295
05/04/2015,471.75,471.75,465,469.25,-0.75,451,437
05/01/2015,469.5,472.25,465.25,470,3,688,609
04/30/2015,477,481.75,465,467,-10.25,2722,1038
04/29/2015,472,478.25,469,477.25,5.75,13223,2705
04/28/2015,472,474,460,471.5,1.25,17459,8211
04/27/2015,486.5,488,469.5,470.25,-15.75,19322,15799
04/24/2015,498.25,499.5,485,486,-11.75,29515,25732
04/23/2015,499.5,503.5,497.5,497.75,-1,31255,38783
04/22/2015,500.25,504.75,496.25,498.75,-2,25143,43773
04/21/2015,498.5,506.5,494.25,500.75,2,44517,50992
04/20/2015,495,499.25,492,498.75,4.25,50204,62486
04/17/2015,494.25,499.75,490.75,494.5,0,45430,73345
04/16/2015,490,495.5,489,494.5,3.75,69497,83695
04/15/2015,498.5,503.75,490,490.75,-6.25,74272,102064
04/14/2015,504.25,506.25,496.25,497,-5.25,89811,111056
04/13/2015,518,520,501.5,502.25,-24.25,105802,121383
04/10/2015,518,527.5,515.5,526.5,7.75,97676,126694
04/09/2015,525.5,526.75,513.75,518.75,-7.5,92579,144098
04/08/2015,528,530.75,518.25,526.25,0.25,91366,153450
04/07/2015,526,534,517.75,526,-1.75,81410,168662
04/06/2015,537.5,543.75,525,527.75,-8.5,53328,175193
04/02/2015,528,544.25,522.5,536.25,7.75,93322,176072
04/01/2015,513,529,506,528.5,16.75,83997,183602
03/31/2015,531.75,531.75,509,511.75,-18.5,103920,183064
03/30/2015,513.25,531,508.75,530.25,22.5,88442,184390
03/27/2015,499,509,499,507.75,8.5,55820,196488
03/26/2015,519,525.25,498.25,499.25,-19.75,84097,200036
03/25/2015,523,528.25,516,519,-4.5,46777,192057
