Time,Open,High,Low,Last,Change,Volume,"Open Int"
07/14/2010,534.5,553.25,533.5,548.25,12.5,0,0
07/13/2010,520,536.75,520,535.75,14.5,332,599
07/12/2010,523.5,524.5,520,521.25,-2.25,1659,1356
07/09/2010,529.75,529.75,519.75,523.5,-10.5,2714,2132
07/08/2010,515,534.5,510,534,18.25,3901,2976
07/07/2010,492,517,492,515.75,23,4025,3140
07/06/2010,487.75,511,487.75,492.75,5,5525,3930
07/02/2010,482.5,492,481.25,487.75,3.75,6254,4577
07/01/2010,464.25,486,461,484,19.25,9964,6349
06/30/2010,441.5,477.25,441.5,464.75,22.75,17201,7958
06/29/2010,448.25,448.5,440,442,-7.5,25205,12999
06/28/2010,455.5,455.5,444,449.5,-6.75,32821,23047
06/25/2010,462.75,464.75,455.25,456.25,-6.75,24162,34309
06/24/2010,461.25,470,461,463,0.75,32322,44255
06/23/2010,459.75,468.5,458.25,462.25,1.5,39445,53553
06/22/2010,461.25,463.75,455.75,460.75,-1.25,28367,63866
06/21/2010,462.75,469.25,455.25,462,0.25,42360,69464
06/18/2010,462.5,470,458.75,461.75,-1,51060,78957
06/17/2010,461,465.5,453.5,462.75,1.5,51215,93958
06/16/2010,451.5,468,451,461.25,9.5,70631,101248
06/15/2010,451,456.25,445.25,451.75,0.25,41286,118073
06/14/2010,442.75,454.75,441.75,451.5,10.75,72669,130304
06/11/2010,433,449,427.5,440.75,7.5,92624,137836
06/10/2010,428,437.5,426.75,433.25,5.25,62662,150665
06/09/2010,432.75,436,425.5,428,-4.25,62604,167475
06/08/2010,432.25,436.5,431.25,432.25,0,57042,179246
06/07/2010,435.25,438.5,431.25,432.25,-3.5,47975,193619
06/04/2010,442.5,444.25,435.25,435.75,-6,54534,204800
06/03/2010,443.5,448,440.5,441.75,-0.75,51410,211148
06/02/2010,450,454.5,442,442.5,-8.25,61748,217083
06/01/2010,457.75,461.25,448.75,450.75,-7,47763,227792
05/28/2010,468.5,473.5,456.5,457.75,-10,66816,234091
05/27/2010,460.5,473.5,458,467.75,6,30745,240199
05/26/2010,462.75,472,459,461.75,1.25,49496,242157
05/25/2010,465.5,466.75,456.25,460.5,-7,41281,246683
05/24/2010,473.75,476,466,467.5,-4.5,32240,248529
05/21/2010,469.5,475,466.5,472,2.25,32362,247718
