Time,Open,High,Low,Last,Change,Volume,"Open Int"
09/12/2003,338.5,338.5,338.5,338.5,-1.5,0,0
09/11/2003,340,340,340,340,-5,209,214
09/10/2003,345,345,345,345,-2,187,236
09/09/2003,347,347,347,347,-1.5,264,376
09/08/2003,348.5,348.5,348.5,348.5,3.5,269,406
09/05/2003,345,345,345,345,-9,687,753
09/04/2003,354,354,354,354,-4.5,1486,1131
09/03/2003,358.5,358.5,358.5,358.5,-4.75,3136,1770
09/02/2003,365.25,365.5,363.25,363.25,-4.25,2243,2533
08/29/2003,359.5,367.5,358.75,367.5,8.75,4470,3166
08/28/2003,360.75,362,358.75,358.75,-2,10829,5197
08/27/2003,361,362,360,360.75,-0.25,6426,8586
08/26/2003,362.25,366.5,361,361,2.75,7285,11024
08/25/2003,362.5,363,358.25,358.25,-4.5,9208,12867
08/22/2003,363,364,362.75,362.75,-0.25,6940,18593
08/21/2003,366.75,368,363,363,-3,6406,23585
08/20/2003,369,370.25,366,366,-3.25,8370,24840
08/19/2003,382,382,369.25,369.25,-14.25,8337,27562
08/18/2003,381.5,385.75,381.5,383.5,5,7114,29182
08/15/2003,369.75,378.5,368.75,378.5,10.25,10565,29445
08/14/2003,367,371,367,368.25,3.25,10654,32137
08/13/2003,360.25,365,360.25,365,3.25,7747,35359
08/12/2003,359,361.75,359,361.75,3.25,11993,37583
08/11/2003,357,358.5,355.25,358.5,1,9919,40784
08/08/2003,356.25,357.75,356.25,357.5,0.25,8017,42567
08/07/2003,358.5,359.75,357.25,357.25,-1.25,9969,44927
08/06/2003,352,358.5,351,358.5,8.75,13670,48928
08/05/2003,354.25,357,349.75,349.75,-4.25,6211,50944
08/04/2003,352,354,349.5,354,3,8997,51751
08/01/2003,348.5,351,348.5,351,2.5,16526,52725
07/31/2003,339,348.5,336.25,348.5,9.25,20877,55433
07/30/2003,347.25,347.25,339.25,339.25,-8,17033,55472
07/29/2003,350,352.25,347.25,347.25,-2.25,16702,56787
07/28/2003,341.5,349.5,341.5,349.5,7,13306,57202
07/25/2003,343,343,341,342.5,-1,12539,58121
07/24/2003,345.5,346.5,343.5,343.5,-2.75,26469,56014
07/23/2003,333,346.25,332.75,346.25,13,20377,55791
07/22/2003,334.5,334.5,333.25,333.25,-1.25,10860,53479
07/21/2003,335,335.5,334.5,334.5,-1,15503,54267
07/18/2003,326,335.5,325,335.5,8,17893,54093
07/17/2003,320.75,327.5,320.75,327.5,6.75,16197,53582
07/16/2003,315.25,320.75,314,320.75,5.5,12712,54178
07/15/2003,318.75,319,315.25,315.25,-3.5,9580,53705
