Time,Open,High,Low,Last,Change,Volume,"Open Int"
12/14/2018,527.75,527.75,527.75,527.75,0,21,0
12/13/2018,526.25,527.75,526.25,527.75,12.5,43,59
12/12/2018,520.75,520.75,515.25,515.25,5.5,12,67
12/11/2018,511,511,509.75,509.75,-5,5,81
12/10/2018,522.75,522.75,514.75,514.75,-4.75,12,89
12/07/2018,505.25,519.5,505.25,519.5,14.25,59,139
12/06/2018,510,510,499.5,505.25,-9.25,516,237
12/05/2018,515,515.5,513.25,514.5,-4.75,54,568
12/04/2018,514.75,520.75,514.75,519.25,3.5,325,621
12/03/2018,524.25,525.25,514,515.75,0,2392,914
11/30/2018,497.25,517.75,497.25,515.75,19.25,2386,2923
11/29/2018,497.75,501.5,492,496.5,-1,16126,4235
11/28/2018,497.25,501,494.75,497.5,-0.5,20279,15125
11/27/2018,506.75,510,497.5,498,-9.5,27085,24522
11/26/2018,503,508,501.75,507.5,7.75,39278,34721
11/23/2018,500.75,507.5,499,499.75,1,49829,50951
11/21/2018,500.5,504.25,497.75,498.75,-2,30005,75265
11/20/2018,497.5,502.5,495.5,500.75,2.25,39183,80977
11/19/2018,506.5,507.25,496,498.5,-8.25,51159,91350
11/16/2018,505.25,508.75,502.75,506.75,1.25,41461,98037
11/15/2018,503,509,503,505.5,2.5,71987,107369
11/14/2018,507.75,511,501,503,-4.75,80899,114955
11/13/2018,518.25,520.75,506,507.75,-12,104436,132123
11/12/2018,502.5,520.75,501.25,519.75,17.75,115466,152417
11/09/2018,507.5,508,500.75,502,-5.75,92760,169611
11/08/2018,509.5,517,503.25,507.75,-2.5,110059,189343
11/07/2018,512.5,514.25,507.25,510.25,-1.75,70287,208862
11/06/2018,507.25,514,505.5,512,4.75,51325,223720
11/05/2018,511.25,512.25,503.75,507.25,-1.5,54254,230708
11/02/2018,507,509.75,502.75,508.75,0.75,56556,237683
11/01/2018,500.5,510,500.5,508,7.5,85216,244495
10/31/2018,499.75,501.75,490,500.5,0.75,82416,257090
10/30/2018,505.5,507.5,497,499.75,-7.5,69051,252246
10/29/2018,510.25,515,502.75,507.25,2,66037,248652
10/26/2018,487.25,506.75,486.75,505.25,18,143195,248387
10/25/2018,499.75,499.75,485.5,487.25,-12.25,84387,257018
10/24/2018,510,510.75,496.75,499.5,-9.5,76184,244253
10/23/2018,508,511.25,505.25,509,1,47851,232861
10/22/2018,514,514.25,507.25,508,-6.75,47980,228959
10/19/2018,513,518.5,510.75,514.75,1.75,45873,226805
10/18/2018,516,519.5,511,513,-4.5,42084,224462
10/17/2018,524,524.5,516,517.5,-6,39427,224574
10/16/2018,525.75,527,521,523.5,-1.5,50816,223668
10/15/2018,518.5,526,514.75,525,7.75,53487,226417
10/12/2018,507.75,519,507.25,517.25,9.25,54233,227148
10/11/2018,510.75,521,506.5,508,-2.5,71251,227678
10/10/2018,516.75,518,510.25,510.5,-4.5,42673,227811
10/09/2018,513.5,520.5,511.25,515,1,47599,227064
10/08/2018,524,525.5,512.75,514,-7,54161,227345
10/05/2018,518,524.5,517.25,521,3,49345,227293
10/04/2018,515.75,520.75,513.75,518,2.75,53592,229927
10/03/2018,521.25,527.25,514.25,515.25,-4,65957,233472
10/02/2018,510.5,524.75,505.25,519.25,9.75,92439,232152
10/01/2018,510,515.25,505.5,509.5,0.5,69142,228702
09/28/2018,513,518,505.5,509,-4,74077,226520
09/27/2018,517.75,522,511.25,513,-4.5,58588,222510
09/26/2018,521.25,527,516.75,517.5,-3.25,46386,217974
09/25/2018,525.25,525.75,516.25,520.75,-6.25,62771,219119
09/24/2018,522,531.25,520,527,5.25,55279,218971
09/21/2018,521,524.25,515,521.75,-2.25,43332,222037
09/20/2018,523,525.75,516,524,1.5,58421,227072
09/19/2018,511,523.25,510.5,522.5,12,59629,227679
09/18/2018,506.25,514.25,506.25,510.5,4.25,58176,228156
09/17/2018,513.5,517.75,505.5,506.25,-5.25,72042,229017
09/14/2018,497,514.25,496,511.5,14.5,86639,229952
09/13/2018,505,510,495.25,497,-9.75,87162,226612
09/12/2018,519,529.25,500.25,506.75,-12,130565,225169
09/11/2018,528.5,532.75,517.25,518.75,-9.5,57172,222378
09/10/2018,512,529,508.25,528.25,17,66033,222647
09/07/2018,513.25,514.5,507.5,511.25,-2.5,66924,220190
09/06/2018,522,524.5,512.5,513.75,-8,63569,217883
09/05/2018,531.5,538.25,521.25,521.75,-9.75,59341,218777
09/04/2018,538,542.5,519.5,531.5,-14,106960,217352
08/31/2018,536.25,548,535.25,545.5,10.5,66380,217848
08/30/2018,544.75,549.5,530,535,-6.75,76094,215606
08/29/2018,523,545,521.25,541.75,18.5,121361,217130
08/28/2018,523,529,518.5,523.25,0.75,80926,214064
08/27/2018,536,536,521.75,522.5,-14,81364,216516
08/24/2018,541.75,541.75,535,536.5,-5.25,72500,216474
08/23/2018,550.75,554.5,535.5,541.75,-3.5,77644,210605
08/22/2018,547,552.5,540,545.25,-2.5,73358,209683
08/21/2018,564.75,564.75,546.5,547.75,-14.75,74424,209372
08/20/2018,581.75,582.5,560,562.5,-17.25,63709,207902
08/17/2018,562,582.75,555,579.75,17.75,92820,204002
08/16/2018,552.25,567.5,550.5,562,10.25,58914,202704
08/15/2018,560.75,562.5,549,551.75,-9.5,86499,201759
08/14/2018,553.5,563.5,552.25,561.25,7.75,67417,200477
08/13/2018,569.5,572.25,552,553.5,-16,100916,197971
08/10/2018,587,595.5,568.25,569.5,-17,105971,186289
08/09/2018,592,594.5,582,586.5,-4.75,81425,183045
08/08/2018,591.5,599,586.25,591.25,1.25,88223,185081
08/07/2018,598,607.75,587.25,590,-7.25,95944,191435
08/06/2018,579.5,598.75,575.25,597.25,17.5,57861,189549
08/03/2018,585,590.25,576.5,579.75,-3,55504,189814
08/02/2018,579.75,613,579.5,582.75,4,111215,185812
08/01/2018,575,585.25,569.75,578.75,5.5,73754,183175
07/31/2018,565,584.5,560.75,573.25,6.75,55607,175040
