"Date","Open","High","Low","Close","Volume","OpenInt"
01/05/1999,252.00,252.50,252.00,252.50,15,10
01/06/1999,255.00,258.75,255.00,258.75,12,22
01/07/1999,257.00,257.00,256.50,256.50,15,27
01/08/1999,258.00,258.00,258.00,258.00,0,27
01/11/1999,257.00,257.00,257.00,257.00,0,27
01/12/1999,252.00,252.50,252.00,252.50,7,42
01/13/1999,251.25,251.75,251.00,251.75,3,45
01/14/1999,252.00,252.00,251.00,251.00,30,75
01/15/1999,250.00,250.75,249.75,249.75,34,105
01/19/1999,248.50,249.00,248.50,249.00,125,150
01/20/1999,250.00,250.50,250.00,250.00,38,169
01/21/1999,251.00,251.75,249.50,251.25,6,172
01/22/1999,251.75,251.75,251.75,251.75,0,172
01/25/1999,250.50,251.50,250.50,251.50,1,173
01/26/1999,251.75,253.00,251.75,251.75,15,180
01/27/1999,251.75,251.75,251.25,251.25,64,222
01/28/1999,252.00,253.50,251.75,251.75,43,251
01/29/1999,252.00,252.50,250.75,250.75,20,255
02/01/1999,250.75,252.00,250.75,251.75,110,334
02/02/1999,253.00,253.50,252.75,253.00,24,335
02/03/1999,255.00,255.00,251.75,251.75,48,335
02/04/1999,251.75,252.25,251.00,252.00,32,337
02/05/1999,252.25,252.75,252.00,252.75,12,344
02/08/1999,252.75,253.75,252.75,253.50,56,355
02/09/1999,253.50,253.50,252.50,253.25,55,384
02/10/1999,252.50,256.50,252.50,256.50,35,390
02/11/1999,255.75,255.75,254.00,254.00,6,396
02/12/1999,254.00,254.00,253.00,253.00,14,396
02/16/1999,253.25,253.50,252.00,252.00,3,399
02/17/1999,251.25,251.50,250.50,251.50,5,404
02/18/1999,253.25,253.25,253.25,253.25,5,404
02/19/1999,252.50,253.25,252.50,252.75,5,405
02/22/1999,252.50,252.50,250.00,252.00,59,441
02/23/1999,252.00,253.00,252.00,252.25,44,441
02/24/1999,251.00,251.00,248.00,248.00,21,457
02/25/1999,247.25,248.00,246.75,246.75,76,513
02/26/1999,246.50,247.00,245.75,245.75,25,513
03/01/1999,246.50,248.00,246.00,246.25,31,531
03/02/1999,248.00,251.25,248.00,250.25,9,532
03/03/1999,250.00,250.00,249.00,249.25,5,532
03/04/1999,251.25,252.25,251.00,251.00,41,531
03/05/1999,249.75,251.50,249.75,250.50,18,538
03/08/1999,252.50,255.25,252.50,254.50,84,592
03/09/1999,255.00,256.00,253.50,255.00,85,649
03/10/1999,254.50,256.00,254.50,256.00,34,665
03/11/1999,255.50,256.75,255.50,256.75,25,683
03/12/1999,255.25,256.00,254.75,255.25,59,675
03/15/1999,254.25,254.25,253.50,253.50,2,677
03/16/1999,254.00,256.50,254.00,256.50,60,707
03/17/1999,257.00,258.25,256.50,258.00,30,724
03/18/1999,257.75,257.75,256.00,257.00,14,723
03/19/1999,257.25,259.75,256.75,259.75,45,726
03/22/1999,259.50,260.75,259.00,260.75,371,971
03/23/1999,258.50,259.00,257.75,257.75,133,1045
03/24/1999,259.00,259.00,257.00,257.25,81,1050
03/25/1999,255.75,259.50,255.75,259.50,10,1053
03/26/1999,260.00,261.00,259.00,261.00,9,1060
03/29/1999,258.50,260.50,258.50,260.50,37,1071
03/30/1999,259.50,261.00,259.25,260.50,15,1079
03/31/1999,258.00,258.00,254.75,254.75,49,1094
04/01/1999,253.75,254.25,252.75,253.25,25,1082
04/05/1999,251.25,253.25,249.50,251.50,94,1082
04/06/1999,252.00,252.50,248.50,249.50,38,1083
04/07/1999,250.00,252.00,249.00,251.00,38,1109
04/08/1999,251.50,251.75,250.25,250.50,59,1118
04/09/1999,250.00,252.00,249.75,252.00,9,1120
04/12/1999,252.00,252.00,248.00,248.00,147,1204
04/13/1999,248.75,248.75,248.00,248.50,6,1203
04/14/1999,251.00,253.25,251.00,251.75,43,1214
04/15/1999,252.50,254.50,252.50,254.50,166,1356
04/16/1999,252.50,252.75,252.25,252.75,115,1403
04/19/1999,253.75,255.50,253.25,254.75,36,1416
04/20/1999,256.75,258.25,256.75,258.25,324,1519
04/21/1999,256.50,257.00,256.00,256.75,17,1530
04/22/1999,256.25,257.00,253.00,253.00,144,1627
04/23/1999,253.25,253.50,253.00,253.00,34,1627
04/26/1999,249.75,249.75,248.00,248.50,12,1632
04/27/1999,249.50,249.50,246.00,246.00,6,1632
04/28/1999,248.00,248.00,245.50,246.50,27,1642
04/29/1999,246.50,246.50,244.50,245.00,24,1645
04/30/1999,244.50,245.25,244.00,244.00,42,1671
05/03/1999,244.25,246.25,244.00,246.25,52,1706
05/04/1999,247.25,250.00,247.25,248.50,82,1687
05/05/1999,247.25,247.50,246.25,246.75,80,1742
05/06/1999,245.75,247.00,245.00,245.00,67,1733
05/07/1999,245.25,245.50,244.25,244.75,30,1734
05/10/1999,244.75,247.00,244.75,247.00,60,1782
05/11/1999,248.00,248.50,247.75,248.25,69,1804
05/12/1999,250.75,251.50,249.00,249.00,44,1819
05/13/1999,249.75,251.00,249.50,249.75,28,1837
05/14/1999,251.50,251.50,248.00,248.00,58,1850
05/17/1999,250.00,250.00,248.75,249.25,83,1808
05/18/1999,246.00,248.00,246.00,247.25,36,1792
05/19/1999,246.50,247.75,246.00,246.00,47,1766
05/20/1999,245.75,246.50,245.00,246.00,135,1751
05/21/1999,246.00,246.00,245.50,245.50,27,1756
05/24/1999,243.00,243.00,240.00,240.25,291,1859
05/25/1999,241.50,242.50,241.50,242.50,48,1872
05/26/1999,242.75,243.50,242.25,242.50,166,1976
05/27/1999,243.25,244.50,243.25,244.00,81,1983
05/28/1999,246.00,247.50,245.75,247.25,86,2013
06/01/1999,242.50,244.00,242.50,244.00,87,2016
06/02/1999,243.25,244.50,243.25,244.50,6,2012
06/03/1999,246.50,250.25,246.50,250.00,356,2252
06/04/1999,249.25,250.00,247.75,248.00,113,2264
06/07/1999,250.50,253.00,249.75,249.75,115,2280
06/08/1999,249.50,250.75,249.00,250.00,32,2284
06/09/1999,247.50,249.75,247.00,247.75,52,2311
06/10/1999,247.25,247.50,246.50,247.00,49,2331
06/11/1999,246.75,246.75,243.50,244.00,103,2370
06/14/1999,241.25,245.25,241.25,245.25,66,2379
06/15/1999,243.00,243.00,241.00,241.00,46,2373
06/16/1999,241.00,242.75,241.00,242.50,34,2400
06/17/1999,244.50,244.50,241.75,242.50,120,2460
06/18/1999,246.25,246.50,245.00,245.00,230,2526
06/21/1999,242.00,243.50,242.00,243.25,13,2512
06/22/1999,244.00,244.00,240.50,240.50,70,2529
06/23/1999,240.50,241.25,240.50,241.25,15,2538
06/24/1999,238.50,238.50,236.25,237.75,156,2596
06/25/1999,237.75,238.50,237.75,238.25,71,2647
06/28/1999,238.00,239.50,237.00,237.50,609,2926
06/29/1999,240.75,241.75,239.25,239.25,158,2934
06/30/1999,242.00,242.00,239.25,241.25,487,3191
07/01/1999,238.00,238.00,233.00,233.00,431,3398
07/02/1999,232.50,232.50,228.50,229.25,431,3398
07/06/1999,222.00,223.00,220.00,222.75,1794,4331
07/07/1999,222.00,223.25,220.50,222.75,833,4830
07/08/1999,223.75,224.25,218.00,218.00,809,4974
07/09/1999,217.00,217.75,215.00,215.25,889,5073
07/12/1999,215.50,218.00,213.25,215.00,206,5121
07/13/1999,213.50,215.00,213.50,214.75,358,5294
07/14/1999,216.75,220.25,216.25,219.25,595,5217
07/15/1999,222.50,224.00,222.00,223.25,731,5337
07/16/1999,219.00,220.25,215.50,215.50,609,5601
07/19/1999,220.50,221.75,219.25,219.75,351,5529
07/20/1999,219.50,225.50,219.50,223.50,661,5858
07/21/1999,225.50,234.75,225.50,232.25,1994,6744
07/22/1999,234.00,237.50,230.50,232.00,1103,7113
07/23/1999,239.00,242.00,238.00,240.25,2736,7840
07/26/1999,232.00,234.50,231.00,232.50,902,7842
07/27/1999,228.00,228.75,224.50,225.00,1191,7531
07/28/1999,227.00,228.75,223.00,223.25,331,7417
07/29/1999,223.25,227.75,223.00,227.50,538,7629
07/30/1999,226.75,230.75,226.75,230.75,582,7749
08/02/1999,239.75,242.75,239.50,242.75,1485,8127
08/03/1999,252.00,253.00,245.50,245.75,1322,8336
08/04/1999,244.00,251.25,244.00,250.75,1945,8550
08/05/1999,249.25,250.25,246.75,249.25,1485,8708
08/06/1999,247.00,250.50,246.50,250.25,2023,9468
08/09/1999,250.00,252.25,247.25,251.00,687,9455
08/10/1999,253.50,257.00,252.00,255.25,1238,9992
08/11/1999,253.00,253.00,249.50,250.00,999,10163
08/12/1999,238.00,240.00,238.00,238.00,2534,11538
08/13/1999,235.50,239.00,235.50,238.50,2020,10814
08/16/1999,241.75,243.00,241.00,243.00,970,10996
08/17/1999,247.75,248.00,245.00,245.25,944,11077
08/18/1999,242.00,245.25,241.50,243.75,753,11347
08/19/1999,245.75,246.25,241.25,242.00,487,11266
08/20/1999,242.00,242.00,238.50,238.50,1110,11417
08/23/1999,235.25,236.75,234.25,236.50,745,11582
08/24/1999,236.00,236.50,233.00,233.25,696,11527
08/25/1999,232.00,236.25,232.00,235.75,675,11746
08/26/1999,234.50,234.75,232.00,232.25,842,11821
08/27/1999,232.25,233.25,231.50,232.00,1159,12186
08/30/1999,232.25,234.50,231.25,232.75,447,12289
08/31/1999,234.25,236.50,234.00,235.00,1019,12623
09/01/1999,236.00,238.00,235.00,237.50,572,12792
09/02/1999,237.00,238.75,236.50,238.50,1893,13032
09/03/1999,239.00,239.50,238.25,239.00,930,12963
09/07/1999,241.50,242.00,240.50,241.25,583,13167
09/08/1999,238.25,238.75,237.00,237.25,985,13803
09/09/1999,236.50,237.25,235.00,235.25,997,14011
09/10/1999,234.00,234.75,232.75,234.25,1201,14239
09/13/1999,234.50,234.50,232.75,233.00,916,14572
09/14/1999,233.50,233.50,232.00,232.25,1260,15232
09/15/1999,231.50,231.75,229.75,230.00,1967,15886
09/16/1999,230.25,230.75,228.50,230.50,1942,16676
09/17/1999,231.00,231.25,228.50,228.75,1935,17524
09/20/1999,228.50,228.75,227.25,227.50,1732,18403
09/21/1999,228.00,228.75,227.00,228.50,1211,18803
09/22/1999,228.50,229.50,228.00,228.00,2188,19093
09/23/1999,227.50,227.50,225.75,226.00,2311,20278
09/24/1999,225.50,227.75,225.00,225.25,5050,21473
09/27/1999,226.00,229.25,225.50,228.75,1963,21793
09/28/1999,229.00,233.00,228.50,230.50,1399,21904
09/29/1999,231.00,232.00,229.75,230.50,1544,22228
09/30/1999,226.75,227.75,225.00,225.25,3565,23024
10/01/1999,225.00,225.00,222.50,222.75,3715,24408
10/04/1999,222.25,222.75,221.50,222.25,3938,25477
10/05/1999,221.50,223.00,221.25,221.50,1175,25537
10/06/1999,222.00,222.50,221.50,222.25,1817,25685
10/07/1999,222.00,222.75,221.00,221.25,2065,25944
10/08/1999,221.00,221.50,217.00,217.25,4937,27435
10/11/1999,217.00,217.50,216.50,217.25,1995,28388
10/12/1999,217.50,220.50,217.50,219.50,1307,28733
10/13/1999,219.00,220.25,218.50,218.75,1614,28930
10/14/1999,218.75,219.50,218.00,218.75,1559,29291
10/15/1999,218.75,219.00,217.00,217.50,1812,29739
10/18/1999,217.25,222.50,216.25,220.00,2523,30233
10/19/1999,219.50,219.75,218.00,218.00,2246,30813
10/20/1999,218.00,220.50,217.50,217.75,2022,31310
10/21/1999,217.75,218.25,217.00,217.25,2283,31597
10/22/1999,217.00,217.75,217.00,217.25,1448,31913
10/25/1999,217.25,219.75,216.75,219.25,2412,32923
10/26/1999,219.00,224.00,218.75,219.25,3095,33813
10/27/1999,217.75,219.25,217.75,218.25,2310,33812
10/28/1999,218.75,219.75,217.50,217.75,1897,34252
10/29/1999,217.50,218.00,217.00,217.25,1928,34652
11/01/1999,217.25,217.75,216.00,216.25,1986,35631
11/02/1999,217.00,217.75,216.00,216.25,2362,35405
11/03/1999,216.00,219.00,215.50,218.25,3764,35376
11/04/1999,218.50,219.25,218.00,218.50,1532,35390
11/05/1999,218.75,219.25,217.75,218.00,1436,35222
11/08/1999,218.25,220.50,218.25,219.25,865,35270
11/09/1999,219.00,220.00,218.50,218.75,2049,35604
11/10/1999,216.75,217.25,214.00,214.25,3766,37163
11/11/1999,214.50,215.00,213.00,213.75,4155,38428
11/12/1999,214.00,214.00,212.00,212.25,2698,38710
11/15/1999,212.50,214.25,212.50,213.75,1590,39059
11/16/1999,215.00,215.75,213.75,214.25,4454,40418
11/17/1999,213.75,214.00,212.00,212.25,3092,40941
11/18/1999,212.00,212.75,210.25,210.75,7375,43733
11/19/1999,210.00,210.75,209.25,210.50,4568,45736
11/22/1999,211.00,212.50,210.50,212.25,2086,46301
11/23/1999,211.75,213.50,210.25,212.75,2847,46964
11/24/1999,213.25,213.50,212.00,212.25,4879,48174
11/26/1999,212.00,212.25,210.25,210.50,1078,48621
11/29/1999,210.50,211.50,208.00,208.25,7679,50371
