"Date","Open","High","Low","Close","Volume","OpenInt"
09/02/1998,257.00,259.00,257.00,259.00,2,2
09/03/1998,261.00,263.00,261.00,263.00,1,3
09/04/1998,265.00,265.00,265.00,265.00,0,3
09/08/1998,266.00,269.50,266.00,269.50,1,4
09/09/1998,265.00,268.00,265.00,268.00,1,5
09/10/1998,270.00,270.00,270.00,270.00,0,5
09/11/1998,268.00,268.00,268.00,268.00,0,5
09/14/1998,267.50,267.50,267.50,267.50,0,5
09/15/1998,267.00,271.00,267.00,271.00,4,9
09/16/1998,270.00,270.00,270.00,270.00,1,9
09/17/1998,265.00,268.00,265.00,267.00,10,19
09/18/1998,264.50,266.00,263.25,263.25,10,25
09/21/1998,265.00,265.00,265.00,265.00,0,25
09/22/1998,266.00,266.00,266.00,266.00,0,25
09/23/1998,265.00,265.00,265.00,265.00,0,25
09/24/1998,264.00,267.00,264.00,267.00,2,26
09/25/1998,264.00,268.50,264.00,268.50,13,35
09/28/1998,268.50,269.00,268.00,269.00,19,34
09/29/1998,267.00,267.00,266.50,267.00,5,39
09/30/1998,262.50,265.00,262.50,265.00,1,40
10/01/1998,261.75,262.00,261.75,262.00,21,46
10/02/1998,261.75,263.25,261.50,263.25,6,52
10/05/1998,262.00,267.50,262.00,267.00,43,95
10/06/1998,266.50,266.50,266.50,266.50,3,99
10/07/1998,267.00,270.50,267.00,270.50,112,196
10/08/1998,269.50,270.50,268.50,270.50,14,210
10/09/1998,275.00,275.00,274.75,275.00,6,216
10/12/1998,273.75,273.75,272.00,273.00,3,218
10/13/1998,273.00,278.50,273.00,278.25,48,242
10/14/1998,277.50,277.50,277.25,277.25,20,254
10/15/1998,277.00,277.00,274.50,275.00,50,295
10/16/1998,272.00,273.00,272.00,273.00,5,299
10/19/1998,272.00,272.25,272.00,272.25,3,299
10/20/1998,271.50,272.00,271.00,271.00,8,307
10/21/1998,270.00,271.00,270.00,271.00,23,310
10/22/1998,273.00,273.00,273.00,273.00,0,310
10/23/1998,272.00,272.00,271.00,272.00,17,327
10/26/1998,272.75,272.75,272.75,272.75,0,327
10/27/1998,272.25,272.25,272.25,272.25,0,327
10/28/1998,271.00,272.25,271.00,272.25,4,331
10/29/1998,272.00,273.50,272.00,272.00,2,333
10/30/1998,271.50,271.50,271.00,271.50,44,342
11/02/1998,269.50,269.50,269.50,269.50,0,342
11/03/1998,269.50,269.50,269.50,269.50,0,342
11/04/1998,267.50,268.50,267.50,268.00,3,342
11/05/1998,268.50,270.50,268.50,269.50,20,350
11/06/1998,270.00,270.00,269.50,269.50,2,352
11/09/1998,270.00,270.00,270.00,270.00,2,353
11/10/1998,270.00,273.50,269.50,273.50,34,367
11/11/1998,273.50,274.75,273.50,274.75,14,381
11/12/1998,273.25,273.25,273.25,273.25,0,381
11/13/1998,272.50,272.50,270.00,270.00,21,395
11/16/1998,270.50,271.50,270.50,271.00,14,389
11/17/1998,270.50,270.50,270.50,270.50,8,393
11/18/1998,272.00,272.50,272.00,272.50,4,397
11/19/1998,272.00,272.00,272.00,272.00,0,397
11/20/1998,271.00,271.00,271.00,271.00,0,397
11/23/1998,269.50,269.50,269.50,269.50,0,397
11/24/1998,270.00,270.00,270.00,270.00,0,397
11/25/1998,269.50,269.50,269.50,269.50,0,397
11/27/1998,270.00,270.00,270.00,270.00,61,458
11/30/1998,270.00,271.00,270.00,271.00,28,473
12/01/1998,270.00,270.00,270.00,270.00,1,474
12/02/1998,269.50,269.50,269.50,269.50,0,474
12/03/1998,270.00,270.00,267.00,267.50,661,874
12/04/1998,268.25,268.25,266.50,267.00,147,996
12/07/1998,266.50,266.50,266.50,266.50,1,996
12/08/1998,265.00,265.00,264.25,264.50,11,976
12/09/1998,264.25,264.25,263.00,264.00,19,995
12/10/1998,263.25,264.00,263.25,264.00,3,1003
12/11/1998,264.25,264.25,264.00,264.00,106,1007
12/14/1998,263.50,263.50,262.25,263.00,27,1015
12/15/1998,263.00,264.00,263.00,263.00,19,1034
12/16/1998,263.00,263.00,262.50,263.00,8,1038
12/17/1998,263.00,263.00,262.50,262.50,13,1049
12/18/1998,261.50,261.50,261.00,261.50,14,1059
12/21/1998,261.50,261.50,260.25,261.00,68,1077
12/22/1998,261.00,261.00,260.00,260.50,9,1084
12/23/1998,260.50,260.50,260.00,260.50,153,1233
12/24/1998,261.00,261.00,261.00,261.00,67,1242
12/28/1998,260.00,260.00,260.00,260.00,3,1239
12/29/1998,259.00,259.00,259.00,259.00,0,1239
12/30/1998,258.50,258.50,255.50,255.50,124,1255
12/31/1998,255.50,256.00,255.25,255.75,9,1256
01/04/1999,256.00,256.50,255.75,256.25,11,1259
01/05/1999,257.00,257.00,257.00,257.00,11,1265
01/06/1999,258.50,263.50,258.50,263.50,105,1367
01/07/1999,262.00,262.00,260.75,260.75,65,1397
01/08/1999,261.50,262.50,261.50,262.00,35,1422
01/11/1999,260.00,260.50,260.00,260.50,7,1424
01/12/1999,259.50,259.50,254.75,256.25,33,1426
01/13/1999,255.00,255.50,255.00,255.25,126,1486
01/14/1999,255.50,255.50,254.50,255.00,101,1486
01/15/1999,254.25,254.75,254.25,254.25,3,1479
01/19/1999,253.00,253.00,250.50,252.50,43,1502
01/20/1999,254.00,254.50,253.00,254.25,28,1522
01/21/1999,255.50,256.50,253.25,256.00,33,1533
01/22/1999,256.50,256.50,255.75,255.75,27,1536
01/25/1999,252.50,255.00,252.50,255.00,39,1567
01/26/1999,255.50,256.00,255.50,256.00,17,1579
01/27/1999,256.00,256.00,255.25,255.25,6,1578
01/28/1999,254.00,256.50,254.00,256.00,47,1618
01/29/1999,256.00,256.50,254.50,254.50,38,1622
02/01/1999,252.50,256.00,252.50,256.00,23,1645
02/02/1999,256.00,257.25,256.00,257.00,57,1675
02/03/1999,258.00,258.00,255.00,255.75,88,1682
02/04/1999,255.00,256.00,254.50,256.00,107,1739
02/05/1999,256.00,256.50,255.75,256.50,12,1744
02/08/1999,256.50,257.50,256.00,257.50,54,1744
02/09/1999,257.00,257.25,256.25,256.75,32,1746
02/10/1999,256.00,259.75,256.00,259.75,75,1801
02/11/1999,259.00,259.00,257.00,257.00,31,1832
02/12/1999,256.00,257.00,255.75,256.50,44,1865
02/16/1999,256.00,257.00,256.00,256.00,16,1867
02/17/1999,255.00,255.50,254.25,255.50,10,1876
02/18/1999,255.00,257.00,255.00,257.00,20,1882
02/19/1999,257.00,257.00,256.00,256.25,44,1924
02/22/1999,256.25,256.25,254.50,256.00,19,1927
02/23/1999,256.00,256.50,256.00,256.50,6,1933
02/24/1999,254.50,254.50,251.75,252.00,98,1932
02/25/1999,250.50,252.00,250.00,250.50,138,1968
02/26/1999,250.00,251.00,250.00,250.00,31,1939
03/01/1999,250.00,252.00,250.00,250.25,25,1953
03/02/1999,251.50,254.50,251.50,254.50,35,1977
03/03/1999,253.25,253.50,253.00,253.25,44,1979
03/04/1999,254.00,256.00,254.00,255.00,55,2007
03/05/1999,254.00,254.75,253.25,254.50,36,2036
03/08/1999,256.00,258.75,255.50,258.75,157,2127
03/09/1999,257.50,259.50,257.50,258.50,47,2169
03/10/1999,258.00,260.00,258.00,260.00,35,2196
03/11/1999,259.50,260.00,258.50,260.00,206,2343
03/12/1999,258.50,259.75,257.75,258.25,158,2418
03/15/1999,256.50,257.75,256.50,256.75,92,2433
03/16/1999,257.00,260.00,256.50,260.00,12,2441
03/17/1999,259.50,262.00,259.50,261.50,109,2518
03/18/1999,261.00,261.50,259.75,260.25,125,2558
03/19/1999,260.50,263.75,260.00,263.75,165,2619
03/22/1999,262.50,264.75,262.50,264.75,112,2648
03/23/1999,262.00,263.00,261.25,261.50,39,2683
03/24/1999,263.00,263.00,260.75,261.50,25,2697
03/25/1999,260.00,263.75,260.00,263.50,63,2728
03/26/1999,263.00,265.00,263.00,265.00,38,2766
03/29/1999,261.50,264.75,261.50,264.75,3,2769
03/30/1999,264.00,265.00,263.25,264.50,76,2819
03/31/1999,259.75,261.00,258.50,258.75,47,2855
04/01/1999,258.00,258.25,256.50,257.00,55,2865
04/05/1999,255.00,256.50,254.50,255.00,38,2892
04/06/1999,255.00,255.00,252.50,253.50,3,2891
04/07/1999,253.00,256.00,252.50,255.75,58,2906
04/08/1999,254.50,255.00,253.50,254.00,68,2956
04/09/1999,254.00,256.25,253.50,256.00,162,3014
04/12/1999,256.00,256.00,251.25,251.75,729,3289
04/13/1999,252.25,252.75,252.00,252.75,107,3293
04/14/1999,257.50,257.50,255.00,255.50,55,3348
04/15/1999,256.00,258.50,256.00,258.50,48,3394
04/16/1999,257.50,258.50,256.50,256.75,83,3428
04/19/1999,257.00,260.00,257.00,259.00,67,3448
04/20/1999,261.50,262.50,261.00,262.50,220,3500
04/21/1999,261.00,261.25,260.00,261.25,85,3524
04/22/1999,261.00,261.50,256.50,257.00,20,3537
04/23/1999,257.50,257.75,257.25,257.75,6,3535
04/26/1999,254.00,254.00,251.50,253.00,12,3541
04/27/1999,254.00,254.00,250.25,250.50,82,3508
04/28/1999,250.50,251.75,249.25,250.50,189,3561
04/29/1999,252.00,252.00,248.00,248.50,87,3611
04/30/1999,249.00,249.25,248.00,248.25,21,3613
05/03/1999,249.00,250.00,249.00,250.00,44,3642
05/04/1999,253.00,253.75,251.75,252.75,125,3666
