"Date","Open","High","Low","Close","Volume","OpenInt"
01/03/2000,234.50,234.50,231.00,231.50,5531,35915
01/04/2000,232.00,233.00,231.00,232.50,1932,36426
01/05/2000,232.00,233.50,231.50,233.00,1278,36512
01/06/2000,233.25,235.50,233.00,234.00,1509,36634
01/07/2000,233.50,237.00,233.00,236.75,1641,36598
01/10/2000,235.50,238.75,235.25,238.50,2931,37225
01/11/2000,238.00,239.25,237.00,238.00,4785,38448
01/12/2000,242.00,246.50,242.00,245.25,12663,42134
01/13/2000,244.00,250.00,243.50,249.25,12805,44859
01/14/2000,247.25,250.00,247.00,248.75,10869,46647
01/18/2000,246.00,250.25,246.00,249.50,6117,48278
01/19/2000,250.00,251.50,248.75,251.25,5070,49861
01/20/2000,250.75,251.50,249.00,250.75,3606,50695
01/21/2000,251.00,252.75,250.00,252.50,5005,52318
01/24/2000,254.00,255.50,252.75,255.25,10142,53749
01/25/2000,254.75,256.00,254.25,255.75,6468,55452
01/26/2000,254.00,254.25,251.25,251.75,7110,57370
01/27/2000,251.00,255.00,250.25,254.50,5126,58439
01/28/2000,254.00,255.25,251.25,252.50,5699,59374
01/31/2000,249.50,249.75,247.50,248.50,5924,60326
02/01/2000,249.50,251.00,248.50,251.00,3566,61180
02/02/2000,250.75,252.50,249.75,250.50,4751,62470
02/03/2000,249.75,250.75,247.75,248.75,5041,63301
02/04/2000,246.75,251.50,246.00,251.00,7538,63824
02/07/2000,252.25,253.50,251.50,253.00,3841,63845
02/08/2000,251.50,253.75,250.75,252.75,4114,64813
02/09/2000,251.00,253.50,250.75,253.25,2884,65520
02/10/2000,254.25,256.00,253.00,255.50,5573,66407
02/11/2000,255.00,255.75,252.00,252.25,5914,67157
02/14/2000,253.75,255.00,252.75,253.00,2968,67157
02/15/2000,250.50,254.50,250.25,253.25,4686,67730
02/16/2000,253.75,255.00,252.00,254.25,5346,68383
02/17/2000,254.50,255.00,252.50,253.25,3467,68708
02/18/2000,252.50,253.50,252.00,252.50,2359,69469
02/22/2000,253.00,253.25,251.25,251.75,2351,69191
02/23/2000,249.75,250.00,246.25,246.75,5911,69310
02/24/2000,246.00,248.75,245.25,248.00,7351,71271
02/25/2000,248.00,248.00,245.00,245.25,6824,72124
02/28/2000,244.50,247.00,244.25,245.50,5447,73156
02/29/2000,245.50,250.50,245.50,249.75,10140,74807
03/01/2000,249.25,250.25,248.00,248.50,5891,75680
03/02/2000,248.00,249.75,247.25,248.75,2659,75660
03/03/2000,249.25,250.75,249.00,250.50,4285,77190
03/06/2000,249.75,253.25,249.50,253.00,7334,78104
03/07/2000,252.50,253.50,249.00,249.25,6797,78756
03/08/2000,248.75,252.25,248.50,250.25,4248,79166
03/09/2000,252.25,254.00,252.25,252.25,8442,79913
03/10/2000,252.50,253.25,250.75,252.00,4951,81209
03/13/2000,253.50,257.00,253.50,255.75,12134,83876
03/14/2000,256.75,262.00,256.50,261.75,25613,91587
03/15/2000,260.75,262.00,259.50,259.75,14882,94577
03/16/2000,258.50,262.50,257.75,258.50,14015,96851
03/17/2000,263.00,264.25,261.25,263.75,17436,102405
03/20/2000,257.00,260.25,256.50,259.25,10900,103914
03/21/2000,258.75,260.00,255.50,256.50,10329,105488
03/22/2000,257.00,259.00,256.00,258.75,5401,105734
03/23/2000,257.00,257.25,254.50,255.25,8069,106310
03/24/2000,257.50,258.75,256.00,257.25,9379,106888
03/27/2000,258.00,259.25,255.75,257.50,6258,107590
03/28/2000,256.50,257.00,251.00,251.25,11161,109346
03/29/2000,251.75,253.25,250.00,252.75,10123,108844
03/30/2000,254.75,258.50,254.50,258.00,9974,107097
03/31/2000,259.75,262.00,259.00,260.50,11831,108253
04/03/2000,264.00,264.25,259.25,259.50,8626,111250
04/04/2000,259.50,259.50,255.50,258.00,7841,111667
04/05/2000,257.50,259.75,256.00,258.00,5454,112269
04/06/2000,254.50,255.75,252.50,253.00,7166,112908
04/07/2000,251.50,255.25,251.25,254.75,6330,112973
04/10/2000,251.25,253.25,251.00,252.50,4801,112860
04/11/2000,251.25,252.75,248.75,249.25,9921,113114
04/12/2000,250.50,252.00,249.50,251.75,6870,112647
04/13/2000,253.50,254.50,251.50,253.75,8268,114455
04/14/2000,256.50,256.50,252.50,252.75,7949,114170
04/17/2000,253.00,253.50,249.75,250.75,6027,113982
04/18/2000,250.75,252.25,250.00,251.00,6088,114690
04/19/2000,252.50,255.00,251.75,254.50,9940,115441
04/20/2000,250.50,254.50,250.25,253.75,4367,115827
04/24/2000,254.00,255.00,251.75,254.50,5521,116196
04/25/2000,256.00,257.75,255.00,257.50,8883,117083
04/26/2000,258.25,258.75,254.00,254.50,10057,116299
04/27/2000,253.50,253.50,251.50,252.00,9144,117373
04/28/2000,252.00,252.75,249.50,250.00,11193,117078
