"Date","Open","High","Low","Close","Volume","OpenInt"
10/29/1999,245.00,245.00,245.00,245.00,1,1
11/01/1999,245.00,245.00,245.00,245.00,0,1
11/02/1999,245.00,245.00,245.00,245.00,0,1
11/03/1999,245.00,245.50,245.00,245.50,5,6
11/04/1999,245.50,245.50,245.50,245.50,1,6
11/05/1999,245.00,245.00,245.00,245.00,2,8
11/08/1999,245.00,245.75,245.00,245.75,2,10
11/09/1999,246.00,246.50,246.00,246.00,12,19
11/10/1999,242.25,242.25,242.25,242.25,0,11
11/11/1999,243.75,243.75,241.75,241.75,10,21
11/12/1999,240.50,240.50,240.50,240.50,1,22
11/15/1999,241.50,241.50,241.50,241.50,0,22
11/16/1999,244.00,244.00,242.50,242.50,2,22
11/17/1999,243.00,243.00,241.50,241.50,4,21
11/18/1999,241.50,241.50,240.75,241.00,5,24
11/19/1999,240.50,240.75,240.50,240.75,12,36
11/22/1999,241.00,243.00,241.00,243.00,15,51
11/23/1999,241.75,244.00,241.75,243.25,80,102
11/24/1999,243.50,243.50,243.00,243.00,8,106
11/26/1999,243.00,243.00,242.00,242.00,12,102
11/29/1999,242.75,242.75,241.00,241.50,82,153
11/30/1999,241.50,241.50,239.50,239.50,173,287
12/01/1999,240.50,242.00,240.25,241.25,139,388
12/02/1999,240.50,241.25,240.25,240.50,12,393
12/03/1999,240.00,240.50,239.25,239.25,6,399
12/06/1999,239.50,242.00,239.50,242.00,55,453
12/07/1999,241.50,241.50,240.50,241.25,51,483
12/08/1999,239.50,239.50,238.25,238.25,81,528
12/09/1999,238.25,238.25,235.25,235.25,14,530
12/10/1999,235.75,236.50,234.75,236.50,179,593
12/13/1999,234.50,234.50,233.75,234.25,72,649
12/14/1999,235.00,236.50,234.00,236.50,116,663
12/15/1999,236.25,236.25,236.25,236.25,1,663
12/16/1999,237.00,238.00,237.00,237.00,30,665
12/17/1999,237.25,238.50,237.25,238.00,12,664
12/20/1999,240.00,240.25,239.25,240.25,138,690
12/21/1999,240.25,240.25,239.50,239.50,24,711
12/22/1999,239.00,241.00,238.50,241.00,136,799
12/23/1999,242.00,242.00,240.50,242.00,34,797
12/27/1999,243.25,243.25,241.00,242.00,36,821
12/28/1999,242.00,242.00,240.75,242.00,44,838
12/29/1999,241.50,242.00,241.25,241.25,35,856
12/30/1999,241.00,242.25,241.00,241.50,35,856
01/03/2000,242.75,242.75,239.75,239.75,76,878
01/04/2000,240.50,241.25,240.00,241.00,29,883
01/05/2000,240.75,241.75,240.50,241.50,46,898
01/06/2000,243.00,243.75,242.50,242.50,379,1112
01/07/2000,242.00,245.50,241.75,245.50,209,1239
01/10/2000,244.00,247.00,243.75,246.75,430,1355
01/11/2000,246.00,247.00,245.00,246.00,226,1528
01/12/2000,250.50,253.50,249.50,252.50,1196,2307
01/13/2000,251.25,256.75,251.00,256.50,1544,3100
01/14/2000,254.50,257.00,254.50,255.75,1067,3781
01/18/2000,253.00,257.00,253.00,256.75,838,4079
01/19/2000,257.00,258.75,256.00,258.50,531,4295
01/20/2000,257.75,258.50,257.00,258.25,1134,4633
01/21/2000,258.25,260.00,257.75,260.00,412,4860
01/24/2000,261.00,262.50,260.00,262.25,785,5600
01/25/2000,262.00,263.00,261.25,262.75,685,6002
01/26/2000,260.00,260.50,258.25,258.75,264,6097
01/27/2000,257.25,261.75,257.25,261.50,486,6318
01/28/2000,260.75,261.75,258.50,259.75,317,6498
01/31/2000,254.75,256.75,254.50,256.25,285,6540
02/01/2000,256.25,258.25,255.50,258.25,210,6587
02/02/2000,257.50,259.50,257.25,258.25,492,6621
02/03/2000,255.75,258.00,255.50,256.50,452,6668
02/04/2000,254.75,259.00,253.50,258.75,384,6745
02/07/2000,260.25,260.50,259.00,260.25,138,6843
