"Date","Open","High","Low","Close","Volume","OpenInt"
03/26/2001,258.00,259.00,258.00,259.00,2,2
03/27/2001,258.75,258.75,258.75,258.75,0,2
03/28/2001,257.75,257.75,257.75,257.75,0,2
03/29/2001,255.50,255.50,255.50,255.50,0,2
03/30/2001,259.00,260.00,253.00,253.00,81,75
04/02/2001,254.50,259.00,254.50,259.00,11,86
04/03/2001,258.00,259.50,258.00,259.50,16,102
04/04/2001,260.00,262.00,260.00,262.00,2,104
04/05/2001,259.00,262.50,259.00,262.25,11,115
04/06/2001,259.25,259.25,259.25,259.25,0,115
04/09/2001,262.00,262.00,259.25,259.25,2,116
04/10/2001,258.25,258.25,258.25,258.25,0,116
04/11/2001,259.75,259.75,259.75,259.75,12,116
04/12/2001,261.00,261.00,260.75,260.75,26,129
04/16/2001,261.25,261.25,261.25,261.25,0,129
04/17/2001,257.75,257.75,257.75,257.75,0,129
04/18/2001,257.75,257.75,257.75,257.75,0,129
04/19/2001,254.50,254.50,254.50,254.50,7,136
04/20/2001,253.75,254.00,253.00,253.00,12,136
04/23/2001,252.00,252.00,248.25,248.25,25,146
04/24/2001,248.25,248.50,246.00,247.50,17,147
04/25/2001,249.00,249.00,247.50,249.00,2,149
04/26/2001,251.00,254.50,251.00,254.50,6,155
04/27/2001,251.00,251.00,250.50,251.00,9,155
04/30/2001,254.00,254.25,254.00,254.25,29,184
05/01/2001,254.50,257.50,254.50,256.50,5,189
05/02/2001,256.50,256.50,256.50,256.50,0,189
05/03/2001,256.00,256.00,256.00,256.00,0,189
05/04/2001,256.00,258.00,256.00,258.00,1,190
05/07/2001,255.75,256.25,255.50,256.25,8,196
05/08/2001,253.00,253.50,252.00,253.50,75,206
05/09/2001,253.00,253.50,253.00,253.00,10,206
05/10/2001,250.00,250.00,247.25,247.25,94,236
05/11/2001,247.00,247.00,245.00,246.00,14,236
05/14/2001,248.50,250.00,248.50,250.00,33,269
05/15/2001,249.25,249.25,249.25,249.25,24,293
05/16/2001,249.25,249.25,249.25,249.25,0,293
05/17/2001,248.00,248.50,247.50,248.25,7,300
05/18/2001,247.00,247.00,246.50,247.00,3,303
05/21/2001,242.50,242.50,241.50,241.50,11,299
05/22/2001,241.00,241.00,239.50,240.00,16,297
05/23/2001,241.00,241.50,241.00,241.50,59,316
05/24/2001,242.50,243.50,242.50,243.25,203,404
05/25/2001,242.25,242.75,241.00,241.00,13,413
05/29/2001,238.50,239.25,238.50,239.25,97,490
05/30/2001,239.25,240.00,239.00,240.00,28,506
05/31/2001,240.50,241.75,240.25,241.75,11,510
06/01/2001,243.50,248.00,243.50,247.00,27,516
06/04/2001,245.00,245.00,245.00,245.00,17,522
06/05/2001,245.25,245.75,243.25,243.25,10,530
06/06/2001,243.25,245.00,243.25,245.00,23,534
06/07/2001,246.00,246.00,245.00,245.00,11,540
06/08/2001,244.00,244.00,244.00,244.00,0,540
06/11/2001,244.00,245.50,244.00,245.50,40,580
06/12/2001,244.75,245.50,244.75,245.25,11,583
06/13/2001,245.00,245.00,244.50,244.75,2,581
06/14/2001,243.25,243.25,243.25,243.25,0,581
06/15/2001,240.75,240.75,239.00,240.00,90,636
06/18/2001,238.50,238.75,236.50,238.75,15,635
06/19/2001,238.00,241.00,238.00,240.25,3,636
06/20/2001,239.00,240.00,237.50,237.50,14,643
06/21/2001,235.00,235.00,235.00,235.00,40,683
06/22/2001,236.00,236.00,235.00,235.25,7,688
06/25/2001,233.75,233.75,233.00,233.00,85,768
06/26/2001,233.75,234.00,233.50,234.00,13,776
06/27/2001,236.50,237.25,236.50,236.75,287,911
06/28/2001,240.00,240.00,238.50,238.50,30,931
06/29/2001,239.00,239.00,238.00,238.50,40,965
07/02/2001,238.00,240.75,238.00,240.50,3,967
07/03/2001,242.75,243.50,242.75,243.50,4,971
07/05/2001,245.50,247.00,244.25,246.00,6,969
07/06/2001,248.00,248.00,245.75,246.00,157,1076
07/09/2001,248.00,250.00,248.00,250.00,15,974
07/10/2001,253.00,254.50,252.50,254.50,124,1009
07/11/2001,258.50,260.00,257.00,259.00,174,1135
07/12/2001,259.00,261.00,258.50,260.50,146,1197
07/13/2001,252.50,252.50,252.00,252.00,8,1198
07/16/2001,248.00,248.00,242.00,246.50,8,1196
07/17/2001,252.00,252.00,248.00,248.50,155,1245
07/18/2001,246.00,246.00,241.00,242.00,42,1177
07/19/2001,242.50,243.50,241.50,243.50,12,1167
07/20/2001,243.50,243.50,241.00,241.00,229,1309
07/23/2001,242.00,242.50,239.50,242.50,29,1323
07/24/2001,246.50,247.00,246.50,247.00,1,1323
07/25/2001,249.50,250.00,247.50,249.50,111,1327
07/26/2001,250.00,250.00,245.00,247.00,42,1254
07/27/2001,248.00,248.00,247.00,248.00,6,1258
07/30/2001,247.00,248.00,247.00,247.50,3,1260
07/31/2001,246.00,247.25,246.00,247.25,6,1264
08/01/2001,248.00,248.00,244.00,244.75,6,1269
08/02/2001,245.50,245.50,243.00,243.25,8,1277
08/03/2001,244.00,244.00,243.00,243.00,8,1275
08/06/2001,243.75,245.25,243.75,245.25,46,1240
08/07/2001,247.50,247.50,247.50,247.50,0,1240
08/08/2001,248.00,248.50,246.50,246.50,2,1241
08/09/2001,246.00,248.25,246.00,248.00,23,1251
08/10/2001,250.00,253.00,250.00,250.50,63,1293
08/13/2001,250.50,251.00,250.50,251.00,5,1296
08/14/2001,249.75,250.00,249.00,249.25,58,1274
08/15/2001,248.50,249.50,247.00,249.00,50,1299
08/16/2001,248.50,249.50,248.00,248.00,1,1300
08/17/2001,248.50,248.50,247.00,247.00,15,1313
08/20/2001,244.00,246.00,244.00,245.50,57,1356
08/21/2001,247.00,248.50,247.00,247.50,17,1371
08/22/2001,247.50,247.50,247.50,247.50,7,1377
08/23/2001,247.50,249.50,245.50,249.50,100,1400
08/24/2001,249.00,250.50,247.50,247.50,30,1412
08/27/2001,248.50,250.00,248.00,250.00,20,1419
08/28/2001,251.00,251.00,247.50,247.75,48,1449
08/29/2001,249.00,250.00,248.75,250.00,217,1627
08/30/2001,249.25,251.50,248.00,248.75,76,1693
08/31/2001,249.75,250.00,249.50,249.75,66,1758
09/04/2001,249.50,249.50,248.50,249.00,74,1764
09/05/2001,249.50,249.50,247.25,247.25,42,1797
09/06/2001,246.50,247.50,245.00,245.00,47,1802
09/07/2001,245.50,245.50,244.50,244.50,89,1720
09/10/2001,245.00,246.50,244.25,246.25,83,1758
09/13/2001,248.00,248.50,248.00,248.50,11,1770
09/14/2001,247.50,248.00,246.50,247.50,193,1956
09/17/2001,247.50,247.75,247.00,247.00,13,1964
09/18/2001,247.25,247.25,244.00,244.00,566,2404
09/19/2001,243.00,244.00,241.50,243.00,175,2533
09/20/2001,242.75,246.00,242.75,245.00,450,2444
09/21/2001,244.50,244.50,242.50,242.75,64,2499
09/24/2001,244.50,244.50,242.50,242.50,113,2488
09/25/2001,243.00,244.00,241.50,242.25,41,2497
09/26/2001,242.25,244.00,242.00,243.75,47,2542
09/27/2001,244.00,244.00,242.50,243.25,40,2571
09/28/2001,242.75,243.25,242.00,242.00,207,2688
10/01/2001,241.25,241.50,239.00,239.00,163,2846
10/02/2001,239.25,240.00,238.00,238.00,304,2914
10/03/2001,239.00,240.00,239.00,239.50,10,2916
10/04/2001,240.75,241.50,240.00,240.00,114,2933
10/05/2001,239.75,242.50,239.75,242.25,636,3355
10/08/2001,242.50,244.25,241.75,243.50,68,3367
10/09/2001,243.50,244.00,241.50,241.50,289,3511
10/10/2001,242.00,242.50,241.25,242.25,125,3544
10/11/2001,242.50,243.25,242.00,242.25,180,3663
10/12/2001,239.00,239.00,238.25,239.00,402,3990
10/15/2001,238.75,238.75,235.25,235.25,670,4451
10/16/2001,235.25,236.50,235.00,236.00,100,4486
10/17/2001,235.50,237.00,234.75,236.75,65,4545
10/18/2001,238.00,238.00,235.25,235.25,41,4565
10/19/2001,235.00,237.00,235.00,236.00,22,4579
10/22/2001,235.50,235.75,235.00,235.00,51,4623
10/23/2001,235.50,235.50,235.25,235.25,106,4652
10/24/2001,235.25,238.25,235.25,237.75,257,4804
10/25/2001,237.75,238.50,237.50,237.75,140,4917
10/26/2001,237.50,238.25,237.25,237.50,100,4984
10/29/2001,237.00,237.00,235.00,235.50,682,5344
10/30/2001,235.50,237.75,235.25,237.75,229,5369
10/31/2001,237.75,239.25,237.50,237.50,82,5402
11/01/2001,236.25,238.50,236.25,237.75,192,5517
11/02/2001,237.50,237.75,235.25,235.50,334,5812
11/05/2001,235.50,235.50,235.00,235.25,189,5931
11/06/2001,235.50,236.50,234.50,234.50,698,6268
11/07/2001,235.00,235.75,234.25,234.25,815,6892
11/08/2001,235.25,235.25,234.00,234.25,421,7239
11/09/2001,234.25,238.25,234.25,236.75,462,7432
11/12/2001,236.75,237.25,236.25,236.75,97,7458
11/13/2001,237.50,238.00,237.00,237.25,474,7606
11/14/2001,237.50,239.25,237.25,238.50,502,7929
