"Date","Open","High","Low","Close","Volume","OpenInt"
10/02/2000,1032.000,1032.000,1032.000,1032.000,5050,5000
10/03/2000,1048.000,1048.000,1048.000,1048.000,500,5500
10/04/2000,1070.000,1070.000,1070.000,1070.000,370,5500
10/05/2000,1068.000,1073.000,1068.000,1073.000,35,5465
10/06/2000,1064.000,1064.000,1064.000,1064.000,0,5465
10/09/2000,1062.000,1062.000,1053.000,1053.000,307,5772
10/10/2000,1065.000,1066.000,1055.000,1066.000,302,6072
10/11/2000,1060.000,1060.000,1060.000,1060.000,250,6357
10/12/2000,1050.000,1050.000,1050.000,1050.000,0,6357
10/13/2000,1045.000,1045.000,1045.000,1045.000,0,6357
10/16/2000,1040.000,1040.000,1040.000,1040.000,50,6407
10/17/2000,1057.000,1057.000,1057.000,1057.000,0,6407
10/18/2000,1052.000,1052.000,1052.000,1052.000,0,6407
10/19/2000,1046.000,1046.000,1046.000,1046.000,0,6407
10/20/2000,1021.000,1021.000,1021.000,1021.000,0,6407
10/23/2000,1018.000,1018.000,1018.000,1018.000,0,6407
10/24/2000,1041.000,1041.000,1041.000,1041.000,0,6407
10/25/2000,1004.000,1004.000,1004.000,1004.000,0,6407
10/26/2000,1019.000,1019.000,1019.000,1019.000,0,6407
10/27/2000,994.000,994.000,994.000,994.000,0,6407
10/30/2000,999.000,999.000,989.000,989.000,300,6707
10/31/2000,987.000,987.000,987.000,987.000,0,6707
11/01/2000,988.000,988.000,988.000,988.000,0,6707
11/02/2000,1000.000,1000.000,1000.000,1000.000,0,6707
11/03/2000,986.000,986.000,986.000,986.000,0,6707
11/06/2000,978.000,978.000,978.000,978.000,0,6707
11/07/2000,980.000,980.000,980.000,980.000,0,6707
11/08/2000,968.000,968.000,968.000,968.000,0,6707
11/09/2000,974.000,974.000,970.000,970.000,13,6706
11/10/2000,963.000,963.000,963.000,963.000,0,6707
11/13/2000,942.000,942.000,942.000,942.000,0,6707
11/14/2000,934.000,934.000,934.000,934.000,0,6707
11/15/2000,938.000,938.000,938.000,938.000,0,6707
11/16/2000,935.000,935.000,935.000,935.000,400,7107
11/17/2000,932.000,932.000,932.000,932.000,0,7107
11/20/2000,929.000,929.000,929.000,929.000,0,7107
11/21/2000,929.000,929.000,929.000,929.000,0,7107
11/22/2000,917.000,917.000,917.000,917.000,0,7107
11/27/2000,909.000,909.000,909.000,909.000,0,7107
