"Date","Open","High","Low","Close","Volume","OpenInt"
01/03/2001,942.000,943.000,926.000,926.000,275,275
01/04/2001,937.000,937.000,937.000,937.000,300,575
01/05/2001,949.000,970.000,949.000,970.000,847,1422
01/08/2001,967.000,976.000,967.000,972.000,1501,2898
01/09/2001,974.000,975.000,959.000,959.000,2290,4903
01/10/2001,973.000,975.000,973.000,975.000,119,5022
01/11/2001,1010.000,1010.000,1010.000,1010.000,116,5054
01/12/2001,1024.000,1024.000,1003.000,1020.000,1100,6139
01/16/2001,1041.000,1052.000,1041.000,1052.000,497,6616
01/17/2001,1057.000,1126.000,1057.000,1126.000,125,6716
01/18/2001,1147.000,1147.000,1134.000,1134.000,100,6816
01/19/2001,1094.000,1106.000,1094.000,1106.000,400,7191
01/22/2001,1149.000,1149.000,1149.000,1149.000,1062,6831
01/23/2001,1144.000,1144.000,1144.000,1144.000,308,6831
01/24/2001,1126.000,1133.000,1117.000,1133.000,95,6887
01/25/2001,1150.000,1150.000,1150.000,1150.000,0,6887
01/26/2001,1200.000,1200.000,1200.000,1200.000,10,6887
01/29/2001,1186.000,1186.000,1186.000,1186.000,408,6569
01/30/2001,1199.000,1199.000,1199.000,1199.000,0,6569
01/31/2001,1161.000,1161.000,1161.000,1161.000,50,6519
02/01/2001,1187.000,1187.000,1187.000,1187.000,50,6479
02/02/2001,1185.000,1185.000,1185.000,1185.000,0,6479
02/05/2001,1197.000,1197.000,1197.000,1197.000,77,6407
02/06/2001,1216.000,1216.000,1216.000,1216.000,5,6407
02/07/2001,1176.000,1176.000,1175.000,1175.000,818,5595
02/08/2001,1145.000,1145.000,1145.000,1145.000,0,5595
02/09/2001,1150.000,1150.000,1150.000,1150.000,0,5595
02/12/2001,1175.000,1175.000,1175.000,1175.000,100,5695
02/13/2001,1216.000,1216.000,1216.000,1216.000,0,5695
02/14/2001,1206.000,1206.000,1206.000,1206.000,0,5695
02/15/2001,1198.000,1198.000,1198.000,1198.000,35,5714
02/16/2001,1264.000,1264.000,1259.000,1259.000,16,5705
02/20/2001,1266.000,1266.000,1266.000,1266.000,282,5736
02/21/2001,1307.000,1307.000,1307.000,1307.000,766,6466
02/22/2001,1269.000,1269.000,1269.000,1269.000,0,6466
02/23/2001,1278.000,1278.000,1278.000,1278.000,0,6466
02/26/2001,1246.000,1246.000,1239.000,1239.000,245,6537
02/27/2001,1252.000,1252.000,1252.000,1252.000,506,6849
02/28/2001,1251.000,1251.000,1251.000,1251.000,162,6984
03/01/2001,1235.000,1235.000,1235.000,1235.000,0,6984
03/02/2001,1279.000,1279.000,1279.000,1279.000,20,7004
03/05/2001,1237.000,1237.000,1237.000,1237.000,365,7304
03/06/2001,1154.000,1154.000,1154.000,1154.000,0,7304
03/07/2001,1179.000,1179.000,1179.000,1179.000,0,7304
03/08/2001,1173.000,1173.000,1173.000,1173.000,120,7419
03/09/2001,1180.000,1193.000,1180.000,1193.000,527,7604
03/12/2001,1176.000,1176.000,1176.000,1176.000,0,7604
03/13/2001,1187.000,1187.000,1187.000,1187.000,0,7604
03/14/2001,1157.000,1157.000,1157.000,1157.000,0,7604
03/15/2001,1135.000,1135.000,1135.000,1135.000,5545,7604
03/16/2001,1146.000,1146.000,1146.000,1146.000,0,7604
03/19/2001,1125.000,1125.000,1125.000,1125.000,450,7904
03/20/2001,1113.000,1113.000,1113.000,1113.000,85,7989
03/21/2001,1090.000,1090.000,1088.000,1089.000,375,8324
03/22/2001,1138.000,1154.000,1138.000,1154.000,778,8285
03/23/2001,1168.000,1168.000,1168.000,1168.000,67,8272
03/26/2001,1191.000,1191.000,1191.000,1191.000,5,8277
03/27/2001,1153.000,1153.000,1153.000,1153.000,0,8277
03/28/2001,1161.000,1161.000,1161.000,1161.000,128,8249
03/29/2001,1180.000,1180.000,1180.000,1180.000,159,8308
03/30/2001,1183.000,1183.000,1183.000,1183.000,233,8468
04/02/2001,1146.000,1146.000,1146.000,1146.000,0,8468
04/03/2001,1125.000,1125.000,1125.000,1125.000,509,8968
04/04/2001,1118.000,1120.000,1107.000,1114.000,465,9015
04/05/2001,1114.000,1114.000,1114.000,1114.000,16,9015
04/06/2001,1128.000,1128.000,1128.000,1128.000,0,9015
04/09/2001,1098.000,1098.000,1098.000,1098.000,0,9015
04/10/2001,1088.000,1090.000,1088.000,1090.000,25,8998
04/11/2001,1115.000,1118.000,1115.000,1118.000,15,9013
04/12/2001,1106.000,1106.000,1106.000,1106.000,0,9013
04/16/2001,1076.000,1084.000,1076.000,1084.000,1,9014
04/17/2001,1093.000,1093.000,1093.000,1093.000,0,9014
04/18/2001,1085.000,1085.000,1085.000,1085.000,120,9119
04/19/2001,1083.000,1083.000,1083.000,1083.000,25,9144
04/20/2001,1094.000,1094.000,1094.000,1094.000,12,9154
04/23/2001,1107.000,1107.000,1107.000,1107.000,0,9154
04/24/2001,1098.000,1098.000,1098.000,1098.000,0,9154
04/25/2001,1115.000,1115.000,1115.000,1115.000,0,9154
04/26/2001,1118.000,1118.000,1118.000,1118.000,0,9154
04/27/2001,1094.000,1094.000,1094.000,1094.000,0,9154
04/30/2001,1082.000,1082.000,1082.000,1082.000,22,9175
05/01/2001,1070.000,1070.000,1070.000,1070.000,4,9173
05/02/2001,1067.000,1067.000,1067.000,1067.000,103,9173
05/03/2001,1084.000,1084.000,1084.000,1084.000,0,9173
05/04/2001,1066.000,1066.000,1066.000,1066.000,15,9173
05/07/2001,1075.000,1075.000,1075.000,1075.000,0,9173
05/08/2001,1118.000,1118.000,1118.000,1118.000,85,9158
05/09/2001,1091.000,1091.000,1091.000,1091.000,125,9233
05/10/2001,1112.000,1112.000,1112.000,1112.000,0,9233
05/11/2001,1076.000,1076.000,1076.000,1076.000,5,9233
05/14/2001,1086.000,1086.000,1086.000,1086.000,0,9233
05/15/2001,1106.000,1106.000,1106.000,1106.000,1,9233
05/16/2001,1110.000,1125.000,1110.000,1125.000,51,9283
05/17/2001,1109.000,1109.000,1109.000,1109.000,44,9303
05/18/2001,1136.000,1136.000,1136.000,1136.000,50,9343
05/21/2001,1125.000,1125.000,1109.000,1109.000,491,9821
05/22/2001,1102.000,1102.000,1102.000,1102.000,35,9856
05/23/2001,1111.000,1111.000,1111.000,1111.000,5,9861
05/24/2001,1103.000,1103.000,1103.000,1103.000,1,9862
05/25/2001,1085.000,1085.000,1085.000,1085.000,25,9887
05/29/2001,1070.000,1070.000,1070.000,1070.000,0,9887
05/30/2001,1053.000,1053.000,1037.000,1037.000,230,10067
05/31/2001,1028.000,1028.000,1012.000,1012.000,20,10077
06/01/2001,1030.000,1030.000,1030.000,1030.000,110,10187
06/04/2001,1023.000,1023.000,1023.000,1023.000,20,10207
06/05/2001,1037.000,1037.000,1037.000,1037.000,100,10307
06/06/2001,1030.000,1030.000,1030.000,1030.000,115,10408
06/07/2001,1015.000,1015.000,989.000,989.000,107,10484
06/08/2001,1000.000,1000.000,1000.000,1000.000,996,10888
06/11/2001,997.000,997.000,997.000,997.000,29,10867
06/12/2001,993.000,994.000,987.000,987.000,219,10988
06/13/2001,1008.000,1008.000,1008.000,1008.000,45,10902
06/14/2001,1016.000,1016.000,1016.000,1016.000,1033,11923
06/15/2001,1002.000,1002.000,1002.000,1002.000,211,11863
06/18/2001,1013.000,1013.000,1013.000,1013.000,150,11953
06/19/2001,1000.000,1000.000,1000.000,1000.000,164,12022
06/20/2001,983.000,983.000,983.000,983.000,206,12101
