Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/04/2020,555,555,553.75,553.75,-4,3,0
03/03/2020,553.75,560.75,553.75,557.75,2.25,9,246
03/02/2020,552.5,555.5,552.25,555.5,-2.5,1,238
02/28/2020,553.75,558,552,558,-0.5,9,237
02/27/2020,559.25,559.25,558.5,558.5,-4.75,2,231
02/26/2020,563.25,563.25,563.25,563.25,-1.5,0,229
02/25/2020,565.75,565.75,564.75,564.75,-1.75,6,229
02/24/2020,574.5,574.5,566.5,566.5,-9.75,20,226
02/21/2020,580,587,576.25,576.25,-7,24,227
02/20/2020,582,583.25,579.75,583.25,-3.5,12,220
02/19/2020,580.75,586.75,576,586.75,2.25,21,208
02/18/2020,580.5,584.5,579.25,584.5,16,17,188
02/14/2020,573.5,575,568.5,568.5,-4.5,17,180
02/13/2020,575,575,570.25,573,-3.5,6,179
02/12/2020,576.5,576.5,576.5,576.5,3.5,3,178
02/11/2020,575.25,577.5,573,573,-4,5,175
02/10/2020,578.25,578.25,577,577,1,2,176
02/07/2020,576,576,572.5,576,1.75,3,174
02/06/2020,574,574.25,574,574.25,-3.25,2,174
02/05/2020,575.25,577.5,575.25,577.5,2.25,4,174
02/04/2020,576.75,576.75,575.25,575.25,4,1,172
02/03/2020,571.25,571.25,571.25,571.25,1.25,0,172
01/31/2020,572.25,572.25,570,570,-4.75,1,172
01/30/2020,574.75,574.75,574.75,574.75,-3,0,171
01/29/2020,577.75,577.75,577.75,577.75,-4,0,171
01/28/2020,581.75,581.75,581.75,581.75,-4.75,2,171
01/27/2020,580.5,586.5,580.5,586.5,2,2,171
01/24/2020,584.5,584.5,584.5,584.5,-0.75,0,169
01/23/2020,587,587,581,585.25,0,13,169
01/22/2020,590.25,590.25,580,585.25,-5.5,10,162
01/21/2020,591.25,591.25,590.75,590.75,4.75,4,154
01/17/2020,586,586,586,586,1,0,151
01/16/2020,585,585,585,585,-4.5,0,151
01/15/2020,591,591,589.5,589.5,-1.25,3,151
01/14/2020,586.75,595,586.75,590.75,0.25,9,148
01/13/2020,590.5,590.5,590.5,590.5,1,0,139
01/10/2020,587.25,589.5,586.25,589.5,-0.75,5,139
01/09/2020,588.5,590.25,588.5,590.25,4.25,32,134
01/08/2020,585,586,585,586,0.5,8,113
01/07/2020,585.5,585.5,585.5,585.5,-1.25,0,106
01/06/2020,586.75,586.75,586.75,586.75,-2,0,106
01/03/2020,588.75,588.75,588.75,588.75,-3.5,0,106
01/02/2020,589.75,592.25,589.75,592.25,0.75,1,106
12/31/2019,591.5,591.5,591.5,591.5,3,0,105
12/30/2019,588.5,588.5,588.5,588.5,2,0,105
12/27/2019,585,586.5,585,586.5,3.25,1,105
12/26/2019,583.25,583.25,583.25,583.25,4,0,104
12/24/2019,579.25,579.25,579.25,579.25,0.25,0,104
12/23/2019,579,579,579,579,3.75,0,104
12/20/2019,569,575.25,569,575.25,-2.25,2,104
12/19/2019,577.5,577.5,577.5,577.5,-5.25,0,102
12/18/2019,582.75,582.75,582.75,582.75,0,0,102
12/17/2019,582.75,582.75,582.75,582.75,3.25,0,102
12/16/2019,580,580,578,579.5,4,5,102
12/13/2019,575.5,575.5,575.5,575.5,4,0,98
12/12/2019,571.5,571.5,571.5,571.5,7.75,0,98
12/11/2019,581.75,581.75,563.75,563.75,-3.25,2,98
12/10/2019,567,567,567,567,2.5,0,98
12/09/2019,564.5,564.5,564.5,564.5,0.5,0,98
12/06/2019,558,564,558,564,2.5,1,98
12/05/2019,561.5,561.5,561.5,561.5,0.25,0,97
12/04/2019,561.25,561.25,561.25,561.25,-1.5,0,97
"Downloaded from Barchart.com as of 03-04-2020 12:23pm CST"
