Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/03/2020,558.5,558.5,558.5,558.5,4.25,0,68
03/02/2020,554.25,554.25,554.25,554.25,-2.5,0,68
02/28/2020,556.75,556.75,556.75,556.75,-0.5,0,68
02/27/2020,557.25,557.25,557.25,557.25,-4.75,0,68
02/26/2020,562,562,562,562,-1.5,0,68
02/25/2020,563.5,563.5,563.5,563.5,-1.75,0,68
02/24/2020,565.25,565.25,565.25,565.25,-9.75,0,68
02/21/2020,575,575,575,575,-7,0,68
02/20/2020,582,582,582,582,-3.5,0,68
02/19/2020,585.5,585.5,585.5,585.5,2.25,0,68
02/18/2020,583.25,583.25,583.25,583.25,16,0,68
02/14/2020,567.25,567.25,567.25,567.25,-4.5,0,68
02/13/2020,571.75,571.75,571.75,571.75,-3.5,0,68
02/12/2020,575.25,575.25,575.25,575.25,3.5,0,68
02/11/2020,571.75,571.75,571.75,571.75,-4,0,68
02/10/2020,578,578,575.75,575.75,1,2,68
02/07/2020,574.5,574.75,574.5,574.75,1.75,2,66
02/06/2020,573,573,573,573,-3.25,0,64
02/05/2020,576.25,576.25,576.25,576.25,2.25,0,64
02/04/2020,577,577,574,574,4,7,64
02/03/2020,570,570,570,570,0.25,0,60
01/31/2020,575,575,569.75,569.75,-4.75,9,60
01/30/2020,572.5,574.5,572.5,574.5,-3,2,53
01/29/2020,577.5,577.5,577.5,577.5,-4.25,0,51
01/28/2020,581.75,581.75,581.75,581.75,-4,1,51
01/27/2020,585.75,585.75,585.75,585.75,2,0,50
01/24/2020,583.75,583.75,583.75,583.75,-0.75,0,50
01/23/2020,584.5,584.5,584.5,584.5,0,0,50
01/22/2020,584.5,584.5,579.25,584.5,-5.5,0,50
01/21/2020,590,590,582.5,590,4.75,0,50
01/17/2020,585.25,585.25,585.25,585.25,1,0,50
01/16/2020,584.25,584.25,584.25,584.25,-4.5,1,50
01/15/2020,588.75,588.75,588.75,588.75,-1.25,0,49
01/14/2020,590,590,590,590,0.25,1,49
01/13/2020,589.75,589.75,589.75,589.75,1,8,48
01/10/2020,588.75,588.75,588.75,588.75,-1.5,40,40
01/09/2020,590.25,590.25,590.25,590.25,4.25,0,0
01/08/2020,586,586,586,586,0.5,0,0
01/07/2020,585.5,585.5,585.5,585.5,-1.25,0,0
01/06/2020,586.75,586.75,586.75,586.75,-2,0,0
01/03/2020,588.75,588.75,588.75,588.75,-3.5,0,0
01/02/2020,592.25,592.25,592.25,592.25,0.75,0,0
12/31/2019,591.5,591.5,591.5,591.5,3,0,0
12/30/2019,588.5,588.5,588.5,588.5,2,0,0
12/27/2019,586.5,586.5,586.5,586.5,3.25,0,0
12/26/2019,583.25,583.25,583.25,583.25,4,0,0
12/24/2019,579.25,579.25,579.25,579.25,0.25,0,0
12/23/2019,579,579,579,579,3.75,0,0
12/20/2019,575.25,575.25,575.25,575.25,-2.25,0,0
12/19/2019,577.5,577.5,577.5,577.5,-5.25,0,0
12/18/2019,582.75,582.75,582.75,582.75,0,0,0
12/17/2019,582.75,582.75,582.75,582.75,3.25,0,0
12/16/2019,579.5,579.5,579.5,579.5,4,0,0
12/13/2019,575.5,575.5,575.5,575.5,4,0,0
12/12/2019,571.5,571.5,571.5,571.5,7.75,0,0
12/11/2019,563.75,563.75,563.75,563.75,-3.25,0,0
12/10/2019,567,567,567,567,2.5,0,0
12/09/2019,564.5,564.5,564.5,564.5,0.5,0,0
12/06/2019,564,564,564,564,2.5,0,0
12/05/2019,561.5,561.5,561.5,561.5,0.25,0,0
12/04/2019,561.25,561.25,561.25,561.25,-1.5,0,0
12/03/2019,562.75,562.75,562.75,562.75,-2.75,0,0
12/02/2019,565.5,565.5,565.5,565.5,-4,0,0
11/29/2019,569.5,569.5,569.5,569.5,5.5,0,0
11/27/2019,564,564,564,564,-1.75,0,0
11/26/2019,565.75,565.75,565.75,565.75,-1.75,0,0
11/25/2019,567.5,567.5,567.5,567.5,3.25,0,0
11/22/2019,564.25,564.25,564.25,564.25,4.25,0,0
11/21/2019,560,560,560,560,-4,0,0
11/20/2019,564,564,564,564,1.25,0,0
11/19/2019,562.75,562.75,562.75,562.75,4.25,0,0
11/18/2019,558.5,558.5,558.5,558.5,2.75,0,0
11/15/2019,555.75,555.75,555.75,555.75,-1.75,0,0
11/14/2019,557.5,557.5,557.5,557.5,-1.5,0,0
