Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/04/2020,541.75,542.5,538.75,542.5,-1.5,256,0
03/03/2020,538.5,547.25,538.5,544,3.5,228,2679
03/02/2020,540.75,544.25,535,540.5,-2.5,109,2523
02/28/2020,541.75,543,531.75,543,-0.5,204,2522
02/27/2020,545.25,545.5,541.25,543.5,-5,117,2468
02/26/2020,546.25,550,544.5,548.5,-0.75,115,2425
02/25/2020,551.75,552.5,545,549.25,-2,111,2389
02/24/2020,558.25,558.25,547.25,551.25,-10.25,183,2397
02/21/2020,569,573.25,560,561.5,-7,351,2416
02/20/2020,571.75,571.75,565.5,568.5,-2.75,156,2258
02/19/2020,566.5,571.25,561,571.25,1.5,247,2211
02/18/2020,561,571.75,554.75,569.75,17.75,631,2202
02/14/2020,556,558.5,552,552,-4.75,91,2055
02/13/2020,559.25,560,553.75,556.75,-3.25,113,2063
02/12/2020,552.5,560,551.75,560,3.25,149,2073
02/11/2020,560.75,562.5,554,556.75,-4.5,67,2062
02/10/2020,559.5,563.75,557.25,561.25,0.75,154,2072
02/07/2020,555.25,562,555.25,560.5,2.75,118,2059
02/06/2020,563.5,563.5,557,557.75,-4.5,246,2051
02/05/2020,558.5,563,557.75,562.25,3.5,165,2047
02/04/2020,556,561,555.25,558.75,2.5,110,2029
02/03/2020,551.25,557,547.75,556.25,0.75,154,2028
01/31/2020,558,562.75,554,555.5,-4.5,166,1988
01/30/2020,560,560,556,560,-3.5,90,1953
01/29/2020,568.25,568.5,561,563.5,-3.5,174,1962
01/28/2020,569.25,571.75,564.75,567,-4.25,57,1967
01/27/2020,565.75,571.25,561.5,571.25,1.75,141,1953
01/24/2020,571.75,572.5,565.75,569.5,-2,60,1994
01/23/2020,567.75,573,567.75,571.5,1,88,1997
01/22/2020,574.5,579,568.5,570.5,-5.75,261,1972
01/21/2020,571.25,578.25,568.25,576.25,6.25,169,1889
01/17/2020,567.5,571.25,567,570,1.25,101,1807
01/16/2020,567.75,568.75,565.25,568.75,-4.75,85,1786
01/15/2020,574,575.75,570.5,573.5,-1.25,374,1758
01/14/2020,572.25,579.25,571,574.75,1,215,1622
01/13/2020,572,573.75,568.75,573.75,1,83,1504
01/10/2020,573,575.25,568,572.75,-1.5,205,1473
01/09/2020,570,576,570,574.25,4.5,160,1418
01/08/2020,567,570,564.5,569.75,0.75,125,1325
01/07/2020,568,569.25,567.25,569,-0.5,55,1258
01/06/2020,570.75,572.75,566.75,569.5,-2.25,33,1244
01/03/2020,575,575.75,568,571.75,-3,125,1243
01/02/2020,573.5,577.5,573.25,574.75,1.25,244,1213
12/31/2019,571,574,570,573.5,3,43,1127
12/30/2019,572.75,573.25,568,570.5,1.5,91,1110
12/27/2019,567.5,572,567.5,569,3.5,90,1089
12/26/2019,564.25,566,564,565.5,4,7,1053
12/24/2019,561.5,562.25,561.5,561.5,0.25,0,1050
12/23/2019,559.75,561.75,559.5,561.25,3.5,37,1050
12/20/2019,560.5,561.25,552.5,557.75,-2,56,1047
12/19/2019,561.5,565.75,559.25,559.75,-4.5,38,1032
12/18/2019,564,565.5,560,564.25,-0.75,28,1009
12/17/2019,559.75,565.25,557.25,565,3.75,88,998
12/16/2019,557,565.75,556.75,561.25,6.25,65,948
12/13/2019,553.25,555,549.25,555,3.25,7,913
12/12/2019,543.5,554.5,541.5,551.75,8.5,35,913
12/11/2019,545,545,541.25,543.25,-3.25,7,899
12/10/2019,542.75,548.25,542.75,546.5,1,4,898
12/09/2019,544.5,547,542.25,545.5,1,13,896
12/06/2019,542,544.5,541.5,544.5,2.25,5,891
12/05/2019,543.5,546,541,542.25,-0.25,10,889
12/04/2019,545.5,552.25,541.75,542.5,-1.75,64,882
"Downloaded from Barchart.com as of 03-04-2020 12:12pm CST"
