Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/04/2020,544.25,544.25,544.25,544.25,-2.75,14,0
03/03/2020,548.25,549.75,542.25,547,3.25,3,272
03/02/2020,545.25,546.5,538.75,543.75,-2.25,28,273
02/28/2020,546,546,534.75,546,-0.5,12,272
02/27/2020,548,548.25,542.5,546.5,-5,11,282
02/26/2020,547,552.5,547,551.5,-1,73,280
02/25/2020,552.5,552.5,548.75,552.5,-2,2,276
02/24/2020,555.25,555.5,550.5,554.5,-9.75,36,276
02/21/2020,570.75,574.5,564,564.25,-7,29,271
02/20/2020,574,574,569.25,571.25,-2.75,26,269
02/19/2020,567,574,564.5,574,1,18,266
02/18/2020,565.5,574.5,561.5,573,16.75,188,266
02/14/2020,559.5,561.25,556.25,556.25,-4.25,15,187
02/13/2020,563.5,564,558,560.5,-3,41,181
02/12/2020,562.75,563.5,557.25,563.5,3.5,75,181
02/11/2020,559.5,564.75,557.75,560,-3.75,12,184
02/10/2020,562.75,566.25,560.5,563.75,1,35,184
02/07/2020,561.75,563.5,557.75,562.75,2.5,16,163
02/06/2020,560.25,565.5,559.75,560.25,-4.5,2,157
02/05/2020,563,565.25,561.5,564.75,3.25,13,157
02/04/2020,561.5,563,558.25,561.5,2.75,29,158
02/03/2020,552,559.25,550.5,558.75,1.5,82,155
01/31/2020,558.75,565.5,556.25,557.25,-6,83,148
01/30/2020,563.25,563.25,559.75,563.25,-3.5,0,129
01/29/2020,564,570,564,566.75,-2.25,64,129
01/28/2020,569.25,569.25,566.75,569,-5,9,119
01/27/2020,567,574,566.75,574,2.75,27,116
01/24/2020,569.25,571.75,568.25,571.25,-2.5,9,104
01/23/2020,572,573.75,571.5,573.75,1.25,15,98
01/22/2020,570.5,580,570.5,572.5,-5.5,28,89
01/21/2020,572.5,579,571.75,578,6,16,81
01/17/2020,570.25,572.75,570.25,572,0.75,3,71
01/16/2020,566.25,571.25,566.25,571.25,-4,25,69
01/15/2020,576,576.75,573,575.25,-1.5,10,48
01/14/2020,578,580.75,574,576.75,0.75,12,42
01/13/2020,576,576,571.5,576,0.75,0,34
01/10/2020,573.25,577,571.75,575.25,-1.5,4,34
01/09/2020,576.25,577.75,575.75,576.75,4.5,7,32
01/08/2020,571.5,572.25,569.5,572.25,0.75,2,29
01/07/2020,571.5,571.5,570.5,571.5,-0.5,0,29
01/06/2020,570.75,572.25,570.75,572,-2.25,1,29
01/03/2020,577.75,577.75,571.25,574.25,-2.75,10,28
01/02/2020,577,579.5,577,577,0.5,2,23
12/31/2019,576.5,576.5,576.5,576.5,3,0,22
12/30/2019,574.5,576,572.5,573.5,1.25,9,22
12/27/2019,571,574.25,571,572.25,3.5,5,15
12/26/2019,568.75,568.75,568.75,568.75,4,0,13
12/24/2019,564.75,565,564.75,564.75,0.25,0,13
12/23/2019,564.5,564.5,564.5,564.5,3.75,0,13
12/20/2019,560.75,563,557.75,560.75,-2,0,13
12/19/2019,562.75,568,562.75,562.75,-4.5,0,13
12/18/2019,567.25,567.25,564.25,567.25,-0.5,1,13
12/17/2019,567.75,567.75,561.25,567.75,4,3,12
12/16/2019,565,567.5,563.5,563.75,4.75,7,9
12/13/2019,559,559,559,559,4.25,0,5
12/12/2019,554.75,556.25,554.75,554.75,7.5,0,5
12/11/2019,547.25,547.25,547,547.25,-2,0,5
12/10/2019,549.25,549.25,549.25,549.25,0.75,0,5
12/09/2019,548.5,548.5,548.5,548.5,1.25,0,5
12/06/2019,547.25,547.25,547.25,547.25,2.25,0,5
12/05/2019,545,545,545,545,-1,0,5
12/04/2019,544,548.75,544,546,-1,4,5
"Downloaded from Barchart.com as of 03-04-2020 12:14pm CST"
