Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/04/2020,543,543.5,536.75,539.5,-5,6284,0
03/03/2020,540.75,549.75,539.25,544.5,3.25,10331,49766
03/02/2020,539,545.75,534.75,541.25,-2.25,11723,49988
02/28/2020,543.5,544,532.5,543.5,-2.75,11595,50438
02/27/2020,550.5,550.5,544.5,546.25,-5.5,5918,50369
02/26/2020,551.25,555,548.75,551.75,-1.25,4532,50299
02/25/2020,556.25,557.75,547.25,553,-1.25,8108,49810
02/24/2020,567.25,567.25,551.25,554.25,-13.5,8541,49479
02/21/2020,574,581.25,567,567.75,-6.5,6724,49844
02/20/2020,576,578.25,571.25,574.25,-2.25,5100,48720
02/19/2020,573.5,576.75,566,576.5,-0.5,5371,48268
02/18/2020,561.75,580.25,561.5,577,20.5,12370,47411
02/14/2020,559.75,563,556.25,556.5,-3.5,3150,46226
02/13/2020,563.75,565,557,560,-4.75,2847,46037
02/12/2020,559,565,557.75,564.75,3.75,5821,45689
02/11/2020,568.25,569.75,558.75,561,-7.25,6270,45999
02/10/2020,570,573.5,566.5,568.25,-2.75,7434,45497
02/07/2020,567.5,572.5,565,571,4,5074,45866
02/06/2020,573.5,575.25,566.5,567,-5.75,4020,44454
02/05/2020,569.5,573.75,568.5,572.75,3.5,3728,43936
02/04/2020,566.75,573.5,566.25,569.25,1.25,7005,43620
02/03/2020,565.25,569.5,561.75,568,0,7686,43401
01/31/2020,573.5,576.5,566.75,568,-4,5168,41995
01/30/2020,574.75,574.75,564.5,572,-3,4611,40720
01/29/2020,582.75,584.25,573.25,575,-6.25,5720,40006
01/28/2020,584.75,586.75,577.25,581.25,-3.5,3001,38975
01/27/2020,580,584.75,575,584.75,-1.5,7174,38597
01/24/2020,592,592.25,582.75,586.25,-4.75,3696,37167
01/23/2020,589.75,592.5,587.75,591,1.25,4602,36415
01/22/2020,593,599.5,587.25,589.75,-3.75,7363,35523
01/21/2020,585,594,581,593.5,9.75,6167,34702
01/17/2020,581.75,586,580,583.75,3.25,4139,33439
01/16/2020,585.5,585.5,576.5,580.5,-6.5,3756,32184
01/15/2020,585,591,584.25,587,2.25,7154,31027
01/14/2020,580.75,588.75,578.75,584.75,3,7110,30836
01/13/2020,582.25,582.5,576.5,581.75,-0.25,5126,28948
01/10/2020,582,585.25,575,582,-0.25,8435,27312
01/09/2020,574.5,583.75,574.5,582.25,7.25,3580,26571
01/08/2020,571.5,577,568.75,575,2,3364,25590
01/07/2020,573,574,569.75,573,-0.5,2564,24944
01/06/2020,575,576.75,569.75,573.5,-3,3150,24752
01/03/2020,580.5,582.25,573.5,576.5,-3.75,4734,24329
01/02/2020,577.75,584.75,577.25,580.25,2.5,2562,23292
12/31/2019,574,578.75,572.25,577.75,2.5,1797,22907
12/30/2019,575.75,580,571.25,575.25,1.75,2480,22599
12/27/2019,569.75,577.75,569.25,573.5,5.5,2515,22219
12/26/2019,561.75,570,561.75,568,5.25,729,21992
12/24/2019,562.25,566.25,561,562.75,0.5,916,22026
12/23/2019,563,566.5,561.5,562.25,0,2364,21972
12/20/2019,565,566.25,558.25,562.25,-2.25,2727,21747
12/19/2019,567,571.25,563.5,564.5,-3.5,2993,21327
12/18/2019,568,571.75,564.75,568,-3.5,4444,20916
12/17/2019,566,572.25,560,571.5,7.25,3573,20588
12/16/2019,556,570.5,556,564.25,10.5,5254,19972
12/13/2019,554.75,556,548,553.75,2,2678,19932
12/12/2019,541.75,555.75,540.75,551.75,8.5,3588,19757
12/11/2019,546.25,546.25,540.75,543.25,-4,1448,20074
12/10/2019,544.5,549.75,543.25,547.25,1.25,1791,19921
12/09/2019,545.75,548,543.25,546,-0.5,1330,19662
12/06/2019,546.5,549,542.75,546.5,0.5,2184,19429
12/05/2019,550,550.5,545,546,-2.25,995,19170
12/04/2019,547.25,551,545.25,548.25,1,1710,19186
"Downloaded from Barchart.com as of 03-04-2020 12:10pm CST"
