Time,Open,High,Low,Last,Change,Volume,"Open Int"
03/04/2020,551.75,551.75,548.75,551.75,-2.25,84,0
03/03/2020,548.5,558,548.5,554,3.25,44,1300
03/02/2020,548.25,553.5,545.5,550.75,-1.75,30,1291
02/28/2020,544.25,552.5,541.5,552.5,0,31,1283
02/27/2020,553.5,554,550,552.5,-5,54,1270
02/26/2020,555.75,558.5,553.5,557.5,-1.75,91,1258
02/25/2020,555.25,561.25,555.25,559.25,-1.75,13,1196
02/24/2020,563.25,564.5,556.75,561,-10,56,1195
02/21/2020,577.5,580.75,570.5,571,-7,86,1179
02/20/2020,575.75,578,575.75,578,-3,6,1131
02/19/2020,575.75,581,571,581,1.25,27,1127
02/18/2020,571.25,581.25,571.25,579.75,15.75,179,1111
02/14/2020,567,570.75,564,564,-4.25,32,1039
02/13/2020,570.25,571.25,565.75,568.25,-2,41,1039
02/12/2020,564,571,563.75,570.25,3,23,1046
02/11/2020,571.5,571.5,565,567.25,-3.75,24,1045
02/10/2020,567.5,572.5,566.75,571,1.25,26,1044
02/07/2020,564.5,570.75,563.75,569.75,2.75,10,1039
02/06/2020,570,572.5,567,567,-4.5,11,1031
02/05/2020,569.75,571.75,568,571.5,3,14,1023
02/04/2020,570.25,570.5,568,568.5,2.75,1,1015
02/03/2020,558.5,566,556.75,565.75,1,60,1016
01/31/2020,571.5,572.25,564,564.75,-5.25,21,991
01/30/2020,568,570,566.5,570,-3,4,987
01/29/2020,578,578,571,573,-3.75,40,983
01/28/2020,579.25,581.5,575.25,576.75,-4.5,30,960
01/27/2020,579.5,581.25,574,581.25,1.75,16,942
01/24/2020,578.75,581.5,576,579.5,-1.75,7,933
01/23/2020,579.5,581.5,577.25,581.25,0.25,21,928
01/22/2020,583.25,588.75,576.5,581,-5.25,67,917
01/21/2020,579.5,588.25,578.25,586.25,5.75,48,894
01/17/2020,579.5,581.25,577,580.5,0.75,12,879
01/16/2020,576.25,579.75,576.25,579.75,-4.25,17,870
01/15/2020,585,586.25,581.5,584,-1.5,150,862
01/14/2020,583,590,583,585.5,1,22,745
01/13/2020,582,584.5,580.25,584.5,0.75,60,736
01/10/2020,583.5,586.25,579.5,583.75,-1.25,70,704
01/09/2020,580.5,586.25,580.5,585,4.75,77,658
01/08/2020,574.75,580.5,574.75,580.25,0.75,95,625
01/07/2020,579.5,580.25,579,579.5,-1.5,39,574
01/06/2020,578.75,581,578.25,581,-1.75,3,554
01/03/2020,584.25,584.25,578.5,582.75,-2.5,26,552
01/02/2020,587,587,584,585.25,0.75,156,534
12/31/2019,582.5,584.5,582.5,584.5,3,1,440
12/30/2019,581.5,581.5,581.5,581.5,1.5,16,439
12/27/2019,583,583,580,580,3.5,5,433
12/26/2019,576.75,576.75,576.5,576.5,4,2,431
12/24/2019,572.5,572.5,572.5,572.5,0.25,0,429
12/23/2019,572.25,572.25,572.25,572.25,3.75,18,429
12/20/2019,567.5,568.5,564,568.5,-2.25,22,411
12/19/2019,576.25,576.75,570.75,570.75,-5.25,10,403
12/18/2019,576,576,576,576,0.5,3,398
12/17/2019,568.25,575.5,568.25,575.5,1,57,399
12/16/2019,571.75,577.25,571,574.5,4,30,374
12/13/2019,570.5,570.5,570.5,570.5,4,0,357
12/12/2019,568,569,565.75,566.5,7.75,22,357
12/11/2019,558.75,558.75,558.75,558.75,-3.25,6,347
12/10/2019,562,562,562,562,1,0,346
12/09/2019,560.5,561.5,560.5,561,0.5,7,346
12/06/2019,557.75,560.5,557.75,560.5,2.5,2,345
12/05/2019,560,560.5,556,558,0.25,4,345
12/04/2019,564.5,569.5,557.75,557.75,-1.5,18,346
12/03/2019,558.5,559.5,552.5,559.25,-2.75,39,346
12/02/2019,562.75,567,562,562,-4,11,325
11/29/2019,563.5,572,562.25,566,4.5,115,320
11/27/2019,562.5,563.5,561.5,561.5,-2.5,10,257
11/26/2019,562.75,564,559,564,-1.75,19,248
11/25/2019,566,566.25,564.5,565.75,5.5,20,236
11/22/2019,561.75,561.75,560.25,560.25,4.25,3,226
11/21/2019,558,558,556,556,-4,4,226
11/20/2019,560,560,560,560,1.25,0,222
11/19/2019,559.5,560.5,558.75,558.75,3.5,6,222
11/18/2019,550,555.25,549.5,555.25,2.75,5,216
11/15/2019,552.5,552.5,552,552.5,-1.75,3,216
11/14/2019,554.25,554.25,554.25,554.25,-1.5,0,216
11/13/2019,555.75,555.75,555.75,555.75,-7,0,216
11/12/2019,560.75,562.75,560.75,562.75,5.75,20,216
11/11/2019,557,557,557,557,-3.5,0,209
11/08/2019,560.5,560.5,560.5,560.5,-0.25,0,209
11/07/2019,560.75,560.75,560.75,560.75,-1.75,0,209
11/06/2019,562.5,562.5,562.5,562.5,-0.25,0,209
11/05/2019,562.75,562.75,562.75,562.75,3,0,209
11/04/2019,559.75,559.75,559.75,559.75,-4.25,0,209
11/01/2019,564,564,564,564,6.5,3,209
10/31/2019,557.5,558.5,555.5,557.5,-2.5,7,208
10/30/2019,559.75,560,559.75,560,-2.5,3,207
10/29/2019,559.25,562.5,559.25,562.5,-0.5,7,207
10/28/2019,563,563,563,563,0,0,209
10/25/2019,564,564,563,563,1,4,209
10/24/2019,563.5,563.5,560.25,562,-2.75,3,206
10/23/2019,562.75,564.75,562.75,564.75,0.5,1,208
10/22/2019,566,566.25,564.25,564.25,-2,13,209
10/21/2019,568,568.25,566.25,566.25,-5.75,10,202
