"Date","Open","High","Low","Close","Volume","OpenInt"
12/11/1998,598.00,598.00,598.00,598.00,1,1
12/14/1998,592.00,593.00,592.00,593.00,2,3
12/15/1998,594.00,594.00,594.00,594.00,0,3
12/16/1998,594.00,594.00,594.00,594.00,1,4
12/17/1998,587.00,587.00,587.00,587.00,0,4
12/18/1998,583.50,583.50,583.00,583.00,4,8
12/21/1998,584.00,584.00,580.00,583.00,3,11
12/22/1998,581.00,581.00,581.00,581.00,0,11
12/23/1998,580.00,580.00,580.00,580.00,0,11
12/24/1998,583.00,583.00,583.00,583.00,0,11
12/28/1998,575.00,575.00,575.00,575.00,8,19
12/29/1998,574.50,574.50,574.50,574.50,1,20
12/30/1998,572.00,572.00,572.00,572.00,0,20
12/31/1998,566.50,567.50,566.50,567.00,0,20
01/04/1999,576.00,576.00,576.00,576.00,0,20
01/05/1999,578.00,579.00,578.00,578.00,2,22
01/06/1999,580.00,584.00,580.00,583.50,19,32
01/07/1999,581.00,581.00,581.00,581.00,3,33
01/08/1999,583.50,586.00,583.50,586.00,13,35
01/11/1999,580.00,580.00,580.00,580.00,2,32
01/12/1999,568.00,568.00,567.50,567.50,5,37
01/13/1999,563.50,563.50,560.00,560.50,10,47
01/14/1999,561.00,561.00,561.00,561.00,0,47
01/15/1999,560.00,561.50,560.00,560.00,3,48
01/19/1999,554.00,554.50,554.00,554.50,20,67
01/20/1999,556.00,558.50,556.00,558.00,4,52
01/21/1999,561.00,561.00,561.00,561.00,1,53
01/22/1999,561.00,561.00,558.00,558.50,7,54
01/25/1999,550.00,550.00,548.00,550.00,10,59
01/26/1999,550.00,551.50,547.00,547.00,20,74
01/27/1999,547.00,548.00,544.00,544.00,24,91
01/28/1999,543.00,543.50,542.00,542.00,10,87
01/29/1999,543.00,546.00,543.00,543.00,33,135
02/01/1999,543.00,543.00,541.00,542.50,7,135
02/02/1999,545.00,547.50,544.00,547.50,114,236
02/03/1999,550.00,553.00,543.50,543.50,9,242
02/04/1999,541.50,545.00,541.50,545.00,7,246
02/05/1999,549.50,549.50,549.50,549.50,0,245
02/08/1999,550.50,550.50,545.50,545.50,3,248
02/09/1999,541.00,542.00,539.50,539.50,9,251
02/10/1999,540.00,540.00,535.00,537.00,3,251
02/11/1999,538.50,540.50,535.00,535.00,19,258
02/12/1999,534.00,535.50,532.50,532.50,13,265
02/16/1999,531.50,531.50,530.00,530.00,12,264
02/17/1999,526.00,530.00,526.00,530.00,9,274
02/18/1999,530.00,530.00,527.00,527.50,130,205
02/19/1999,523.00,523.00,522.00,522.00,13,200
02/22/1999,515.50,516.00,509.00,515.25,82,216
02/23/1999,517.00,519.00,517.00,517.00,29,226
02/24/1999,507.50,507.50,503.00,503.50,66,264
02/25/1999,501.00,504.50,501.00,502.50,8,265
02/26/1999,502.00,503.50,501.00,502.00,48,298
03/01/1999,504.00,508.00,503.00,506.75,10,298
03/02/1999,507.00,513.50,506.50,513.50,65,304
03/03/1999,511.00,512.50,511.00,511.50,3,304
03/04/1999,511.00,515.50,511.00,511.00,16,313
03/05/1999,503.50,507.00,502.00,507.00,24,320
03/08/1999,511.50,514.50,510.50,514.00,5,315
03/09/1999,515.00,518.00,512.50,514.00,18,327
03/10/1999,509.50,516.00,509.50,516.00,9,326
03/11/1999,513.00,517.00,513.00,517.00,8,338
03/12/1999,512.00,512.00,511.00,512.00,24,340
03/15/1999,508.00,509.50,508.00,509.50,2,338
03/16/1999,511.00,519.00,510.00,519.00,2,340
03/17/1999,521.00,528.50,521.00,521.00,172,489
03/18/1999,521.00,524.50,520.00,523.50,12,471
03/19/1999,523.50,529.50,523.50,529.50,21,472
03/22/1999,530.00,539.50,530.00,539.50,14,480
03/23/1999,534.50,537.00,533.00,534.00,36,504
03/24/1999,537.75,540.00,527.00,528.00,34,534
03/25/1999,525.50,537.00,525.50,537.00,31,557
03/26/1999,536.00,541.00,535.00,537.00,25,578
03/29/1999,532.00,535.50,530.00,535.50,26,587
03/30/1999,537.00,541.00,536.00,541.00,20,605
03/31/1999,543.00,543.00,526.00,526.00,15,586
04/01/1999,526.00,527.50,520.00,526.00,28,582
04/05/1999,527.00,529.00,525.00,526.00,38,617
04/06/1999,521.00,522.50,521.00,522.00,6,617
04/07/1999,516.50,523.00,516.00,523.00,8,624
04/08/1999,520.00,523.50,520.00,521.50,10,626
04/09/1999,523.00,523.00,522.00,523.00,4,627
04/12/1999,524.25,526.00,521.50,523.00,164,784
04/13/1999,523.75,526.50,523.75,526.50,7,785
04/14/1999,530.00,536.50,530.00,532.25,25,809
04/15/1999,533.75,534.50,532.50,534.50,1,808
04/16/1999,533.50,534.00,530.00,531.50,22,809
04/19/1999,531.00,532.50,529.25,532.25,6,812
04/20/1999,536.00,539.50,536.00,539.50,59,829
04/21/1999,536.50,538.50,535.00,538.50,82,892
04/22/1999,540.00,540.50,526.00,527.50,27,917
04/23/1999,527.50,529.50,525.00,529.50,3,898
04/26/1999,522.50,524.00,522.50,524.00,27,885
04/27/1999,525.00,525.50,521.00,521.75,88,947
04/28/1999,520.00,522.50,518.00,522.50,56,1003
04/29/1999,522.50,522.50,517.50,519.00,4,1001
04/30/1999,519.00,520.00,516.00,520.00,5,1002
05/03/1999,518.00,520.50,518.00,520.50,4,1005
05/04/1999,521.50,522.50,519.00,520.75,160,969
05/05/1999,517.00,518.00,515.00,517.50,5,970
05/06/1999,515.00,515.50,515.00,515.25,3,973
05/07/1999,513.50,513.50,508.50,509.50,168,1078
05/10/1999,509.00,511.00,507.00,511.00,2,1076
05/11/1999,508.50,510.50,508.50,510.50,4,1079
05/12/1999,508.00,511.50,507.50,508.50,214,1183
05/13/1999,506.00,506.00,503.50,503.50,62,1191
05/14/1999,501.00,503.00,499.50,501.50,20,1195
05/17/1999,501.50,503.00,501.50,502.75,3,1198
05/18/1999,499.50,505.50,496.50,505.50,6,1203
05/19/1999,504.00,505.00,500.50,500.50,68,1223
05/20/1999,500.50,501.00,497.50,499.75,54,1265
05/21/1999,495.00,497.00,493.50,493.75,30,1289
05/24/1999,489.50,489.50,482.50,487.50,161,1293
05/25/1999,486.00,490.50,486.00,490.50,44,1293
05/26/1999,488.50,490.00,486.00,486.50,154,1144
05/27/1999,486.00,487.50,485.50,487.25,12,1152
05/28/1999,492.00,496.00,491.50,491.75,50,1171
06/01/1999,484.00,487.50,483.50,487.50,40,1179
06/02/1999,487.25,487.50,483.00,487.25,66,1174
06/03/1999,491.50,497.00,490.00,494.00,130,1140
06/04/1999,494.00,496.00,492.50,492.50,36,1139
06/07/1999,500.00,502.00,498.00,499.00,64,1149
06/08/1999,495.50,501.00,495.50,499.50,69,1095
06/09/1999,498.00,504.00,494.25,499.75,347,1343
06/10/1999,499.00,499.00,495.50,495.75,57,1345
06/11/1999,496.00,498.00,493.00,497.50,28,1347
06/14/1999,491.75,498.00,491.00,498.00,14,1349
06/15/1999,494.50,495.50,488.50,489.50,119,1354
06/16/1999,490.50,490.50,486.00,488.00,169,1233
06/17/1999,492.00,492.00,487.00,487.50,186,1249
06/18/1999,495.50,500.00,493.50,499.75,53,1246
06/21/1999,495.00,497.00,492.50,496.50,57,1266
06/22/1999,495.50,496.00,491.50,492.00,55,1300
06/23/1999,491.50,493.00,487.50,488.50,27,1313
06/24/1999,481.00,481.50,475.00,480.00,361,1550
06/25/1999,480.50,480.50,475.50,477.25,92,1568
06/28/1999,476.00,478.50,472.00,472.75,96,1572
06/29/1999,479.00,479.50,474.00,474.00,254,1640
06/30/1999,478.50,479.75,474.00,479.50,133,1662
