"Date","Open","High","Low","Close","Volume","OpenInt"
01/28/1999,554.00,554.00,549.00,549.00,80,60
01/29/1999,550.00,550.00,550.00,550.00,1,10
02/01/1999,550.00,550.00,550.00,550.00,0,10
02/02/1999,555.00,555.00,555.00,555.00,0,10
02/03/1999,550.75,550.75,550.75,550.75,0,10
02/04/1999,552.00,552.00,552.00,552.00,0,10
02/05/1999,557.50,557.50,557.50,557.50,0,10
02/08/1999,553.50,553.50,553.50,553.50,0,10
02/09/1999,546.50,546.50,546.50,546.50,0,10
02/10/1999,547.00,547.00,544.00,545.00,1,11
02/11/1999,543.00,543.00,543.00,543.00,0,11
02/12/1999,540.00,540.00,540.00,540.00,0,11
02/16/1999,536.50,536.50,536.50,536.50,0,11
02/17/1999,537.00,537.00,537.00,537.00,0,11
02/18/1999,535.50,535.50,535.50,535.50,160,171
02/19/1999,529.00,529.00,529.00,529.00,0,171
02/22/1999,521.00,521.00,521.00,521.00,0,171
02/23/1999,525.00,525.00,524.00,524.00,3,171
02/24/1999,515.00,516.00,514.00,514.00,8,171
02/25/1999,513.00,513.00,512.00,512.00,3,171
02/26/1999,512.00,512.00,510.50,511.50,8,172
03/01/1999,515.00,515.00,515.00,515.00,5,171
03/02/1999,520.00,520.00,520.00,520.00,0,171
03/03/1999,520.00,520.00,520.00,520.00,1,170
03/04/1999,519.00,523.00,518.00,518.00,231,384
03/05/1999,510.00,514.75,510.00,514.75,13,193
03/08/1999,517.50,522.00,517.50,521.50,2,195
03/09/1999,520.00,520.00,520.00,520.00,2,197
03/10/1999,519.00,524.00,519.00,524.00,1,198
03/11/1999,524.00,524.50,521.00,524.50,3,198
03/12/1999,520.00,521.00,520.00,520.50,0,198
03/15/1999,516.00,517.50,516.00,517.50,18,215
03/16/1999,520.00,526.50,519.00,526.50,67,224
03/17/1999,527.50,535.00,527.50,528.00,19,235
03/18/1999,531.00,531.00,531.00,531.00,0,235
03/19/1999,533.00,536.00,532.50,536.00,35,260
03/22/1999,541.50,547.00,541.50,547.00,21,265
03/23/1999,542.00,542.00,541.00,542.00,11,255
03/24/1999,546.00,547.00,534.00,535.00,3,255
03/25/1999,545.00,545.00,545.00,545.00,0,255
03/26/1999,541.00,548.00,541.00,545.50,2,256
03/29/1999,542.50,542.50,542.50,542.50,0,256
03/30/1999,546.00,549.50,543.50,549.50,5,261
03/31/1999,547.00,547.00,534.00,534.00,3,261
04/01/1999,532.50,534.00,527.00,534.00,2,264
04/05/1999,532.00,535.00,532.00,533.75,1,263
04/06/1999,529.50,529.50,529.50,529.50,0,263
04/07/1999,525.50,530.50,525.50,530.50,15,266
