"Date","Open","High","Low","Close","Volume","OpenInt"
01/03/2000,489.50,489.50,480.00,480.50,28,678
01/04/2000,483.50,486.00,482.00,486.00,58,654
01/05/2000,487.00,491.75,487.00,491.50,115,708
01/06/2000,494.00,497.00,491.00,492.00,20,715
01/07/2000,490.50,497.00,490.50,495.25,214,916
01/10/2000,491.00,494.00,490.50,491.00,34,944
01/11/2000,494.00,497.00,490.00,493.00,22,959
01/12/2000,502.00,504.00,498.00,498.00,21,977
01/13/2000,499.00,509.50,499.00,507.50,48,993
01/14/2000,507.50,516.00,507.50,512.50,116,1002
01/18/2000,513.00,522.00,512.50,521.00,28,1011
01/19/2000,521.00,524.00,519.00,520.00,95,1083
01/20/2000,522.00,527.00,519.00,525.50,944,1531
01/21/2000,527.00,527.00,523.50,526.00,485,1860
01/24/2000,531.50,534.50,530.50,532.75,96,1877
01/25/2000,532.50,538.00,532.00,537.00,584,2010
01/26/2000,535.00,536.00,532.00,532.50,519,2226
01/27/2000,529.00,547.50,529.00,547.00,402,2439
01/28/2000,546.00,548.50,542.00,542.50,672,3058
01/31/2000,534.00,535.50,526.50,528.50,320,2936
02/01/2000,529.00,532.00,524.50,532.00,246,2983
02/02/2000,529.00,532.00,527.00,527.50,160,3033
02/03/2000,522.50,524.00,518.00,520.50,165,3037
02/04/2000,517.50,526.00,516.00,525.00,312,3254
02/07/2000,528.00,531.00,527.00,527.25,82,3280
02/08/2000,523.00,527.00,521.50,522.00,40,3294
02/09/2000,520.00,525.50,519.00,525.25,127,3266
02/10/2000,527.25,534.00,525.00,533.75,75,3268
02/11/2000,534.50,534.50,527.00,527.50,60,3292
02/14/2000,529.50,531.50,527.00,527.25,43,3312
02/15/2000,525.00,531.00,524.50,529.50,60,3312
02/16/2000,531.00,532.50,525.50,528.25,30,3318
02/17/2000,527.50,531.00,527.00,528.50,15,3320
02/18/2000,530.00,536.50,530.00,535.50,100,3382
02/22/2000,538.00,539.00,533.00,533.00,549,3816
02/23/2000,530.50,531.00,518.00,518.00,211,3972
02/24/2000,517.00,524.50,516.00,523.75,79,4011
02/25/2000,522.00,522.00,510.00,514.00,139,4100
02/28/2000,514.50,518.50,514.50,515.00,24,4111
02/29/2000,518.00,523.50,518.00,522.00,55,4121
03/01/2000,520.50,525.50,518.00,518.00,68,4131
03/02/2000,516.00,521.00,514.50,520.00,92,4151
03/03/2000,521.00,527.00,521.00,523.75,143,4201
03/06/2000,524.50,528.00,523.50,527.00,503,4340
03/07/2000,528.00,531.50,522.00,522.25,248,4450
03/08/2000,524.50,530.00,524.50,528.00,241,4339
03/09/2000,532.00,532.50,528.00,528.25,214,4417
03/10/2000,531.50,531.50,521.00,521.00,235,4575
03/13/2000,526.75,535.50,526.00,534.50,176,4629
03/14/2000,535.50,544.00,535.00,542.50,241,4619
03/15/2000,541.50,544.00,539.00,539.00,1035,4618
03/16/2000,538.50,549.00,537.50,538.50,811,4682
03/17/2000,547.50,552.00,546.50,551.25,516,4952
03/20/2000,540.00,544.50,539.00,540.75,478,4902
03/21/2000,542.00,543.50,538.00,541.75,537,4863
03/22/2000,544.50,546.50,543.00,546.00,883,4690
03/23/2000,543.00,544.00,537.75,538.00,312,4620
03/24/2000,545.00,548.50,544.50,546.50,296,4640
03/27/2000,550.00,551.50,544.50,546.50,286,4705
03/28/2000,545.00,545.00,541.00,541.00,344,4618
03/29/2000,542.25,544.50,539.00,544.50,371,4687
03/30/2000,548.00,553.00,548.00,552.50,663,4756
03/31/2000,556.00,562.50,556.00,562.00,491,4758
04/03/2000,567.00,571.50,563.50,563.75,695,4725
04/04/2000,563.75,564.00,550.00,555.75,401,4772
04/05/2000,557.00,561.50,554.25,561.50,245,4808
04/06/2000,553.00,555.00,548.00,548.25,796,4758
04/07/2000,545.00,557.50,544.00,556.25,286,4884
04/10/2000,549.50,551.50,548.50,549.25,145,4900
04/11/2000,547.50,552.50,544.50,544.50,483,5262
04/12/2000,549.00,556.00,548.00,555.50,934,5518
04/13/2000,556.50,558.50,553.00,556.00,889,5518
04/14/2000,559.50,561.00,550.00,550.25,461,5666
