"Date","Open","High","Low","Close","Volume","OpenInt"
01/03/2000,495.00,496.00,485.50,486.50,375,10278
01/04/2000,489.00,495.50,487.00,492.50,818,10531
01/05/2000,493.00,499.50,492.00,498.75,635,10672
01/06/2000,499.00,503.00,497.50,498.00,728,10665
01/07/2000,497.00,502.75,496.50,502.00,431,10812
01/10/2000,497.00,500.50,496.00,497.50,1025,11316
01/11/2000,499.00,504.50,497.00,499.75,2129,12350
01/12/2000,509.00,510.50,504.50,505.50,1361,12410
01/13/2000,505.00,517.50,505.00,515.00,1750,12566
01/14/2000,514.00,524.50,514.00,521.75,2436,13355
01/18/2000,515.00,529.50,515.00,527.75,2054,13920
01/19/2000,525.50,531.00,525.00,528.75,1628,14208
01/20/2000,528.00,535.00,526.25,533.75,2214,14668
01/21/2000,534.00,535.50,529.50,533.50,1377,15062
01/24/2000,538.00,541.00,536.50,539.75,2227,15441
01/25/2000,539.00,543.50,538.00,543.25,1914,15604
01/26/2000,541.00,542.00,537.50,539.25,1978,15775
01/27/2000,535.50,553.50,535.00,552.75,4521,16627
01/28/2000,550.50,554.50,548.00,549.50,3581,17548
01/31/2000,539.50,541.50,532.00,534.50,3510,17492
02/01/2000,538.00,538.00,530.50,537.00,1849,17457
02/02/2000,536.00,539.50,532.50,534.00,2455,17761
02/03/2000,531.00,531.00,524.00,526.75,2966,18195
02/04/2000,523.00,532.00,521.25,531.50,4136,19019
02/07/2000,535.00,538.00,532.25,534.25,1992,19063
02/08/2000,529.50,533.00,527.50,529.25,2083,19337
02/09/2000,527.00,532.50,526.25,532.00,730,19374
02/10/2000,534.50,541.00,531.00,540.25,1383,19686
02/11/2000,540.00,541.00,533.00,534.50,2683,19659
02/14/2000,535.00,538.50,532.50,533.50,1490,19540
02/15/2000,530.00,538.00,529.50,535.50,1397,19697
02/16/2000,537.00,538.00,531.00,535.25,1191,19707
02/17/2000,536.00,536.50,532.00,535.25,1206,19955
02/18/2000,536.00,543.00,535.00,541.50,2535,20303
02/22/2000,543.50,545.50,538.50,539.25,1997,20617
