"Date","Open","High","Low","Close","Volume","OpenInt"
11/15/2000,514.00,518.00,514.00,518.00,2,0
11/16/2000,515.00,515.00,515.00,515.00,0,0
11/17/2000,526.00,526.00,526.00,526.00,0,0
11/20/2000,527.00,527.00,527.00,527.00,0,0
11/21/2000,526.00,526.00,525.50,525.50,1,1
11/22/2000,529.75,529.75,529.75,529.75,0,1
11/24/2000,535.00,538.00,535.00,538.00,2,3
11/27/2000,535.00,535.00,535.00,535.00,0,3
11/28/2000,532.00,537.00,532.00,537.00,5,8
11/29/2000,535.50,535.50,535.50,535.50,1,8
11/30/2000,536.00,536.00,536.00,536.00,1,9
12/01/2000,537.00,537.00,537.00,537.00,1,9
12/04/2000,537.50,537.50,534.00,534.00,1,9
12/05/2000,532.00,532.00,532.00,532.00,1,9
12/06/2000,536.00,536.00,536.00,536.00,1,9
12/07/2000,537.50,537.50,531.50,531.50,7,16
12/08/2000,532.50,537.50,532.50,537.50,11,24
12/11/2000,537.00,537.00,534.50,534.50,1,29
12/12/2000,531.00,531.00,531.00,531.00,0,29
12/13/2000,531.00,531.00,531.00,531.00,0,29
12/14/2000,530.00,530.00,530.00,530.00,0,29
12/15/2000,532.50,532.50,532.50,532.50,0,29
12/18/2000,537.00,537.00,536.00,536.50,9,33
12/19/2000,535.00,536.00,535.00,536.00,1,32
12/20/2000,533.50,533.50,533.50,533.50,0,32
12/21/2000,534.50,534.50,534.50,534.50,1,33
12/22/2000,534.00,534.00,532.00,532.00,1,33
12/26/2000,533.00,534.00,532.50,532.50,4,33
12/27/2000,527.00,527.00,526.00,527.00,7,37
12/28/2000,527.00,527.00,523.50,523.50,5,37
12/29/2000,524.50,526.00,524.00,525.50,3,35
01/02/2001,521.50,521.50,521.50,521.50,1,35
01/03/2001,520.00,522.50,518.00,522.50,9,38
01/04/2001,518.00,518.00,518.00,518.00,0,38
01/05/2001,516.00,516.50,514.00,515.00,3,41
01/08/2001,512.00,516.00,512.00,516.00,20,57
01/09/2001,518.00,520.50,518.00,519.50,5,60
01/10/2001,519.00,519.00,515.50,516.00,3,61
01/11/2001,511.00,511.00,505.00,505.00,5,61
01/12/2001,505.00,505.00,499.00,501.50,170,209
01/16/2001,500.50,500.50,495.00,495.00,121,249
01/17/2001,493.50,496.00,492.50,493.00,57,246
01/18/2001,496.00,497.00,496.00,496.00,37,266
01/19/2001,496.00,496.00,489.50,489.50,135,332
01/22/2001,489.00,497.00,489.00,496.50,8,337
01/23/2001,491.00,491.00,488.50,488.50,4,341
01/24/2001,489.00,492.00,489.00,491.50,21,353
01/25/2001,489.00,489.00,489.00,489.00,1,353
