"Date","Open","High","Low","Close","Volume","OpenInt"
01/16/2001,522.00,522.00,519.00,519.00,49,21
01/17/2001,516.00,516.00,516.00,516.00,0,21
01/18/2001,517.50,517.50,517.50,517.50,0,21
01/19/2001,518.00,518.00,512.00,512.00,1,21
01/22/2001,518.00,518.00,518.00,518.00,0,21
01/23/2001,510.00,510.00,510.00,510.00,0,21
01/24/2001,513.50,513.50,513.50,513.50,0,21
01/25/2001,512.50,514.00,511.50,511.50,2,21
01/26/2001,504.00,504.00,504.00,504.00,0,21
01/29/2001,502.00,502.00,502.00,502.00,0,21
01/30/2001,505.00,505.00,505.00,505.00,2,21
01/31/2001,508.00,508.00,508.00,508.00,0,21
02/01/2001,513.00,513.00,513.00,513.00,0,21
02/02/2001,516.50,516.50,516.50,516.50,0,21
02/05/2001,513.00,513.00,513.00,513.00,0,21
02/06/2001,516.50,516.50,516.50,516.50,0,21
02/07/2001,513.00,513.00,513.00,513.00,0,21
02/08/2001,505.00,505.00,502.00,502.00,8,21
02/09/2001,503.00,503.00,501.00,503.00,11,25
02/12/2001,500.50,500.50,500.50,500.50,1,25
02/13/2001,501.50,501.50,499.00,499.00,3,25
02/14/2001,502.00,502.00,499.00,500.00,1,26
02/15/2001,498.00,498.00,498.00,498.00,0,26
02/16/2001,496.00,499.00,496.00,499.00,10,26
02/20/2001,505.00,505.00,499.00,501.00,14,40
02/21/2001,501.00,504.00,501.00,502.00,20,48
02/22/2001,498.00,498.00,498.00,498.00,0,48
02/23/2001,490.00,492.50,490.00,490.00,21,61
02/26/2001,489.00,489.00,489.00,489.00,1,61
02/27/2001,495.00,495.00,495.00,495.00,1,62
02/28/2001,502.50,502.50,502.50,502.50,1,62
03/01/2001,503.50,508.00,503.50,506.00,2,62
03/02/2001,504.00,504.00,504.00,504.00,26,87
03/05/2001,505.00,506.50,505.00,505.00,5,89
03/06/2001,505.00,512.00,505.00,512.00,28,101
03/07/2001,510.00,510.00,506.00,508.00,16,112
03/08/2001,507.00,507.00,504.00,504.00,30,131
03/09/2001,503.00,503.00,501.50,501.50,85,181
03/12/2001,501.50,501.50,501.00,501.00,2,181
03/13/2001,500.50,500.50,497.50,497.50,28,184
03/14/2001,485.00,485.00,485.00,485.00,0,184
03/15/2001,487.00,487.00,481.00,484.00,50,184
03/16/2001,482.00,482.00,482.00,482.00,0,184
03/19/2001,483.00,484.00,481.00,482.00,2,184
03/20/2001,485.00,487.00,485.00,487.00,18,174
03/21/2001,486.00,486.00,481.00,483.00,56,202
03/22/2001,478.00,478.00,474.50,474.50,10,204
03/23/2001,473.50,473.50,473.50,473.50,0,204
03/26/2001,478.50,479.00,477.00,478.50,14,208
03/27/2001,480.00,480.00,479.00,480.00,7,204
03/28/2001,477.00,477.00,477.00,477.00,0,204
03/29/2001,475.00,475.00,471.00,471.00,20,224
03/30/2001,470.00,471.00,460.00,460.00,33,256
04/02/2001,468.00,468.00,468.00,468.00,0,256
04/03/2001,468.00,471.00,464.50,467.50,53,271
04/04/2001,474.00,474.00,474.00,474.00,0,261
04/05/2001,472.00,473.50,472.00,473.50,15,276
04/06/2001,474.00,474.00,470.50,470.50,2,278
04/09/2001,475.00,475.00,475.00,475.00,0,280
04/10/2001,470.00,470.00,469.00,469.00,2,282
04/11/2001,472.00,472.00,472.00,472.00,5,287
04/12/2001,471.00,471.00,471.00,471.00,0,282
04/16/2001,471.00,471.00,467.00,467.00,1,283
04/17/2001,464.00,464.50,464.00,464.50,25,300
04/18/2001,462.00,464.00,462.00,464.00,2,302
04/19/2001,462.50,462.50,455.00,455.00,20,307
04/20/2001,459.00,459.00,456.00,456.00,1,307
04/23/2001,455.00,455.00,453.00,453.00,6,313
04/24/2001,454.00,455.50,452.00,455.50,25,338
04/25/2001,457.50,457.50,454.00,454.00,2,340
04/26/2001,462.00,463.00,462.00,463.00,2,342
04/27/2001,462.00,462.00,458.50,458.50,2,344
04/30/2001,467.00,467.00,467.00,467.00,0,344
05/01/2001,465.50,465.50,465.50,465.50,0,344
05/02/2001,467.00,467.00,467.00,467.00,10,354
05/03/2001,467.00,467.00,461.50,461.50,5,354
05/04/2001,469.00,469.00,468.50,468.50,8,357
05/07/2001,468.00,468.00,462.00,462.00,3,359
05/08/2001,463.50,463.50,463.50,463.50,0,359
05/09/2001,468.00,468.00,463.00,463.00,8,367
05/10/2001,463.00,463.00,456.00,456.00,14,377
05/11/2001,460.00,460.00,456.50,456.50,3,379
05/14/2001,470.00,470.00,464.50,464.50,12,391
05/15/2001,464.50,464.50,461.50,462.50,10,398
05/16/2001,467.00,467.00,466.00,466.00,21,398
05/17/2001,466.00,470.50,466.00,469.50,83,411
05/18/2001,468.00,471.00,468.00,470.00,41,415
05/21/2001,469.00,469.00,464.00,464.00,9,415
05/22/2001,463.50,463.50,463.50,463.50,0,415
05/23/2001,466.00,466.00,460.00,460.00,80,493
05/24/2001,464.50,464.50,461.50,461.50,105,556
05/25/2001,462.50,462.50,458.50,458.50,13,566
05/29/2001,456.00,456.00,453.50,453.75,65,573
05/30/2001,452.25,452.25,450.50,450.50,2,573
05/31/2001,452.50,460.00,452.00,460.00,133,657
06/01/2001,466.50,466.50,462.50,463.50,285,767
06/04/2001,460.50,464.50,460.00,464.50,148,795
06/05/2001,471.50,471.50,463.50,463.50,24,816
06/06/2001,466.50,469.00,465.50,467.75,114,800
06/07/2001,468.00,472.00,468.00,470.50,208,847
06/08/2001,469.50,473.00,469.50,473.00,35,855
06/11/2001,475.00,478.50,472.50,478.50,54,889
06/12/2001,478.00,482.00,478.00,481.75,21,900
06/13/2001,481.00,481.50,476.00,478.00,73,930
06/14/2001,478.00,478.00,475.00,476.25,334,1035
06/15/2001,473.00,473.00,461.50,462.75,166,1079
06/18/2001,467.50,468.00,465.50,468.00,119,1135
06/19/2001,470.00,472.00,466.00,471.50,173,1152
06/20/2001,473.50,473.50,467.00,467.00,70,1182
06/21/2001,464.00,464.00,462.00,462.00,30,1212
06/22/2001,462.50,462.50,457.00,457.00,61,1258
06/25/2001,455.50,455.50,452.00,452.50,441,1503
06/26/2001,456.00,463.00,456.00,462.75,366,1677
06/27/2001,466.50,469.50,466.50,468.00,338,1848
06/28/2001,465.00,467.00,465.00,465.00,426,1792
06/29/2001,488.00,489.00,478.00,482.50,651,1976
07/02/2001,481.50,492.00,481.50,492.00,592,2122
07/03/2001,490.00,497.00,490.00,494.00,742,2398
07/05/2001,494.00,497.00,492.00,494.25,176,2479
07/06/2001,497.00,497.00,491.00,491.00,485,2435
07/09/2001,493.00,504.00,493.00,502.25,939,2986
07/10/2001,507.50,515.00,506.50,508.00,600,3066
07/11/2001,519.00,526.00,511.00,511.00,1272,3563
07/12/2001,524.00,526.00,518.00,523.50,3156,5329
07/13/2001,522.00,525.00,519.00,523.25,1448,5460
07/16/2001,518.00,520.50,506.50,511.50,797,5507
07/17/2001,536.00,536.00,517.00,518.00,1517,6043
07/18/2001,511.00,516.50,511.00,511.50,1080,6123
07/19/2001,510.00,514.00,508.00,511.50,979,6273
07/20/2001,502.00,505.00,492.00,493.00,995,6221
07/23/2001,493.50,502.00,491.00,502.00,469,6489
07/24/2001,504.00,505.00,499.00,499.00,240,6570
07/25/2001,505.25,506.50,502.25,506.25,701,6720
07/26/2001,512.00,516.00,505.00,505.50,700,6939
07/27/2001,511.00,515.00,509.50,513.25,960,6858
07/30/2001,512.00,512.50,507.00,508.50,496,6973
07/31/2001,510.00,516.00,503.00,515.50,641,6910
08/01/2001,516.00,516.00,509.00,509.50,558,7066
08/02/2001,514.00,514.00,495.00,498.00,624,7363
08/03/2001,495.50,495.50,488.00,488.75,1527,7785
08/06/2001,491.75,498.00,488.00,497.50,566,8007
08/07/2001,504.50,508.00,502.00,504.50,478,8092
08/08/2001,508.00,511.00,506.00,506.00,1010,8060
08/09/2001,507.50,512.00,506.00,508.75,752,8184
08/10/2001,516.00,520.00,511.50,513.25,1493,8593
08/13/2001,515.50,519.00,513.50,518.50,928,8995
08/14/2001,513.00,516.00,511.00,512.50,503,9061
08/15/2001,511.50,518.00,507.00,516.00,1185,9339
08/16/2001,513.50,515.00,499.50,504.50,1197,9188
08/17/2001,508.00,510.50,505.00,509.75,1624,9383
08/20/2001,498.00,499.00,494.50,496.50,650,9444
08/21/2001,496.50,503.50,495.50,503.25,1015,9535
08/22/2001,500.00,503.50,496.50,498.50,508,9483
08/23/2001,492.00,494.00,485.50,494.00,976,9258
08/24/2001,489.50,497.00,489.50,491.00,845,9334
08/27/2001,489.00,496.00,488.00,495.75,897,9566
08/28/2001,500.50,500.50,492.50,495.00,1130,9896
08/29/2001,494.00,500.50,494.00,500.00,1375,10080
08/30/2001,495.50,501.50,494.50,497.00,1063,10403
08/31/2001,497.00,502.50,497.00,502.00,1171,10485
09/04/2001,499.00,500.50,495.50,498.00,597,10561
09/05/2001,497.50,500.00,492.50,493.75,753,10691
09/06/2001,488.00,490.00,485.50,486.25,1185,11202
09/07/2001,489.00,489.00,484.50,485.00,1132,11532
09/10/2001,484.00,487.00,482.00,486.75,1025,12033
09/13/2001,484.50,497.50,483.50,496.00,1784,12581
09/14/2001,492.50,493.50,488.50,488.75,470,12878
09/17/2001,486.00,496.50,486.00,493.25,451,13016
09/18/2001,493.50,494.00,487.50,488.50,625,13201
09/19/2001,488.50,489.50,481.00,484.50,818,13418
09/20/2001,484.50,489.50,484.00,489.00,557,13558
09/21/2001,489.00,489.50,482.00,487.25,895,13477
09/24/2001,489.50,491.00,487.00,488.25,798,13638
09/25/2001,488.50,493.50,485.50,486.25,1633,13963
09/26/2001,486.50,489.75,484.00,488.75,1452,14331
09/27/2001,489.50,490.00,484.00,484.75,957,14702
09/28/2001,482.00,482.50,475.50,475.75,1254,15014
10/01/2001,475.00,478.00,474.00,474.75,632,15092
10/02/2001,476.00,478.00,474.00,474.75,1001,15148
10/03/2001,472.00,475.00,471.50,472.25,1181,15307
10/04/2001,472.50,476.00,470.00,471.25,1145,15390
10/05/2001,470.50,472.50,470.00,471.25,821,15538
10/08/2001,472.50,477.50,470.50,474.50,575,15658
10/09/2001,475.00,475.00,472.00,472.75,949,15962
10/10/2001,473.00,473.50,467.00,468.50,1888,15954
10/11/2001,468.50,470.50,465.50,466.00,1438,16229
10/12/2001,456.00,457.00,451.50,453.75,4559,17217
10/15/2001,454.50,454.50,445.00,446.00,3539,18031
10/16/2001,446.50,449.00,445.25,447.50,1927,18615
