"Date","Open","High","Low","Close","Volume","OpenInt"
06/11/2001,472.00,472.00,470.00,472.00,2,1
06/12/2001,481.00,481.00,481.00,481.00,0,1
06/13/2001,477.00,477.00,477.00,477.00,0,1
06/14/2001,476.00,476.00,476.00,476.00,0,1
06/15/2001,462.00,462.00,462.00,462.00,0,1
06/18/2001,467.00,467.00,467.00,467.00,0,1
06/19/2001,471.00,471.00,471.00,471.00,0,1
06/20/2001,467.00,467.00,467.00,467.00,0,1
06/21/2001,462.00,462.00,462.00,462.00,0,1
06/22/2001,458.00,458.00,458.00,458.00,0,1
06/25/2001,453.00,453.00,453.00,453.00,0,1
06/26/2001,462.00,462.00,462.00,462.00,0,1
06/27/2001,468.00,468.00,468.00,468.00,0,1
06/28/2001,465.00,465.00,465.00,465.00,0,1
06/29/2001,482.00,482.00,482.00,482.00,0,1
07/02/2001,492.00,492.00,492.00,492.00,22,23
07/03/2001,494.00,494.00,494.00,494.00,0,1
07/05/2001,494.50,494.50,494.50,494.50,0,1
07/06/2001,491.00,491.00,491.00,491.00,0,1
07/09/2001,503.00,503.00,503.00,503.00,0,1
07/10/2001,508.00,508.00,508.00,508.00,0,1
07/11/2001,518.00,518.00,511.00,511.00,8,8
07/12/2001,523.50,523.50,523.50,523.50,1,1
07/13/2001,523.00,523.00,523.00,523.00,0,1
07/16/2001,511.00,511.00,511.00,511.00,0,1
07/17/2001,530.00,530.00,517.00,518.00,7,6
07/18/2001,508.00,508.00,508.00,508.00,1,3
07/19/2001,508.00,508.00,508.00,508.00,0,3
07/20/2001,490.00,490.00,490.00,490.00,0,3
07/23/2001,498.00,498.00,498.00,498.00,0,3
07/24/2001,499.00,499.00,497.00,497.00,1,4
07/25/2001,503.00,503.00,503.00,503.00,0,4
07/26/2001,510.50,510.50,502.00,502.00,3,7
07/27/2001,512.00,513.00,509.00,509.00,49,48
07/30/2001,510.00,510.00,506.00,506.00,13,53
07/31/2001,512.00,512.00,512.00,512.00,0,53
08/01/2001,512.00,512.00,507.00,507.00,1,53
08/02/2001,498.00,498.00,498.00,498.00,2,55
08/03/2001,494.00,494.00,487.00,487.00,3,58
08/06/2001,494.00,494.00,494.00,494.00,2,60
08/07/2001,501.50,501.50,501.50,501.50,1,58
08/08/2001,503.00,503.00,503.00,503.00,0,58
08/09/2001,505.50,505.50,505.50,505.50,0,58
08/10/2001,511.50,511.50,511.50,511.50,0,58
08/13/2001,514.00,514.00,514.00,514.00,1,59
08/14/2001,509.00,509.00,509.00,509.00,0,59
08/15/2001,509.00,511.00,509.00,511.00,1,60
08/16/2001,501.25,501.25,501.25,501.25,1,60
08/17/2001,506.00,506.00,506.00,506.00,1,60
08/20/2001,492.00,492.00,492.00,492.00,1,60
08/21/2001,498.00,498.00,498.00,498.00,1,60
08/22/2001,495.00,495.00,495.00,495.00,1,60
08/23/2001,492.00,492.00,490.00,490.00,2,62
08/24/2001,488.25,488.25,488.25,488.25,1,62
08/27/2001,491.00,491.00,491.00,491.00,1,62
08/28/2001,492.00,492.00,492.00,492.00,1,62
08/29/2001,494.00,496.00,494.00,496.00,5,62
08/30/2001,494.00,494.00,494.00,494.00,1,62
08/31/2001,500.00,500.00,500.00,500.00,1,65
09/04/2001,495.00,495.00,495.00,495.00,1,62
09/05/2001,490.00,490.00,490.00,490.00,1,62
09/06/2001,482.00,482.00,482.00,482.00,25,87
09/07/2001,487.00,487.00,483.00,483.00,49,125
09/10/2001,484.00,487.00,483.00,487.00,123,168
09/13/2001,489.00,497.00,489.00,495.00,65,202
09/14/2001,490.00,492.00,489.00,489.00,21,203
09/17/2001,495.00,495.00,492.50,492.50,114,259
09/18/2001,493.50,493.50,488.00,488.00,162,340
09/19/2001,487.00,487.00,482.50,483.50,208,425
09/20/2001,488.00,488.00,488.00,488.00,1,425
09/21/2001,488.00,488.00,483.50,487.00,3,428
09/24/2001,488.00,489.50,487.50,488.50,6,429
09/25/2001,492.50,492.50,487.00,487.00,8,435
09/26/2001,484.50,487.00,484.50,487.00,121,520
09/27/2001,485.00,485.50,485.00,485.00,1,520
09/28/2001,479.00,479.00,476.00,476.00,57,516
10/01/2001,477.50,477.50,475.00,475.00,3,516
10/02/2001,477.00,477.50,475.00,475.00,4,516
10/03/2001,474.50,474.50,472.00,472.00,10,521
10/04/2001,470.50,474.50,470.00,470.50,19,533
10/05/2001,471.00,472.00,470.00,470.00,9,534
10/08/2001,477.00,477.00,475.00,475.00,1,534
10/09/2001,473.00,473.00,473.00,473.00,0,534
10/10/2001,472.00,472.50,468.00,468.00,11,536
10/11/2001,469.00,469.00,466.50,466.50,19,540
10/12/2001,457.00,457.00,451.50,453.50,266,641
10/15/2001,454.50,455.00,445.00,445.50,217,567
10/16/2001,446.00,448.00,446.00,447.25,55,583
10/17/2001,448.00,449.00,444.50,449.00,8,591
10/18/2001,452.50,452.50,447.00,447.00,282,723
10/19/2001,445.00,445.00,445.00,445.00,3,716
10/22/2001,443.00,445.50,442.25,442.25,56,758
10/23/2001,445.50,445.50,445.00,445.00,107,763
10/24/2001,447.50,449.00,447.50,448.00,41,791
10/25/2001,450.50,451.00,449.00,450.50,93,874
10/26/2001,449.50,450.50,446.00,447.00,89,901
10/29/2001,448.00,449.50,448.00,448.00,65,949
10/30/2001,451.00,456.00,450.50,455.00,186,1118
10/31/2001,455.00,456.00,450.00,450.50,20,1129
11/01/2001,452.00,454.00,451.00,454.00,13,1136
11/02/2001,455.50,456.00,451.50,451.50,47,1162
11/05/2001,452.50,455.00,452.50,453.75,41,1196
11/06/2001,455.00,455.00,448.00,448.00,62,1252
11/07/2001,455.00,455.00,452.50,453.00,67,1233
11/08/2001,454.00,454.00,450.00,450.00,192,1313
11/09/2001,451.00,457.50,451.00,456.50,11,1317
11/12/2001,457.50,461.50,457.50,459.75,31,1296
11/13/2001,459.00,460.50,458.00,458.00,18,1290
11/14/2001,462.50,462.50,460.25,460.25,97,1383
11/15/2001,457.00,457.25,456.25,457.00,125,1273
11/16/2001,456.00,462.00,456.00,461.00,4,1272
11/19/2001,465.50,465.50,461.50,461.50,27,1297
11/20/2001,461.00,461.00,461.00,461.00,10,1307
11/21/2001,463.00,463.00,461.00,461.00,3,1307
11/23/2001,465.00,465.00,463.00,463.00,1,1306
11/26/2001,461.50,461.50,451.25,451.25,86,1360
11/27/2001,451.50,451.50,448.00,451.00,18,1368
11/28/2001,450.50,453.00,444.50,444.50,259,1600
11/29/2001,448.50,448.50,445.00,445.75,11,1611
11/30/2001,458.00,459.50,456.75,456.75,6,1614
12/03/2001,460.00,461.00,457.00,460.50,58,1633
12/04/2001,461.50,461.50,456.00,456.50,83,1657
12/05/2001,456.50,456.50,452.50,453.50,98,1668
12/06/2001,456.00,456.00,452.25,452.25,32,1680
12/07/2001,455.00,456.00,455.00,455.00,76,1683
12/10/2001,456.50,456.50,453.50,454.00,126,1717
12/11/2001,455.00,455.00,447.75,449.50,126,1840
12/12/2001,445.50,445.50,445.25,445.25,21,1839
12/13/2001,446.00,449.00,445.50,446.50,19,1857
12/14/2001,448.00,449.00,447.00,447.00,9,1866
12/17/2001,449.00,450.00,447.50,447.50,4,1869
12/18/2001,448.00,448.00,441.75,441.75,35,1901
12/19/2001,445.00,445.00,443.00,443.75,104,1882
12/20/2001,443.75,445.50,442.00,442.25,28,1925
12/21/2001,443.00,443.00,441.00,441.00,10,1924
12/26/2001,438.00,438.00,436.25,436.50,27,1942
12/27/2001,437.00,439.00,437.00,437.50,101,1992
12/28/2001,436.00,436.75,434.00,434.00,185,2054
12/31/2001,434.00,434.00,430.00,432.00,88,2098
01/02/2002,433.50,433.50,425.00,426.25,208,2229
01/03/2002,428.00,431.00,428.00,431.00,27,2234
01/04/2002,432.50,434.00,432.00,432.00,31,2233
01/07/2002,438.00,444.00,438.00,440.00,125,2132
01/08/2002,444.50,445.00,441.50,443.25,173,2187
01/09/2002,445.00,449.50,445.00,448.75,162,2139
01/10/2002,446.00,446.00,440.50,440.75,156,2226
01/11/2002,450.00,452.00,446.00,450.25,218,2214
01/14/2002,456.50,460.00,455.50,455.50,142,2231
01/15/2002,456.50,458.50,454.00,454.00,343,2435
01/16/2002,454.50,461.75,454.00,461.00,396,2476
01/17/2002,460.50,463.50,457.50,459.25,582,2608
01/18/2002,459.50,459.50,454.50,454.50,202,2603
01/22/2002,456.00,456.00,448.00,448.25,88,2612
01/23/2002,448.50,449.00,442.00,442.00,72,2635
01/24/2002,443.75,446.00,442.25,446.00,377,2767
01/25/2002,449.00,449.00,438.50,439.00,231,2795
01/28/2002,435.25,439.50,435.00,439.00,321,2670
01/29/2002,438.50,439.00,435.50,437.50,1888,3510
01/30/2002,436.50,438.50,435.25,435.75,277,3540
01/31/2002,437.50,440.00,435.00,439.50,368,3785
02/01/2002,436.00,438.50,434.75,435.00,439,3701
02/04/2002,435.50,441.50,435.50,441.50,106,3733
02/05/2002,440.50,443.00,440.50,441.25,261,3771
02/06/2002,442.00,443.00,436.00,437.00,97,3809
02/07/2002,437.50,441.50,436.50,439.75,289,3871
02/08/2002,440.00,441.00,436.00,437.00,214,3980
02/11/2002,438.50,439.50,436.25,438.25,72,4000
02/12/2002,439.50,443.00,438.50,443.00,264,4196
02/13/2002,444.50,449.00,443.00,447.75,864,4225
02/14/2002,448.00,448.50,445.50,445.50,359,4365
02/15/2002,447.00,447.00,444.50,446.25,597,4280
02/19/2002,447.50,447.50,444.50,445.50,301,4315
02/20/2002,447.00,453.00,445.75,453.00,603,3975
02/21/2002,453.00,453.50,450.00,453.00,210,4031
02/22/2002,453.00,454.50,449.00,449.25,418,3976
02/25/2002,449.00,449.00,443.50,444.75,294,4078
02/26/2002,445.00,447.50,444.75,445.50,315,4148
02/27/2002,447.50,454.00,447.00,451.75,548,4257
02/28/2002,453.00,453.50,444.50,445.25,1375,4398
03/01/2002,447.00,456.00,447.00,455.50,421,4480
03/04/2002,453.50,457.50,452.50,455.50,290,4609
03/05/2002,459.00,463.50,458.00,462.25,549,4679
03/06/2002,461.50,462.25,458.75,460.25,533,4856
03/07/2002,467.50,471.50,464.00,464.50,487,4747
03/08/2002,463.50,474.00,462.50,470.75,358,4713
03/11/2002,469.50,471.00,466.75,469.75,601,5121
03/12/2002,470.00,472.50,467.00,468.00,844,5384
03/13/2002,466.00,468.50,465.00,467.50,403,5248
03/14/2002,468.50,475.00,467.50,473.50,909,5570
