"Date","Open","High","Low","Close","Volume","OpenInt"
01/03/2000,293.50,293.50,290.00,292.25,17,2978
01/04/2000,288.00,291.00,288.00,291.00,69,2966
01/05/2000,292.00,295.50,292.00,295.00,185,3041
01/06/2000,295.00,297.00,293.00,294.50,1629,4024
01/07/2000,293.00,298.50,293.00,297.25,625,4296
01/10/2000,294.50,301.00,294.50,300.00,51,4370
01/11/2000,301.00,301.75,298.00,300.00,194,4351
01/12/2000,304.50,305.50,303.25,304.75,467,4414
01/13/2000,304.50,310.00,303.50,310.00,265,4434
01/14/2000,308.50,313.00,307.25,311.00,835,4662
01/18/2000,309.00,311.50,306.50,311.00,150,4738
01/19/2000,310.00,312.00,309.50,311.75,189,4781
01/20/2000,310.25,311.50,309.00,310.75,614,4970
01/21/2000,311.00,311.50,308.00,309.00,532,5243
01/24/2000,312.00,313.75,310.50,312.00,1697,6305
01/25/2000,310.50,310.50,308.25,309.50,261,6383
01/26/2000,305.00,306.25,305.00,305.75,307,6464
01/27/2000,304.50,310.00,302.00,309.00,838,6982
01/28/2000,309.50,309.50,305.50,306.50,403,7027
01/31/2000,303.50,303.50,301.00,303.00,330,7084
02/01/2000,302.50,305.00,300.75,304.50,601,7447
02/02/2000,304.00,305.50,303.00,303.50,182,7405
02/03/2000,301.50,302.00,299.25,299.75,569,7414
02/04/2000,297.00,305.00,296.00,303.75,337,7562
02/07/2000,305.50,306.25,303.00,305.00,381,7665
02/08/2000,304.00,306.00,302.50,305.00,1135,8170
02/09/2000,303.00,311.50,303.00,311.00,594,8460
02/10/2000,312.00,318.00,312.00,317.75,2288,9784
02/11/2000,317.00,319.00,314.00,316.25,569,10077
02/14/2000,317.50,318.50,314.50,315.50,616,10252
02/15/2000,312.00,314.50,312.00,312.50,193,10341
02/16/2000,313.50,314.50,309.75,312.50,183,10341
02/17/2000,311.75,311.75,309.00,309.00,221,10499
02/18/2000,308.00,311.50,307.75,311.25,135,10520
02/22/2000,312.00,312.00,308.50,309.00,90,10532
02/23/2000,306.00,306.00,301.50,301.75,672,10405
02/24/2000,301.50,303.00,300.50,303.00,592,10220
02/25/2000,303.00,303.00,294.50,294.75,389,10499
02/28/2000,293.00,295.00,291.00,291.50,702,10637
02/29/2000,292.50,295.25,292.50,294.50,1213,11077
03/01/2000,294.50,297.00,293.25,295.00,207,11155
03/02/2000,293.50,294.00,291.00,293.75,849,11348
03/03/2000,293.00,295.00,292.50,293.75,212,11410
03/06/2000,292.50,297.00,292.00,296.00,445,11344
03/07/2000,295.00,299.00,295.00,296.00,698,11708
03/08/2000,294.50,298.50,294.50,298.50,183,11796
03/09/2000,301.00,302.50,299.50,300.25,1152,12158
03/10/2000,300.50,301.50,296.00,296.50,418,12173
03/13/2000,298.00,300.50,297.50,299.75,263,12193
03/14/2000,302.25,308.00,301.00,307.75,691,12356
03/15/2000,306.00,307.00,303.75,305.75,330,12397
03/16/2000,304.00,306.00,302.00,302.50,1215,12448
03/17/2000,306.00,309.00,302.50,308.75,1143,12918
03/20/2000,303.50,304.50,302.50,303.50,279,13015
03/21/2000,302.50,302.50,297.00,298.25,656,13120
03/22/2000,297.00,299.75,296.00,299.25,865,13081
03/23/2000,297.00,298.00,294.00,294.25,1589,12566
03/24/2000,293.25,295.75,290.00,290.50,2656,12016
03/27/2000,292.50,293.50,290.50,292.50,1517,12420
03/28/2000,292.00,292.00,287.50,287.75,717,12313
03/29/2000,288.00,290.00,286.75,289.25,682,12414
03/30/2000,290.00,294.00,290.00,293.75,1587,13076
