"Date","Open","High","Low","Close","Volume","OpenInt"
12/15/2000,321.00,321.50,319.00,320.00,40,20
12/18/2000,321.00,322.00,321.00,322.00,3,23
12/19/2000,323.50,325.50,323.00,325.50,5,28
12/20/2000,324.25,324.25,324.25,324.25,0,28
12/21/2000,325.00,325.00,325.00,325.00,0,29
12/22/2000,326.00,326.00,326.00,326.00,0,29
12/26/2000,326.00,326.00,326.00,326.00,0,29
12/27/2000,322.50,324.00,322.50,324.00,2,31
12/28/2000,324.50,324.50,324.50,324.50,0,31
12/29/2000,332.00,332.00,332.00,332.00,1,32
01/02/2001,330.00,330.00,328.50,329.00,22,54
01/03/2001,329.00,335.50,329.00,335.50,21,74
01/04/2001,335.00,337.50,334.00,337.50,6,80
01/05/2001,335.00,337.00,334.50,337.00,8,85
01/08/2001,335.00,336.50,335.00,336.50,6,91
01/09/2001,339.00,340.00,338.50,338.50,7,98
01/10/2001,339.50,343.00,339.50,343.00,172,134
01/11/2001,341.00,346.00,341.00,343.00,34,209
01/12/2001,342.00,342.50,341.00,342.50,6,212
01/16/2001,339.00,340.00,339.00,339.50,33,243
01/17/2001,338.50,339.50,338.00,339.00,27,268
01/18/2001,341.00,341.00,340.00,341.00,8,276
01/19/2001,340.50,341.00,339.50,341.00,4,275
01/22/2001,338.75,341.00,338.75,341.00,9,283
01/23/2001,342.50,343.50,342.50,343.00,49,331
01/24/2001,343.00,343.00,343.00,343.00,1,332
01/25/2001,342.50,343.00,341.00,341.00,187,409
01/26/2001,335.50,336.00,335.00,336.00,122,452
01/29/2001,333.00,333.00,329.00,329.00,122,543
01/30/2001,330.00,330.00,330.00,330.00,100,532
01/31/2001,332.00,332.50,331.50,332.50,72,577
02/01/2001,330.00,330.00,330.00,330.00,4,581
02/02/2001,331.00,331.50,331.00,331.50,2,579
02/05/2001,329.00,329.50,329.00,329.00,1,579
02/06/2001,328.00,328.00,327.50,327.50,1,580
02/07/2001,328.00,328.50,327.50,328.50,453,791
02/08/2001,328.00,329.50,327.50,327.50,8,798
02/09/2001,328.00,328.50,326.50,327.00,33,831
02/12/2001,322.00,322.00,322.00,322.00,27,846
02/13/2001,322.00,323.50,322.00,323.50,16,861
02/14/2001,325.25,327.50,325.25,326.50,102,862
02/15/2001,327.00,327.00,325.00,327.00,60,832
02/16/2001,324.50,324.50,324.50,324.50,1,832
02/20/2001,324.50,326.00,324.50,325.00,7,842
02/21/2001,325.75,325.75,321.50,321.50,39,842
02/22/2001,321.50,321.50,319.00,319.00,40,846
02/23/2001,315.50,318.50,315.50,318.25,8,845
02/26/2001,317.50,318.50,317.00,317.50,111,843
02/27/2001,318.00,318.00,317.00,317.00,53,865
02/28/2001,321.00,324.50,321.00,324.00,146,929
03/01/2001,324.00,326.00,323.00,323.00,64,955
03/02/2001,325.00,326.00,324.00,325.00,70,989
03/05/2001,326.50,330.00,326.50,329.00,122,1095
03/06/2001,328.50,328.50,327.50,327.50,2,1095
03/07/2001,327.00,327.00,325.00,326.00,14,1095
