"Date","Open","High","Low","Close","Volume","OpenInt"
03/16/2001,321.00,324.00,319.50,319.50,1,1
03/19/2001,317.00,317.00,317.00,317.00,5,5
03/20/2001,322.00,322.00,322.00,322.00,0,5
03/21/2001,319.00,319.00,319.00,319.00,0,5
03/22/2001,314.00,314.00,314.00,314.00,0,5
03/23/2001,316.00,316.00,316.00,316.00,0,5
03/26/2001,320.00,320.00,320.00,320.00,1,5
03/27/2001,318.50,320.00,318.50,320.00,1,9
03/28/2001,319.00,319.00,318.00,319.00,1,10
03/29/2001,318.00,318.00,318.00,318.00,0,10
03/30/2001,309.00,309.00,309.00,309.00,0,10
04/02/2001,313.00,313.00,313.00,313.00,0,10
04/03/2001,315.50,315.50,315.50,315.50,0,10
04/04/2001,314.00,319.00,314.00,318.00,1,9
04/05/2001,318.00,318.00,318.00,318.00,3,6
04/06/2001,316.00,316.00,316.00,316.00,1,6
04/09/2001,315.00,315.00,315.00,315.00,159,161
04/10/2001,313.50,313.50,313.50,313.50,0,106
04/11/2001,315.50,315.50,315.50,315.50,0,106
04/12/2001,320.00,322.00,320.00,321.00,21,127
04/16/2001,324.50,324.50,324.50,324.50,0,127
04/17/2001,321.50,321.50,321.50,321.50,0,127
04/18/2001,323.00,323.00,323.00,323.00,0,127
04/19/2001,321.00,322.00,321.00,321.50,2,129
04/20/2001,322.00,322.00,322.00,322.00,2,129
04/23/2001,319.00,319.00,319.00,319.00,0,129
04/24/2001,318.00,318.50,318.00,318.50,10,139
04/25/2001,323.00,323.50,322.00,323.50,51,175
04/26/2001,324.50,324.50,324.50,324.50,0,175
04/27/2001,323.00,323.00,319.50,319.50,26,190
04/30/2001,324.50,324.50,324.50,324.50,1,190
05/01/2001,327.00,327.00,324.50,324.50,1,191
05/02/2001,322.50,322.50,322.50,322.50,0,191
05/03/2001,318.50,318.50,318.50,318.50,60,209
05/04/2001,319.00,319.00,319.00,319.00,0,209
05/07/2001,315.00,315.00,315.00,315.00,0,209
05/08/2001,312.50,312.50,312.50,312.50,0,209
05/09/2001,311.00,311.00,311.00,311.00,0,209
05/10/2001,313.00,313.00,313.00,313.00,0,209
05/11/2001,314.50,314.50,314.50,314.50,0,209
05/14/2001,320.00,320.00,320.00,320.00,0,209
05/15/2001,320.00,320.00,320.00,320.00,20,211
05/16/2001,318.50,318.50,318.50,318.50,0,211
05/17/2001,317.50,318.25,315.50,318.25,14,201
05/18/2001,315.50,315.50,315.50,315.50,15,201
05/21/2001,308.50,308.50,308.50,308.50,0,201
05/22/2001,309.50,309.50,305.00,305.00,20,204
05/23/2001,305.50,305.50,304.00,305.00,29,221
05/24/2001,306.00,306.00,306.00,306.00,3,224
05/25/2001,306.50,306.50,303.50,303.50,10,227
05/29/2001,303.50,307.50,303.50,307.50,6,232
05/30/2001,310.50,310.50,307.00,307.00,1,232
05/31/2001,310.00,310.00,310.00,310.00,0,232
06/01/2001,313.00,313.00,313.00,313.00,0,232
06/04/2001,313.00,313.00,307.50,308.00,10,235
06/05/2001,308.00,308.00,305.00,305.00,23,247
06/06/2001,306.00,306.00,306.00,306.00,4,251
06/07/2001,309.00,310.50,308.50,309.00,11,248
