"Date","Open","High","Low","Close","Volume","OpenInt"
08/20/1999,350.00,350.00,350.00,350.00,2,2
08/23/1999,353.00,353.00,353.00,353.00,0,2
08/24/1999,351.00,351.00,351.00,351.00,0,2
08/25/1999,351.00,351.00,351.00,351.00,0,2
08/26/1999,351.00,351.00,351.00,351.00,0,2
08/27/1999,349.00,349.00,349.00,349.00,0,2
08/30/1999,348.50,348.50,348.50,348.50,0,2
08/31/1999,352.00,352.00,352.00,352.00,1,3
09/01/1999,355.00,355.00,355.00,355.00,0,3
09/02/1999,357.00,357.00,357.00,357.00,0,3
09/03/1999,359.00,359.00,359.00,359.00,0,3
09/07/1999,359.00,359.00,359.00,359.00,0,3
09/08/1999,354.00,354.00,354.00,354.00,0,3
09/09/1999,354.00,354.00,354.00,354.00,0,3
09/10/1999,357.00,357.00,357.00,357.00,0,3
09/13/1999,357.00,357.00,357.00,357.00,0,3
09/14/1999,357.00,357.00,357.00,357.00,0,3
09/15/1999,354.00,354.00,354.00,354.00,0,3
09/16/1999,354.00,354.00,354.00,354.00,0,3
09/17/1999,356.00,356.00,356.00,356.00,0,3
09/20/1999,355.00,355.00,355.00,355.00,0,3
09/21/1999,354.00,354.00,354.00,354.00,0,3
09/22/1999,354.00,354.00,354.00,354.00,0,3
09/23/1999,355.00,355.00,355.00,355.00,0,3
09/24/1999,355.00,355.00,355.00,355.00,0,3
09/27/1999,356.00,356.00,356.00,356.00,0,3
09/28/1999,357.00,357.00,357.00,357.00,0,3
09/29/1999,357.00,357.00,357.00,357.00,0,3
09/30/1999,354.00,354.00,354.00,354.00,0,3
10/01/1999,352.00,352.00,352.00,352.00,0,3
10/04/1999,352.00,352.00,352.00,352.00,0,3
10/05/1999,351.00,351.00,351.00,351.00,0,3
10/06/1999,351.00,351.00,351.00,351.00,0,3
10/07/1999,348.00,348.00,348.00,348.00,0,3
10/08/1999,348.00,348.00,348.00,348.00,0,3
10/11/1999,348.00,348.00,348.00,348.00,0,3
10/12/1999,349.00,349.00,349.00,349.00,0,3
10/13/1999,348.00,348.00,348.00,348.00,0,3
10/14/1999,349.00,349.00,349.00,349.00,0,3
10/15/1999,351.00,351.00,351.00,351.00,0,3
10/18/1999,351.00,351.00,351.00,351.00,0,3
10/19/1999,353.00,353.00,353.00,353.00,0,3
10/20/1999,351.00,351.00,351.00,351.00,0,3
10/21/1999,351.00,351.00,351.00,351.00,0,3
10/22/1999,351.50,351.50,351.50,351.50,0,3
