"Date","Open","High","Low","Close","Volume","OpenInt"
07/17/2001,320.00,320.00,320.00,320.00,2,2
07/18/2001,320.00,320.00,320.00,320.00,0,2
07/19/2001,320.00,320.00,320.00,320.00,0,2
07/20/2001,315.00,315.00,315.00,315.00,0,2
07/23/2001,317.00,317.00,317.00,317.00,0,2
07/24/2001,315.00,315.00,315.00,315.00,0,2
07/25/2001,319.00,319.00,319.00,319.00,0,2
07/26/2001,313.50,313.50,313.50,313.50,0,2
07/27/2001,314.50,314.50,314.50,314.50,0,2
07/30/2001,313.00,313.00,313.00,313.00,0,2
07/31/2001,314.00,314.00,314.00,314.00,0,2
08/01/2001,315.00,315.00,312.00,312.00,1,3
08/02/2001,311.00,311.00,310.00,310.00,1,4
08/03/2001,308.00,308.00,308.00,308.00,0,4
08/06/2001,308.00,308.00,308.00,308.00,0,4
08/07/2001,309.50,309.50,309.00,309.00,1,5
08/08/2001,310.00,311.00,309.00,311.00,4,6
08/09/2001,311.00,311.00,311.00,311.00,0,6
08/10/2001,313.50,314.00,313.50,313.50,2,6
08/13/2001,311.50,315.00,311.50,314.50,3,9
08/14/2001,312.50,312.50,312.50,312.50,0,9
08/15/2001,311.00,311.00,311.00,311.00,0,9
08/16/2001,311.50,311.50,311.50,311.50,0,9
08/17/2001,311.00,311.00,311.00,311.00,0,9
08/20/2001,310.00,310.00,310.00,310.00,0,9
08/21/2001,310.00,310.00,310.00,310.00,0,9
08/22/2001,311.50,311.50,311.50,311.50,0,9
08/23/2001,313.50,313.50,313.50,313.50,0,9
08/24/2001,315.00,315.00,315.00,315.00,0,9
08/27/2001,312.50,312.50,311.50,312.00,27,30
08/28/2001,309.50,309.50,309.50,309.50,0,30
08/29/2001,311.00,311.00,311.00,311.00,0,30
08/30/2001,308.00,308.00,308.00,308.00,0,30
08/31/2001,308.00,310.00,308.00,308.50,13,25
09/04/2001,308.00,308.00,308.00,308.00,0,25
09/05/2001,307.50,307.50,307.50,307.50,0,25
09/06/2001,305.00,305.00,305.00,305.00,0,25
09/07/2001,304.50,304.50,304.50,304.50,0,25
09/10/2001,306.00,306.00,306.00,306.00,0,25
09/13/2001,307.00,307.00,307.00,307.00,0,25
09/14/2001,301.50,301.50,301.50,301.50,85,82
09/17/2001,301.50,301.50,301.50,301.50,0,82
09/18/2001,296.50,296.50,296.50,296.50,0,82
09/19/2001,293.50,293.50,293.50,293.50,0,82
09/20/2001,295.00,297.00,294.00,296.50,7,85
09/21/2001,296.50,296.50,296.50,296.50,0,85
09/24/2001,298.50,298.50,298.50,298.50,0,85
09/25/2001,299.00,299.00,299.00,299.00,17,81
09/26/2001,296.50,296.50,296.50,296.50,0,81
09/27/2001,295.50,295.50,295.50,295.50,0,81
09/28/2001,292.75,292.75,292.75,292.75,0,81
10/01/2001,290.75,290.75,290.75,290.75,0,81
10/02/2001,290.00,290.00,287.00,287.00,31,112
